,S_by_plot,S_by_page,S_difference,bandwidth,cell,function,level
0,0.6151883525405284,0.5275142435414009,0.08767410899912753,100,25,Martin_et_al_2000,even
1,0.612215073546005,0.5261385261137075,0.08607654743229753,100,25,triangle,even
2,0.582908057945949,0.4959216887992278,0.0869863691467212,100,25,box,even
3,0.6144085990788699,0.52795259264269,0.0864560064361799,100,50,Martin_et_al_2000,even
4,0.6114080179913499,0.5267058777152929,0.08470214027605705,100,50,triangle,even
5,0.5804385785641879,0.49538394089891746,0.08505463766527044,100,50,box,even
6,0.47937424103701287,0.44783936086234166,0.03153488017467121,150,25,Martin_et_al_2000,even
7,0.47619354902814226,0.44556025767172114,0.030633291356421122,150,25,triangle,even
8,0.4350749305300332,0.3986795133514274,0.03639541717860584,150,25,box,even
9,0.4791724386328976,0.4479200592070357,0.0312523794258619,150,50,Martin_et_al_2000,even
10,0.47609361337247036,0.445511966064257,0.030581647308213333,150,50,triangle,even
11,0.43524373025558993,0.3973705603200738,0.03787316993551615,150,50,box,even
12,0.39404237879885906,0.37683593716555064,0.017206441633308422,200,25,Martin_et_al_2000,even
13,0.3922295573583008,0.37471211450320807,0.017517442855092713,200,25,triangle,even
14,0.35020260131159564,0.3286973146530139,0.021505286658581757,200,25,box,even
15,0.3939811554514735,0.37708653351443655,0.016894621937036947,200,50,Martin_et_al_2000,even
16,0.39210969191989253,0.3749952566348518,0.017114435285040752,200,50,triangle,even
17,0.3509882800484089,0.3279885234840556,0.02299975656435327,200,50,box,even
18,0.33588328201087114,0.3241141052131975,0.011769176797673642,250,25,Martin_et_al_2000,even
19,0.33364489913837736,0.3221424636005752,0.01150243553780217,250,25,triangle,even
20,0.28947443616135127,0.28068953141987885,0.008784904741472421,250,25,box,even
21,0.3357552326350606,0.3242386592021187,0.011516573432941879,250,50,Martin_et_al_2000,even
22,0.333543450343889,0.32226791436200175,0.011275535981887241,250,50,triangle,even
23,0.2887816409105619,0.2800041077387132,0.008777533171848706,250,50,box,even
24,0.29035216307026834,0.28289121575252596,0.0074609473177423835,300,25,Martin_et_al_2000,even
25,0.2883402931558614,0.2810972320552402,0.007243061100621229,300,25,triangle,even
26,0.2446759149041684,0.23708178975478567,0.0075941251493827355,300,25,box,even
27,0.2904260304444769,0.28292400338632706,0.0075020270581498405,300,50,Martin_et_al_2000,even
28,0.28845263026606094,0.2811379515496807,0.007314678716380252,300,50,triangle,even
29,0.24491662240794254,0.23659942421528413,0.008317198192658415,300,50,box,even
30,0.22345676160477335,0.2195565831323788,0.0039001784723945443,400,25,Martin_et_al_2000,even
31,0.2217555124756414,0.21780318663779008,0.003952325837851323,400,25,triangle,even
32,0.18356886889965995,0.17964632373388578,0.003922545165774172,400,25,box,even
33,0.22348576951230137,0.2195160653962288,0.003969704116072559,400,50,Martin_et_al_2000,even
34,0.22177192789964717,0.21777940699402598,0.0039925209056211886,400,50,triangle,even
35,0.18424905387990154,0.179016874514636,0.0052321793652655435,400,50,box,even
36,0.17660712016461177,0.1758112962936199,0.000795823870991863,500,25,Martin_et_al_2000,even
37,0.17506735118913708,0.17430911417819894,0.0007582370109381342,500,25,triangle,even
38,0.14775174766774568,0.14499579933833118,0.0027559483294145037,500,25,box,even
39,0.17659506099514444,0.17578922457945778,0.000805836415686656,500,50,Martin_et_al_2000,even
40,0.17508291930246178,0.1743233160058364,0.0007596032966253885,500,50,triangle,even
41,0.147960910296715,0.14490986002427808,0.003051050272436906,500,50,box,even
42,0.6248525189549485,0.5656118540320165,0.05924066492293201,100,25,Martin_et_al_2000,even
43,0.6220657193662651,0.564463386280368,0.05760233308589713,100,25,triangle,even
44,0.5990103412987403,0.5398785726791959,0.05913176861954439,100,25,box,even
45,0.6253128473690823,0.5661663942341975,0.05914645313488487,100,50,Martin_et_al_2000,even
46,0.6227084106286056,0.564980545335309,0.057727865293296654,100,50,triangle,even
47,0.6013394463111648,0.5403018667604558,0.06103757955070899,100,50,box,even
48,0.4977157393217947,0.4974648791710887,0.0002508601507059671,150,25,Martin_et_al_2000,even
49,0.49453874803381426,0.49536076129245454,-0.0008220132586402862,150,25,triangle,even
50,0.45350086158310376,0.45500918271570623,-0.0015083211326024637,150,25,box,even
51,0.49798792320205887,0.4974124187490687,0.0005755044529901499,150,50,Martin_et_al_2000,even
52,0.4949584117550395,0.4953476992843422,-0.0003892875293026732,150,50,triangle,even
53,0.45034075972398047,0.4523914862818663,-0.0020507265578858513,150,50,box,even
54,0.4155006735785616,0.42957708132104855,-0.014076407742486974,200,25,Martin_et_al_2000,even
55,0.41357473226729025,0.4271328285581695,-0.013558096290879229,200,25,triangle,even
56,0.37015872901008895,0.37530475660205886,-0.005146027591969915,200,25,box,even
57,0.41595461561547487,0.42956300848678985,-0.01360839287131499,200,50,Martin_et_al_2000,even
58,0.41395739508922247,0.42708437113011966,-0.013126976040897187,200,50,triangle,even
59,0.3699185614796303,0.3727979196416966,-0.0028793581620663034,200,50,box,even
60,0.358648416164948,0.37165349657530244,-0.01300508041035442,250,25,Martin_et_al_2000,even
61,0.3565755772417215,0.3691295112223406,-0.012553933980619103,250,25,triangle,even
62,0.3125810763842445,0.31536768026385875,-0.002786603879614269,250,25,box,even
63,0.35861847191002105,0.37172188722822064,-0.013103415318199585,250,50,Martin_et_al_2000,even
64,0.35651797266244245,0.36923932767736534,-0.012721355014922886,250,50,triangle,even
65,0.31146221724488266,0.3143957795592802,-0.002933562314397564,250,50,box,even
66,0.3157663524035146,0.3244789517555724,-0.008712599352057815,300,25,Martin_et_al_2000,even
67,0.3140194201415558,0.3221404914211946,-0.008121071279638792,300,25,triangle,even
68,0.2702761278542035,0.2749110758716541,-0.004634948017450569,300,25,box,even
69,0.31575860261716016,0.32451562470159667,-0.008757022084436517,300,50,Martin_et_al_2000,even
70,0.3139655495268199,0.32219677064743946,-0.00823122112061958,300,50,triangle,even
71,0.2695158739262786,0.27461471333345444,-0.005098839407175815,300,50,box,even
72,0.25170309611078345,0.2545279914637404,-0.0028248953529569354,400,25,Martin_et_al_2000,even
73,0.2501926436458001,0.2525222431470915,-0.002329599501291413,400,25,triangle,even
74,0.20571722865226516,0.20765607208373338,-0.001938843431468218,400,25,box,even
75,0.25164933153723956,0.2545322143166565,-0.002882882779416951,400,50,Martin_et_al_2000,even
76,0.25012363001787674,0.25250642745923446,-0.00238279744135772,400,50,triangle,even
77,0.20542947623536134,0.20715970574896647,-0.0017302295136051304,400,50,box,even
78,0.20472555932125913,0.2028600749773526,0.0018654843439065427,500,25,Martin_et_al_2000,even
79,0.20330560011478693,0.20097124819085543,0.002334351923931499,500,25,triangle,even
80,0.15931259829718925,0.15975618510402756,-0.0004435868068383142,500,25,box,even
81,0.20472059720149982,0.20287007074386132,0.0018505264576385017,500,50,Martin_et_al_2000,even
82,0.20332533115889628,0.200982524044919,0.0023428071139772744,500,50,triangle,even
83,0.15906821158000184,0.16003619366029753,-0.0009679820802956929,500,50,box,even
84,0.6331309334381892,0.5429920021064532,0.090138931331736,100,25,Martin_et_al_2000,even
85,0.6304308988603066,0.5419597034017744,0.08847119545853221,100,25,triangle,even
86,0.6074702668957154,0.5208335626287728,0.08663670426694259,100,25,box,even
87,0.633447584973143,0.5433052424220531,0.09014234255108988,100,50,Martin_et_al_2000,even
88,0.6306660078753743,0.5424101416067433,0.08825586626863102,100,50,triangle,even
89,0.6100685461130444,0.5193453160558327,0.09072323005721172,100,50,box,even
90,0.5155997600912701,0.47673112546678287,0.0388686346244872,150,25,Martin_et_al_2000,even
91,0.5126402002025233,0.47493328808867485,0.03770691211384847,150,25,triangle,even
