,district,page_number,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,servants,unemployed,orthodox,other_christian,other_religion,draftable
0,Valli,1,16.0,22,11.0,11.0,0.0,0.0,27,33,37.0,20.0,3.0,7.0,0.0,0.0,1.0
1,Valli,2,8.0,17,4.0,5.0,0.0,0.0,12,22,12.0,12.0,10.0,0.0,0.0,0.0,0.0
2,Valli,3,18.0,17,6.0,5.0,0.0,0.0,24,22,25.0,16.0,5.0,8.0,0.0,0.0,0.0
3,Valli,4,17.0,22,11.0,6.0,0.0,0.0,28,28,35.0,9.0,12.0,3.0,0.0,0.0,0.0
4,Valli,5,13.0,22,6.0,9.0,0.0,0.0,19,31,34.0,14.0,2.0,1.0,0.0,0.0,0.0
5,Valli,6,16.0,21,10.0,14.0,0.0,0.0,26,35,37.0,16.0,8.0,13.0,0.0,0.0,1.0
6,Valli,7,20.0,16,11.0,7.0,0.0,0.0,31,23,19.0,11.0,24.0,1.0,0.0,0.0,0.0
7,Valli,8,17.0,24,8.0,8.0,0.0,0.0,25,32,30.0,18.0,9.0,1.0,0.0,0.0,0.0
8,Valli,9,10.0,20,8.0,5.0,0.0,0.0,18,25,10.0,25.0,8.0,8.0,0.0,0.0,0.0
9,Valli,10,15.0,26,11.0,6.0,0.0,0.0,26,32,23.0,25.0,10.0,2.0,0.0,0.0,0.0
10,Valli,11,18.0,22,4.0,3.0,0.0,0.0,22,25,22.0,23.0,2.0,1.0,0.0,0.0,2.0
11,Valli,12,19.0,17,7.0,7.0,0.0,0.0,26,24,24.0,18.0,8.0,4.0,0.0,0.0,1.0
12,Valli,13,20.0,24,7.0,9.0,0.0,0.0,27,43,27.0,37.0,6.0,17.0,0.0,0.0,0.0
13,Valli,14,15.0,28,4.0,6.0,0.0,0.0,19,34,26.0,23.0,4.0,3.0,0.0,0.0,0.0
14,Valli,15,22.0,22,7.0,9.0,0.0,0.0,29,31,34.0,26.0,0.0,13.0,0.0,0.0,2.0
15,Valli,16,14.0,32,11.0,9.0,0.0,0.0,25,41,42.0,24.0,0.0,21.0,0.0,0.0,0.0
16,Valli,17,13.0,19,11.0,12.0,0.0,0.0,24,31,36.0,13.0,6.0,0.0,0.0,0.0,0.0
17,Valli,18,17.0,15,10.0,14.0,0.0,0.0,27,29,19.0,30.0,7.0,0.0,0.0,0.0,0.0
