,district,page_number,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,servants,unemployed,orthodox,other_christian,other_religion,draftable
0,Valli,1,11,26.0,14.0,12.0,0.0,0.0,25,38.0,34.0,27.0,2.0,7.0,0.0,0.0,0.0
1,Valli,2,12,23.0,13.0,11.0,0.0,0.0,25,34.0,34.0,17.0,8.0,8.0,0.0,0.0,0.0
2,Valli,3,18,23.0,1.0,3.0,0.0,0.0,19,26.0,26.0,18.0,1.0,0.0,0.0,0.0,1.0
3,Valli,4,17,26.0,18.0,9.0,0.0,0.0,35,35.0,53.0,15.0,2.0,0.0,0.0,0.0,1.0
4,Valli,5,14,19.0,4.0,9.0,0.0,0.0,18,28.0,22.0,8.0,16.0,0.0,0.0,0.0,0.0
5,Valli,6,24,23.0,16.0,3.0,0.0,0.0,40,26.0,40.0,24.0,2.0,6.0,0.0,0.0,1.0
6,Valli,7,13,15.0,3.0,9.0,0.0,0.0,16,24.0,16.0,18.0,6.0,1.0,0.0,0.0,0.0
7,Valli,8,18,23.0,8.0,7.0,0.0,0.0,26,30.0,28.0,28.0,0.0,24.0,0.0,0.0,0.0
8,Valli,9,16,29.0,9.0,13.0,0.0,0.0,25,42.0,33.0,25.0,9.0,2.0,0.0,0.0,1.0
9,Valli,10,15,17.0,6.0,9.0,0.0,0.0,21,26.0,36.0,6.0,5.0,1.0,0.0,0.0,0.0
10,Valli,11,19,22.0,7.0,5.0,0.0,0.0,26,27.0,23.0,20.0,10.0,2.0,0.0,0.0,1.0
11,Valli,12,22,25.0,13.0,8.0,0.0,0.0,35,33.0,21.0,27.0,20.0,4.0,0.0,0.0,0.0
12,Valli,13,20,28.0,6.0,12.0,0.0,0.0,26,40.0,39.0,14.0,13.0,22.0,0.0,0.0,2.0
13,Valli,14,19,23.0,8.0,9.0,0.0,0.0,27,32.0,41.0,14.0,4.0,1.0,0.0,0.0,0.0
14,Valli,15,9,23.0,7.0,14.0,0.0,0.0,16,37.0,22.0,21.0,10.0,0.0,0.0,0.0,0.0
15,Valli,16,10,20.0,9.0,10.0,0.0,0.0,19,30.0,10.0,27.0,12.0,18.0,0.0,0.0,1.0
16,Valli,17,10,27.0,10.0,9.0,0.0,0.0,20,36.0,21.0,28.0,7.0,1.0,0.0,0.0,0.0
17,Valli,18,14,27.0,8.0,5.0,0.0,0.0,22,32.0,28.0,18.0,8.0,1.0,0.0,0.0,0.0
18,Valli,19,13,22.0,7.0,2.0,0.0,0.0,20,24.0,11.0,26.0,7.0,0.0,0.0,0.0,0.0
19,Valli,20,18,17.0,9.0,9.0,0.0,0.0,27,26.0,38.0,14.0,1.0,3.0,0.0,0.0,1.0
20,Valli,21,14,33.0,2.0,4.0,0.0,0.0,16,37.0,32.0,18.0,3.0,12.0,0.0,0.0,0.0
21,Valli,22,20,21.0,8.0,8.0,0.0,0.0,28,29.0,36.0,16.0,5.0,11.0,0.0,0.0,1.0
22,Valli,23,25,22.0,15.0,12.0,0.0,0.0,40,34.0,46.0,28.0,0.0,12.0,0.0,0.0,2.0
23,Valli,24,21,23.0,8.0,11.0,0.0,0.0,29,34.0,37.0,16.0,10.0,2.0,0.0,0.0,1.0
24,Valli,25,19,23.0,6.0,5.0,0.0,0.0,25,28.0,38.0,9.0,6.0,2.0,0.0,0.0,1.0
25,Valli,26,18,32.0,10.0,11.0,0.0,0.0,28,43.0,54.0,16.0,1.0,6.0,0.0,0.0,0.0
26,Valli,27,16,27.0,3.0,10.0,0.0,0.0,19,37.0,34.0,10.0,12.0,3.0,0.0,0.0,1.0
27,Valli,28,19,19.0,3.0,3.0,0.0,0.0,22,22.0,24.0,14.0,6.0,0.0,0.0,0.0,0.0
28,Valli,29,14,25.0,6.0,18.0,0.0,0.0,20,43.0,31.0,13.0,19.0,10.0,0.0,0.0,0.0
29,Valli,30,23,30.0,15.0,13.0,0.0,0.0,38,43.0,37.0,37.0,7.0,20.0,0.0,0.0,0.0
30,Valli,31,9,25.0,5.0,5.0,0.0,0.0,14,30.0,31.0,7.0,6.0,0.0,0.0,0.0,1.0
31,Valli,32,16,25.0,9.0,8.0,0.0,0.0,25,33.0,34.0,16.0,8.0,2.0,0.0,0.0,0.0
32,Valli,33,16,25.0,9.0,12.0,0.0,0.0,25,37.0,38.0,10.0,14.0,5.0,0.0,0.0,0.0
33,Valli,34,20,15.0,3.0,5.0,0.0,0.0,23,20.0,21.0,20.0,2.0,2.0,0.0,0.0,0.0
34,Valli,35,18,22.0,6.0,4.0,0.0,0.0,24,26.0,26.0,21.0,3.0,9.0,0.0,0.0,1.0
35,Valli,36,22,22.0,8.0,8.0,0.0,0.0,30,30.0,48.0,9.0,3.0,0.0,0.0,0.0,1.0
36,Valli,37,17,24.0,2.0,6.0,0.0,0.0,19,30.0,15.0,26.0,8.0,2.0,0.0,0.0,0.0
37,Valli,38,19,21.0,5.0,7.0,0.0,0.0,24,28.0,29.0,23.0,0.0,0.0,0.0,0.0,2.0
38,Valli,39,13,16.0,9.0,7.0,0.0,0.0,22,23.0,23.0,11.0,11.0,5.0,0.0,0.0,1.0
39,Valli,40,15,29.0,5.0,5.0,0.0,0.0,20,34.0,36.0,5.0,13.0,6.0,0.0,0.0,1.0
40,Valli,41,22,15.0,1.0,6.0,0.0,0.0,23,21.0,19.0,7.0,18.0,1.0,0.0,0.0,1.0
41,Valli,42,21,22.0,6.0,8.0,0.0,0.0,27,30.0,30.0,10.0,17.0,1.0,0.0,0.0,2.0
42,Valli,43,18,17.0,8.0,18.0,0.0,0.0,26,35.0,15.0,24.0,22.0,0.0,0.0,0.0,1.0
43,Valli,44,13,24.0,7.0,13.0,0.0,0.0,20,37.0,35.0,9.0,13.0,4.0,0.0,0.0,0.0
44,Valli,45,14,14.0,7.0,12.0,0.0,0.0,21,26.0,30.0,14.0,3.0,1.0,0.0,0.0,0.0
45,Valli,46,16,30.0,9.0,5.0,0.0,0.0,25,35.0,43.0,15.0,2.0,1.0,0.0,0.0,2.0
46,Valli,47,21,20.0,10.0,18.0,0.0,0.0,31,38.0,34.0,17.0,18.0,2.0,0.0,0.0,0.0
47,Valli,48,20,19.0,15.0,11.0,0.0,0.0,35,30.0,14.0,9.0,42.0,1.0,0.0,0.0,1.0
48,Valli,49,4,6.0,3.0,3.0,0.0,0.0,7,9.0,8.0,4.0,4.0,1.0,0.0,0.0,0.0
49,Salakkalahti,50,12,15.0,0.0,4.0,0.0,0.0,12,19.0,25.0,6.0,0.0,0.0,0.0,0.0,1.0
50,Salakkalahti,51,13,31.0,7.0,11.0,0.0,0.0,20,42.0,43.0,18.0,1.0,0.0,0.0,0.0,1.0
51,Salakkalahti,52,19,34.0,8.0,10.0,0.0,0.0,27,44.0,41.0,30.0,0.0,1.0,0.0,0.0,1.0
52,Salakkalahti,53,18,26.0,4.0,5.0,0.0,0.0,22,31.0,38.0,11.0,4.0,1.0,0.0,0.0,1.0
53,Salakkalahti,54,15,23.0,11.0,9.0,0.0,0.0,26,32.0,31.0,20.0,7.0,1.0,0.0,0.0,0.0
54,Salakkalahti,55,18,23.0,9.0,8.0,0.0,0.0,27,31.0,39.0,19.0,0.0,3.0,0.0,0.0,0.0
55,Salakkalahti,56,17,29.0,5.0,5.0,0.0,0.0,22,34.0,31.0,25.0,0.0,5.0,0.0,0.0,0.0
56,Salakkalahti,57,17,38.0,8.0,9.0,0.0,0.0,25,47.0,51.0,19.0,2.0,1.0,0.0,0.0,0.0
57,Salakkalahti,58,5,9.0,5.0,3.0,0.0,0.0,10,12.0,7.0,10.0,5.0,0.0,0.0,0.0,0.0
58,Repola,59,11,18.0,8.0,8.0,0.0,0.0,19,26.0,23.0,17.0,5.0,15.0,0.0,0.0,0.0
59,Repola,60,16,29.0,6.0,12.0,0.0,0.0,22,41.0,42.0,17.0,4.0,4.0,0.0,0.0,0.0
60,Repola,61,19,25.0,5.0,6.0,0.0,0.0,24,31.0,41.0,11.0,3.0,12.0,0.0,0.0,0.0
61,Repola,62,17,17.0,3.0,3.0,0.0,0.0,20,20.0,21.0,11.0,8.0,0.0,1.0,0.0,3.0
62,Repola,63,14,23.0,18.0,10.0,0.0,0.0,32,33.0,38.0,12.0,15.0,0.0,0.0,0.0,0.0
63,Repola,64,15,30.0,10.0,15.0,0.0,0.0,25,45.0,47.0,19.0,4.0,2.0,0.0,0.0,1.0
64,Repola,65,15,27.0,10.0,7.0,0.0,0.0,25,34.0,41.0,18.0,0.0,4.0,0.0,0.0,0.0
65,Repola,66,9,21.0,11.0,8.0,0.0,0.0,20,29.0,38.0,11.0,0.0,0.0,0.0,0.0,0.0
66,Repola,67,10,20.0,14.0,6.0,0.0,0.0,24,26.0,29.0,16.0,5.0,5.0,0.0,0.0,0.0
67,Repola,68,18,28.0,3.0,5.0,0.0,0.0,21,33.0,36.0,16.0,2.0,0.0,0.0,0.0,0.0
68,Repola,69,17,24.0,9.0,6.0,0.0,0.0,26,30.0,38.0,11.0,7.0,10.0,0.0,0.0,0.0
69,Repola,70,12,14.0,5.0,10.0,0.0,0.0,17,24.0,5.0,11.0,25.0,1.0,0.0,0.0,0.0
70,Repola,71,2,1.0,0.0,0.0,0.0,0.0,2,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Viipurin_esikaupunki,72,6,10.0,3.0,4.0,0.0,0.0,9,14.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
72,Viipurin_esikaupunki,73,8,23.0,9.0,6.0,0.0,0.0,17,29.0,29.0,10.0,7.0,1.0,0.0,0.0,1.0
73,Viipurin_esikaupunki,74,10,12.0,3.0,7.0,0.0,0.0,13,19.0,7.0,5.0,20.0,1.0,0.0,0.0,0.0
74,Viipurin_esikaupunki,75,10,20.0,9.0,16.0,0.0,0.0,19,36.0,16.0,11.0,28.0,0.0,0.0,0.0,0.0
75,Viipurin_esikaupunki,76,13,16.0,6.0,4.0,0.0,0.0,19,20.0,18.0,10.0,11.0,1.0,0.0,0.0,0.0
76,Viipurin_esikaupunki,77,11,17.0,7.0,9.0,0.0,0.0,18,26.0,22.0,9.0,13.0,7.0,0.0,0.0,0.0
77,Viipurin_esikaupunki,78,15,24.0,6.0,6.0,0.0,0.0,21,30.0,23.0,8.0,20.0,14.0,0.0,0.0,0.0
78,Viipurin_esikaupunki,79,15,17.0,7.0,2.0,0.0,0.0,22,19.0,16.0,6.0,19.0,1.0,0.0,0.0,0.0
79,Viipurin_esikaupunki,80,14,18.0,5.0,12.0,0.0,0.0,19,30.0,27.0,5.0,17.0,6.0,0.0,0.0,1.0
80,Viipurin_esikaupunki,81,15,15.0,6.0,10.0,0.0,0.0,21,25.0,36.0,6.0,4.0,0.0,0.0,0.0,1.0
81,Viipurin_esikaupunki,82,11,15.0,3.0,6.0,0.0,0.0,14,21.0,16.0,6.0,13.0,5.0,3.0,0.0,0.0
82,Viipurin_esikaupunki,83,14,14.0,2.0,11.0,0.0,0.0,16,25.0,8.0,6.0,27.0,5.0,1.0,0.0,0.0
83,Viipurin_esikaupunki,84,18,16.0,15.0,10.0,0.0,0.0,33,26.0,29.0,4.0,26.0,3.0,0.0,0.0,0.0
84,Viipurin_esikaupunki,85,9,22.0,4.0,8.0,0.0,0.0,13,30.0,23.0,2.0,18.0,2.0,0.0,0.0,0.0
85,Viipurin_esikaupunki,86,9,23.0,2.0,6.0,0.0,0.0,11,29.0,33.0,3.0,4.0,10.0,0.0,0.0,1.0
86,Viipurin_esikaupunki,87,10,16.0,4.0,8.0,0.0,0.0,14,24.0,15.0,19.0,4.0,0.0,0.0,0.0,1.0
87,Viipurin_esikaupunki,88,16,13.0,9.0,8.0,0.0,0.0,25,21.0,10.0,17.0,19.0,0.0,0.0,0.0,2.0
88,Viipurin_esikaupunki,89,5,18.0,2.0,2.0,0.0,0.0,7,20.0,10.0,7.0,10.0,1.0,0.0,0.0,0.0
89,Viipurin_esikaupunki,90,11,14.0,1.0,4.0,0.0,0.0,12,18.0,14.0,5.0,11.0,1.0,0.0,0.0,0.0
90,Viipurin_esikaupunki,91,6,11.0,2.0,2.0,0.0,0.0,8,13.0,10.0,11.0,0.0,3.0,0.0,0.0,0.0
91,Saunalahti,92,8,16.0,5.0,26.0,0.0,0.0,13,42.0,16.0,10.0,29.0,10.0,0.0,0.0,0.0
92,Saunalahti,93,5,17.0,3.0,11.0,0.0,0.0,8,28.0,18.0,10.0,8.0,1.0,0.0,0.0,0.0
93,Saunalahti,94,4,5.0,5.0,5.0,0.0,0.0,9,10.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
94,Pietarin_esikaupunki,95,12,12.0,5.0,5.0,0.0,0.0,17,17.0,25.0,7.0,2.0,17.0,0.0,0.0,0.0
95,Pietarin_esikaupunki,96,19,16.0,10.0,6.0,0.0,0.0,29,22.0,24.0,7.0,20.0,6.0,0.0,0.0,1.0
96,Pietarin_esikaupunki,97,11,18.0,8.0,9.0,0.0,0.0,19,27.0,22.0,10.0,14.0,2.0,0.0,0.0,0.0
97,Pietarin_esikaupunki,98,16,28.0,14.0,9.0,0.0,0.0,30,37.0,21.0,12.0,34.0,10.0,0.0,0.0,0.0
98,Pietarin_esikaupunki,99,12,27.0,20.0,22.0,0.0,0.0,32,49.0,53.0,10.0,18.0,8.0,0.0,0.0,0.0
99,Pietarin_esikaupunki,100,16,22.0,8.0,6.0,0.0,0.0,24,28.0,34.0,6.0,12.0,3.0,0.0,0.0,0.0
100,Pietarin_esikaupunki,101,12,14.0,60.0,68.0,0.0,0.0,72,82.0,15.0,20.0,119.0,12.0,0.0,0.0,1.0
101,Pietarin_esikaupunki,102,10,13.0,3.0,8.0,0.0,0.0,13,21.0,9.0,12.0,13.0,0.0,0.0,0.0,0.0
102,Pietarin_esikaupunki,103,14,13.0,6.0,8.0,0.0,0.0,20,21.0,15.0,7.0,19.0,0.0,0.0,0.0,0.0
103,Pietarin_esikaupunki,104,19,21.0,8.0,6.0,0.0,0.0,27,27.0,27.0,21.0,6.0,5.0,0.0,0.0,0.0
104,Pietarin_esikaupunki,105,22,19.0,9.0,14.0,0.0,0.0,31,33.0,21.0,15.0,28.0,17.0,0.0,0.0,0.0
105,Pietarin_esikaupunki,106,17,22.0,6.0,5.0,0.0,0.0,23,27.0,26.0,6.0,18.0,8.0,0.0,0.0,0.0
106,Pietarin_esikaupunki,107,19,19.0,9.0,5.0,0.0,0.0,28,24.0,33.0,10.0,9.0,3.0,0.0,0.0,0.0
107,Pietarin_esikaupunki,108,8,19.0,3.0,11.0,0.0,0.0,11,30.0,25.0,2.0,14.0,0.0,0.0,0.0,0.0
108,Pietarin_esikaupunki,109,13,15.0,4.0,7.0,0.0,0.0,17,22.0,23.0,1.0,15.0,1.0,0.0,0.0,0.0
109,Pietarin_esikaupunki,110,15,15.0,5.0,8.0,0.0,0.0,20,23.0,10.0,3.0,30.0,5.0,0.0,0.0,1.0
110,Pietarin_esikaupunki,111,11,18.0,10.0,6.0,0.0,0.0,21,24.0,15.0,10.0,20.0,2.0,0.0,0.0,0.0
111,Pietarin_esikaupunki,112,12,15.0,6.0,3.0,0.0,0.0,18,18.0,18.0,0.0,18.0,7.0,0.0,0.0,0.0
112,Pietarin_esikaupunki,113,16,15.0,9.0,11.0,0.0,0.0,25,26.0,4.0,1.0,46.0,0.0,0.0,0.0,0.0
113,Pietarin_esikaupunki,114,10,10.0,3.0,6.0,0.0,0.0,13,16.0,5.0,7.0,17.0,3.0,0.0,0.0,1.0
114,Pietarin_esikaupunki,115,17,12.0,10.0,10.0,0.0,0.0,27,22.0,12.0,3.0,34.0,0.0,0.0,0.0,0.0
115,Pietarin_esikaupunki,116,16,15.0,12.0,9.0,0.0,0.0,28,24.0,16.0,2.0,34.0,3.0,0.0,0.0,0.0
116,Pietarin_esikaupunki,117,16,17.0,11.0,10.0,0.0,0.0,27,27.0,31.0,8.0,15.0,0.0,0.0,0.0,0.0
117,Pietarin_esikaupunki,118,1,14.0,7.0,11.0,0.0,0.0,17,25.0,13.0,1.0,28.0,2.0,0.0,0.0,0.0
118,Pietarin_esikaupunki,119,16,19.0,11.0,16.0,0.0,0.0,27,35.0,34.0,15.0,13.0,0.0,0.0,0.0,0.0
119,Pietarin_esikaupunki,120,12,12.0,7.0,11.0,0.0,0.0,19,23.0,2.0,8.0,32.0,3.0,0.0,0.0,1.0
120,Pietarin_esikaupunki,121,13,15.0,2.0,4.0,0.0,0.0,15,19.0,14.0,5.0,15.0,12.0,0.0,0.0,0.0
121,Pietarin_esikaupunki,122,10,16.0,0.0,7.0,0.0,0.0,10,23.0,14.0,2.0,17.0,0.0,0.0,0.0,0.0
122,Pietarin_esikaupunki,123,14,15.0,6.0,6.0,0.0,0.0,20,21.0,26.0,1.0,17.0,1.0,0.0,0.0,0.0
123,Pietarin_esikaupunki,124,18,21.0,6.0,19.0,0.0,0.0,24,40.0,31.0,6.0,27.0,12.0,0.0,0.0,0.0
124,Pietarin_esikaupunki,125,15,22.0,6.0,5.0,0.0,0.0,21,27.0,26.0,10.0,12.0,0.0,0.0,0.0,1.0
125,Pietarin_esikaupunki,126,18,21.0,5.0,7.0,0.0,0.0,23,28.0,21.0,10.0,20.0,1.0,0.0,0.0,0.0
126,Pietarin_esikaupunki,127,16,19.0,9.0,20.0,0.0,0.0,25,39.0,2.0,5.0,57.0,0.0,0.0,0.0,1.0
127,Pietarin_esikaupunki,128,11,21.0,8.0,8.0,0.0,0.0,19,29.0,23.0,1.0,24.0,9.0,0.0,0.0,0.0
128,Pietarin_esikaupunki,129,17,18.0,10.0,2.0,0.0,0.0,27,20.0,23.0,10.0,14.0,1.0,0.0,0.0,1.0
129,Pietarin_esikaupunki,130,22,16.0,10.0,11.0,0.0,0.0,32,27.0,44.0,8.0,7.0,0.0,0.0,0.0,0.0
130,Pietarin_esikaupunki,131,8,16.0,10.0,13.0,0.0,0.0,18,29.0,23.0,12.0,12.0,6.0,0.0,0.0,0.0
