,district,page_number,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,servants,unemployed,orthodox,other_christian,other_religion,draftable
0,Valli,1,12.0,23.0,7.0,3.0,0.0,0.0,19,26.0,30.0,14.0,1.0,0.0,0.0,0.0,1.0
1,Valli,2,14.0,18.0,2.0,3.0,0.0,0.0,16,21.0,25.0,12.0,0.0,0.0,0.0,0.0,1.0
2,Valli,3,9.0,15.0,4.0,2.0,0.0,0.0,13,17.0,16.0,6.0,8.0,0.0,0.0,0.0,0.0
3,Valli,4,18.0,18.0,9.0,10.0,0.0,0.0,27,28.0,39.0,16.0,0.0,11.0,0.0,0.0,1.0
4,Valli,5,14.0,17.0,11.0,5.0,0.0,0.0,25,22.0,24.0,22.0,1.0,2.0,0.0,0.0,0.0
5,Valli,6,14.0,21.0,8.0,8.0,0.0,0.0,22,29.0,36.0,14.0,1.0,9.0,0.0,0.0,0.0
6,Valli,7,12.0,15.0,7.0,8.0,0.0,0.0,19,23.0,30.0,11.0,1.0,1.0,0.0,0.0,0.0
7,Valli,8,11.0,14.0,6.0,5.0,0.0,0.0,17,19.0,17.0,17.0,2.0,4.0,0.0,0.0,1.0
8,Valli,9,11.0,19.0,5.0,2.0,0.0,0.0,16,21.0,18.0,14.0,5.0,0.0,0.0,0.0,1.0
9,Valli,10,7.0,22.0,4.0,8.0,0.0,0.0,11,24.0,13.0,19.0,3.0,0.0,0.0,0.0,1.0
10,Valli,11,12.0,10.0,7.0,8.0,0.0,0.0,19,14.0,17.0,15.0,1.0,2.0,0.0,0.0,1.0
11,Valli,12,13.0,17.0,11.0,9.0,0.0,0.0,24,26.0,25.0,13.0,12.0,0.0,0.0,0.0,1.0
12,Valli,13,10.0,20.0,3.0,3.0,0.0,0.0,13,23.0,20.0,8.0,8.0,10.0,0.0,0.0,0.0
13,Valli,14,11.0,18.0,9.0,7.0,0.0,0.0,20,25.0,18.0,26.0,1.0,5.0,0.0,0.0,0.0
14,Valli,15,17.0,17.0,4.0,2.0,0.0,0.0,21,19.0,8.0,31.0,1.0,4.0,0.0,0.0,1.0
15,Valli,16,17.0,28.0,2.0,10.0,0.0,0.0,19,38.0,40.0,17.0,0.0,15.0,0.0,0.0,1.0
16,Valli,17,15.0,11.0,3.0,0.0,0.0,0.0,18,11.0,13.0,16.0,0.0,0.0,0.0,0.0,2.0
17,Valli,18,15.0,18.0,6.0,4.0,0.0,0.0,21,22.0,30.0,12.0,1.0,16.0,0.0,0.0,1.0
18,Valli,19,20.0,25.0,9.0,10.0,0.0,0.0,29,35.0,26.0,36.0,2.0,0.0,0.0,0.0,1.0
19,Valli,20,9.0,8.0,6.0,3.0,0.0,0.0,15,11.0,14.0,7.0,5.0,0.0,0.0,0.0,0.0
20,Valli,21,9.0,18.0,9.0,11.0,0.0,0.0,18,29.0,5.0,19.0,23.0,24.0,0.0,0.0,0.0
21,Valli,22,13.0,20.0,7.0,5.0,0.0,0.0,20,25.0,18.0,16.0,11.0,0.0,0.0,0.0,1.0
22,Valli,23,13.0,19.0,9.0,17.0,0.0,0.0,22,36.0,36.0,14.0,8.0,13.0,0.0,0.0,0.0
23,Valli,24,9.0,26.0,8.0,8.0,0.0,0.0,17,34.0,31.0,19.0,1.0,0.0,0.0,0.0,0.0
24,Valli,25,10.0,26.0,6.0,11.0,0.0,0.0,16,37.0,14.0,39.0,0.0,2.0,4.0,0.0,1.0
25,Valli,26,14.0,28.0,9.0,6.0,0.0,0.0,23,34.0,27.0,24.0,6.0,1.0,0.0,0.0,0.0
26,Valli,27,14.0,15.0,5.0,4.0,0.0,0.0,19,19.0,25.0,7.0,6.0,10.0,0.0,0.0,0.0
27,Valli,28,12.0,15.0,3.0,10.0,0.0,0.0,15,25.0,29.0,10.0,1.0,0.0,6.0,0.0,0.0
28,Valli,29,10.0,15.0,9.0,12.0,0.0,0.0,19,27.0,18.0,28.0,0.0,3.0,0.0,0.0,0.0
29,Valli,30,11.0,23.0,4.0,9.0,0.0,0.0,15,32.0,32.0,12.0,3.0,2.0,0.0,0.0,0.0
30,Valli,31,9.0,17.0,1.0,11.0,0.0,0.0,10,28.0,14.0,18.0,6.0,0.0,0.0,0.0,0.0
31,Valli,32,12.0,21.0,3.0,8.0,0.0,0.0,15,29.0,22.0,21.0,1.0,0.0,0.0,0.0,1.0
32,Valli,33,11.0,25.0,4.0,10.0,0.0,0.0,15,35.0,29.0,21.0,0.0,1.0,0.0,0.0,0.0
33,Valli,34,11.0,16.0,10.0,6.0,0.0,0.0,21,22.0,25.0,18.0,0.0,2.0,0.0,0.0,0.0
34,Valli,35,11.0,20.0,2.0,3.0,0.0,0.0,13,23.0,19.0,13.0,4.0,1.0,0.0,0.0,1.0
35,Valli,36,12.0,23.0,5.0,6.0,0.0,0.0,20,29.0,15.0,34.0,0.0,8.0,0.0,0.0,0.0
36,Valli,37,13.0,15.0,0.0,7.0,0.0,0.0,13,22.0,19.0,5.0,11.0,3.0,0.0,0.0,0.0
37,Valli,38,13.0,16.0,7.0,6.0,0.0,0.0,20,22.0,22.0,12.0,8.0,5.0,0.0,0.0,1.0
38,Valli,39,10.0,17.0,6.0,6.0,0.0,0.0,16,23.0,18.0,19.0,2.0,5.0,0.0,0.0,0.0
39,Valli,40,10.0,14.0,7.0,5.0,0.0,0.0,17,19.0,18.0,11.0,7.0,0.0,0.0,0.0,0.0
40,Valli,41,15.0,21.0,5.0,6.0,0.0,0.0,20,27.0,32.0,9.0,6.0,9.0,0.0,0.0,2.0
41,Valli,42,11.0,13.0,4.0,3.0,0.0,0.0,15,16.0,18.0,13.0,0.0,1.0,0.0,0.0,0.0
42,Valli,43,9.0,17.0,6.0,5.0,0.0,0.0,15,22.0,19.0,14.0,4.0,3.0,0.0,0.0,0.0
43,Valli,44,13.0,12.0,4.0,3.0,0.0,0.0,17,15.0,15.0,6.0,11.0,0.0,0.0,0.0,3.0
44,Valli,45,12.0,15.0,7.0,11.0,0.0,0.0,19,26.0,34.0,11.0,0.0,0.0,0.0,0.0,1.0
45,Valli,46,13.0,20.0,3.0,9.0,0.0,0.0,16,29.0,24.0,11.0,10.0,1.0,0.0,0.0,0.0
46,Valli,47,9.0,21.0,4.0,6.0,0.0,0.0,13,27.0,19.0,14.0,7.0,0.0,0.0,0.0,1.0
47,Valli,48,11.0,18.0,5.0,10.0,0.0,0.0,16,28.0,23.0,14.0,7.0,6.0,0.0,0.0,0.0
48,Valli,49,9.0,13.0,5.0,9.0,0.0,0.0,14,22.0,22.0,2.0,12.0,0.0,0.0,0.0,1.0
49,Valli,50,10.0,18.0,4.0,4.0,0.0,0.0,14,22.0,20.0,14.0,4.0,5.0,0.0,0.0,0.0
50,Valli,51,10.0,9.0,5.0,7.0,0.0,0.0,15,16.0,14.0,10.0,7.0,3.0,0.0,0.0,1.0
51,Valli,52,9.0,19.0,7.0,13.0,0.0,0.0,16,32.0,23.0,13.0,12.0,1.0,0.0,0.0,0.0
52,Valli,53,10.0,19.0,3.0,4.0,0.0,0.0,13,23.0,21.0,15.0,0.0,4.0,0.0,0.0,0.0
53,Valli,54,16.0,13.0,6.0,8.0,0.0,0.0,22,21.0,24.0,18.0,1.0,1.0,0.0,0.0,0.0
54,Valli,55,12.0,18.0,6.0,4.0,0.0,0.0,18,22.0,11.0,29.0,0.0,6.0,0.0,0.0,1.0
55,Valli,56,11.0,16.0,4.0,3.0,0.0,0.0,15,19.0,24.0,8.0,2.0,0.0,0.0,0.0,1.0
56,Valli,57,12.0,18.0,1.0,3.0,0.0,0.0,13,15.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0
57,Valli,58,17.0,7.0,4.0,0.0,0.0,0.0,21,7.0,14.0,1.0,13.0,5.0,0.0,0.0,0.0
58,Valli,59,24.0,6.0,2.0,2.0,0.0,0.0,26,8.0,2.0,3.0,29.0,4.0,0.0,0.0,1.0
59,Valli,60,11.0,6.0,1.0,0.0,0.0,0.0,12,6.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0
60,Valli,61,8.0,26.0,1.0,5.0,0.0,0.0,9,31.0,15.0,25.0,0.0,7.0,1.0,0.0,0.0
61,Valli,62,5.0,10.0,4.0,5.0,0.0,0.0,9,15.0,16.0,3.0,5.0,1.0,0.0,0.0,0.0
