,district,page_number,representative_plot,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,servants,unemployed,orthodox,other_christian,other_religion,draftable
0,Valli,1,2,13.0,19.0,7.0,6.0,0.0,0.0,20,25,29.0,16.0,0.0,0.0,0.0,0.0,1.0
1,Valli,2,5,10.0,23.0,7.0,3.0,0.0,0.0,17,26,20.0,17.0,6.0,0.0,0.0,0.0,0.0
2,Valli,3,8,12.0,26.0,10.0,13.0,0.0,0.0,22,39,36.0,14.0,11.0,1.0,0.0,0.0,0.0
3,Valli,4,10,18.0,13.0,9.0,8.0,0.0,0.0,27,21,31.0,12.0,5.0,1.0,0.0,0.0,0.0
4,Valli,5,11,15.0,29.0,12.0,6.0,0.0,0.0,27,35,40.0,13.0,9.0,8.0,0.0,0.0,0.0
5,Valli,6,15,8.0,16.0,2.0,7.0,0.0,0.0,10,23,17.0,10.0,6.0,0.0,0.0,0.0,1.0
6,Valli,7,19,17.0,19.0,8.0,4.0,0.0,0.0,25,23,27.0,21.0,0.0,8.0,0.0,0.0,0.0
7,Valli,8,20,13.0,18.0,4.0,7.0,0.0,0.0,17,25,15.0,21.0,6.0,1.0,0.0,0.0,1.0
8,Valli,9,26,11.0,22.0,7.0,3.0,0.0,0.0,18,25,21.0,20.0,2.0,2.0,0.0,0.0,0.0
9,Valli,10,28,13.0,13.0,6.0,3.0,0.0,0.0,19,16,15.0,14.0,6.0,0.0,0.0,0.0,0.0
10,Valli,11,29,15.0,22.0,3.0,4.0,0.0,0.0,18,26,20.0,14.0,10.0,2.0,0.0,0.0,1.0
11,Valli,12,33,11.0,18.0,3.0,4.0,0.0,0.0,14,22,16.0,18.0,2.0,0.0,0.0,0.0,0.0
12,Valli,13,35,14.0,21.0,4.0,5.0,0.0,0.0,18,26,20.0,8.0,16.0,5.0,0.0,0.0,0.0
13,Valli,14,34,18.0,18.0,4.0,1.0,0.0,0.0,22,19,14.0,25.0,2.0,0.0,0.0,0.0,0.0
14,Valli,15,39,15.0,26.0,3.0,11.0,0.0,0.0,18,37,40.0,13.0,2.0,17.0,0.0,0.0,0.0
15,Valli,16,40,14.0,22.0,3.0,4.0,0.0,0.0,17,29,30.0,13.0,3.0,2.0,0.0,0.0,0.0
16,Valli,17,42,15.0,8.0,2.0,3.0,0.0,0.0,17,11,9.0,17.0,2.0,1.0,0.0,0.0,0.0
17,Valli,18,45,12.0,21.0,4.0,7.0,0.0,0.0,16,28,28.0,16.0,0.0,0.0,0.0,0.0,0.0
18,Valli,19,46,17.0,21.0,8.0,8.0,0.0,0.0,25,29,20.0,34.0,0.0,1.0,0.0,0.0,1.0
19,Valli,20,47,9.0,14.0,10.0,12.0,0.0,0.0,19,26,10.0,4.0,31.0,12.0,0.0,0.0,0.0
20,Valli,21,49,12.0,17.0,2.0,6.0,0.0,0.0,14,23,14.0,10.0,13.0,10.0,0.0,0.0,0.0
21,Valli,22,50,13.0,18.0,7.0,11.0,0.0,0.0,20,29,23.0,15.0,11.0,8.0,0.0,0.0,0.0
22,Valli,23,51,8.0,24.0,5.0,5.0,0.0,0.0,13,29,24.0,16.0,2.0,1.0,0.0,0.0,0.0
23,Valli,24,52,12.0,29.0,7.0,7.0,0.0,0.0,19,36,31.0,24.0,0.0,4.0,4.0,0.0,1.0
24,Valli,25,52,8.0,18.0,13.0,11.0,0.0,0.0,21,29,28.0,22.0,0.0,1.0,0.0,0.0,0.0
25,Valli,26,53,12.0,27.0,5.0,2.0,0.0,0.0,17,29,17.0,29.0,0.0,0.0,0.0,0.0,0.0
26,Valli,27,54,14.0,20.0,6.0,10.0,0.0,0.0,20,30,35.0,15.0,0.0,0.0,0.0,0.0,0.0
27,Valli,28,55,10.0,15.0,4.0,10.0,0.0,0.0,14,25,9.0,27.0,3.0,0.0,0.0,0.0,1.0
28,Valli,29,57,12.0,18.0,2.0,9.0,0.0,0.0,14,27,18.0,18.0,5.0,2.0,0.0,0.0,0.0
29,Valli,30,57,8.0,21.0,7.0,10.0,0.0,0.0,15,31,22.0,17.0,7.0,10.0,0.0,0.0,1.0
30,Valli,31,58,16.0,13.0,6.0,8.0,0.0,0.0,22,21,19.0,14.0,10.0,1.0,0.0,0.0,0.0
31,Valli,32,59,13.0,21.0,6.0,9.0,0.0,0.0,19,30,27.0,21.0,1.0,4.0,0.0,0.0,1.0
32,Valli,33,60,10.0,19.0,2.0,6.0,0.0,0.0,12,25,17.0,20.0,0.0,2.0,0.0,0.0,0.0
33,Valli,34,63,14.0,18.0,7.0,8.0,0.0,0.0,21,26,27.0,20.0,0.0,0.0,0.0,0.0,0.0
34,Valli,35,65,9.0,18.0,3.0,3.0,0.0,0.0,12,21,21.0,9.0,3.0,0.0,0.0,0.0,0.0
35,Valli,36,66,17.0,20.0,4.0,9.0,0.0,0.0,21,29,16.0,32.0,2.0,5.0,0.0,0.0,1.0
36,Valli,37,68,13.0,13.0,4.0,7.0,0.0,0.0,17,20,19.0,10.0,8.0,2.0,0.0,0.0,0.0
37,Valli,38,69,13.0,14.0,5.0,6.0,0.0,0.0,18,20,22.0,15.0,1.0,2.0,0.0,0.0,0.0
38,Valli,39,70,15.0,20.0,5.0,2.0,0.0,0.0,20,22,19.0,16.0,7.0,6.0,0.0,0.0,0.0
39,Valli,40,72,10.0,34.0,6.0,12.0,0.0,0.0,16,46,26.0,28.0,8.0,1.0,0.0,0.0,0.0
40,Valli,41,73,14.0,19.0,11.0,5.0,0.0,0.0,25,24,31.0,18.0,0.0,6.0,0.0,0.0,1.0
