,district,page_number,representative_plot,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,servants,unemployed,orthodox,other_christian,other_religion,draftable
0,Valli,1,5,12,27,16.0,14.0,0.0,0.0,28,41,38.0,31.0,0.0,0.0,0.0,0.0,0.0
1,Valli,2,9,15,23,8.0,12.0,0.0,0.0,23,35,27.0,18.0,13.0,8.0,0.0,0.0,0.0
2,Valli,3,11,16,23,14.0,12.0,0.0,0.0,30,35,48.0,10.0,7.0,0.0,0.0,0.0,0.0
3,Valli,4,15,19,20,8.0,8.0,0.0,0.0,27,28,23.0,19.0,13.0,4.0,0.0,0.0,1.0
4,Valli,5,20,17,28,16.0,11.0,0.0,0.0,33,39,48.0,12.0,12.0,1.0,0.0,0.0,0.0
5,Valli,6,25,16,25,7.0,5.0,0.0,0.0,23,30,17.0,28.0,8.0,8.0,0.0,0.0,0.0
6,Valli,7,28,21,21,21.0,10.0,0.0,0.0,42,31,42.0,30.0,1.0,7.0,0.0,0.0,0.0
7,Valli,8,34,18,16,5.0,6.0,0.0,0.0,23,22,32.0,10.0,3.0,1.0,0.0,0.0,0.0
8,Valli,9,37,20,24,11.0,14.0,0.0,0.0,31,38,30.0,22.0,17.0,5.0,0.0,0.0,2.0
9,Valli,10,39,21,28,11.0,4.0,0.0,0.0,32,32,35.0,21.0,8.0,20.0,0.0,0.0,1.0
10,Valli,11,41,25,25,7.0,6.0,0.0,0.0,32,31,24.0,29.0,10.0,8.0,0.0,0.0,0.0
11,Valli,12,45,14,24,13.0,12.0,0.0,0.0,26,36,37.0,23.0,2.0,2.0,0.0,0.0,0.0
12,Valli,13,48,12,21,8.0,17.0,0.0,0.0,20,38,22.0,10.0,26.0,10.0,0.0,0.0,0.0
13,Valli,14,51,14,29,9.0,5.0,0.0,0.0,23,34,24.0,32.0,1.0,8.0,0.0,0.0,1.0
14,Valli,15,55,12,30,9.0,13.0,0.0,0.0,21,43,41.0,17.0,6.0,0.0,0.0,0.0,0.0
15,Valli,16,57,29,31,13.0,8.0,0.0,0.0,33,39,22.0,47.0,3.0,0.0,0.0,0.0,0.0
16,Valli,17,60,15,27,7.0,8.0,0.0,0.0,22,35,39.0,14.0,4.0,2.0,0.0,0.0,0.0
17,Valli,18,63,19,25,7.0,10.0,0.0,0.0,26,35,30.0,27.0,4.0,21.0,0.0,0.0,0.0
18,Valli,19,66,26,20,17.0,14.0,0.0,0.0,43,34,44.0,33.0,0.0,12.0,0.0,0.0,0.0
19,Valli,20,68,24,17,8.0,8.0,0.0,0.0,32,25,19.0,13.0,25.0,4.0,0.0,0.0,0.0
20,Valli,21,70,17,26,6.0,7.0,0.0,0.0,23,33,22.0,17.0,17.0,1.0,0.0,0.0,0.0
21,Valli,22,72,17,38,11.0,12.0,0.0,0.0,28,50,40.0,27.0,11.0,6.0,0.0,0.0,0.0
22,Valli,23,76,18,23,6.0,10.0,0.0,0.0,24,33,30.0,26.0,1.0,3.0,0.0,0.0,1.0
23,Valli,24,82,20,23,7.0,6.0,0.0,0.0,27,29,30.0,17.0,9.0,0.0,0.0,0.0,2.0
24,Valli,25,89,19,22,17.0,18.0,0.0,0.0,36,40,38.0,22.0,16.0,17.0,0.0,0.0,1.0
25,Valli,26,93,16,32,15.0,9.0,0.0,0.0,31,45,50.0,18.0,8.0,9.0,0.0,0.0,1.0
26,Valli,27,98,14,28,10.0,13.0,0.0,0.0,24,41,35.0,14.0,16.0,0.0,0.0,0.0,0.0
27,Valli,28,106,9,29,12.0,11.0,0.0,0.0,21,40,31.0,13.0,17.0,5.0,0.0,0.0,0.0
28,Valli,29,109,26,23,6.0,11.0,0.0,0.0,32,34,40.0,25.0,1.0,0.0,0.0,0.0,1.0
29,Valli,30,113,17,24,10.0,9.0,0.0,0.0,27,33,28.0,25.0,7.0,8.0,0.0,0.0,0.0
30,Valli,31,116,22,21,7.0,7.0,0.0,0.0,29,28,47.0,6.0,4.0,4.0,0.0,0.0,1.0
31,Valli,32,118,20,28,4.0,13.0,0.0,0.0,24,41,33.0,17.0,15.0,3.0,0.0,0.0,0.0
32,Valli,33,121,19,20,5.0,10.0,0.0,0.0,24,30,34.0,14.0,6.0,0.0,0.0,0.0,1.0
33,Valli,34,125,16,26,8.0,11.0,0.0,0.0,24,37,24.0,17.0,20.0,0.0,0.0,0.0,0.0
34,Valli,35,127,20,24,3.0,5.0,0.0,0.0,23,29,24.0,9.0,19.0,4.0,0.0,0.0,1.0
35,Valli,36,129,24,23,7.0,20.0,0.0,0.0,31,43,33.0,10.0,31.0,2.0,0.0,0.0,0.0
36,Valli,37,136,14,24,10.0,14.0,0.0,0.0,24,38,33.0,10.0,19.0,1.0,0.0,0.0,1.0
37,Valli_uusi,38,140,15,18,5.0,10.0,0.0,0.0,20,28,24.0,16.0,8.0,0.0,0.0,0.0,1.0
38,Valli_uusi,39,150,19,30,5.0,2.0,0.0,0.0,24,32,42.0,13.0,1.0,0.0,0.0,0.0,2.0
39,Valli_uusi,40,163,18,24,6.0,8.0,0.0,0.0,24,32,18.0,20.0,18.0,3.0,0.0,0.0,0.0
40,Valli_uusi,41,163,20,20,10.0,12.0,0.0,0.0,30,32,23.0,14.0,25.0,0.0,0.0,0.0,0.0
41,Salakkalahti,42,3,16,28,5.0,8.0,0.0,0.0,21,36,38.0,14.0,5.0,0.0,0.0,0.0,0.0
42,Salakkalahti,43,6,21,34,14.0,21.0,0.0,0.0,35,55,49.0,40.0,1.0,14.0,0.0,0.0,1.0
43,Salakkalahti,44,9,14,29,9.0,12.0,0.0,0.0,23,41,35.0,22.0,7.0,0.0,0.0,0.0,0.0
44,Salakkalahti,45,11,11,30,16.0,13.0,0.0,0.0,27,43,41.0,23.0,6.0,2.0,1.0,0.0,0.0
45,Salakkalahti,46,14,21,25,6.0,8.0,0.0,0.0,27,33,30.0,16.0,14.0,3.0,0.0,0.0,1.0
46,Salakkalahti,47,16,21,39,8.0,4.0,0.0,0.0,29,43,41.0,28.0,3.0,7.0,1.0,0.0,1.0
47,Salakkalahti,48,17,17,22,0.0,6.0,0.0,0.0,17,28,29.0,13.0,3.0,0.0,0.0,0.0,0.0
48,Repola,49,2,17,36,11.0,11.0,0.0,0.0,28,47,40.0,31.0,4.0,12.0,0.0,0.0,0.0
49,Repola,50,4,17,26,6.0,4.0,0.0,0.0,23,30,35.0,12.0,6.0,9.0,0.0,0.0,0.0
50,Repola,51,8,27,21,13.0,8.0,0.0,0.0,40,29,34.0,22.0,13.0,0.0,0.0,0.0,3.0
51,Repola,52,15,15,29,11.0,20.0,0.0,0.0,26,49,50.0,25.0,0.0,0.0,0.0,0.0,0.0
