,district,plot_number,estate_income,business_income,salary_pension_income
340,Valli,"61,62",0.0,0.0,1.0
341,Valli,"61,62",0.0,0.0,1.0
342,Valli,"61,62",0.0,0.0,1.0
343,Valli,"61,62",0.0,0.0,1.0
344,Valli,"61,62",0.0,15.0,0.0
345,Valli,"61,62",0.0,0.0,1.0
346,Valli,"61,62",0.0,0.0,2.0
347,Valli,63,30.0,0.0,25.0
348,Valli,63,0.0,125.0,0.0
349,Valli,63,0.0,50.0,0.0
350,Valli,63,0.0,0.0,8.0
351,Valli,63,0.0,0.0,10.0
352,Valli,63,0.0,20.0,0.0
353,Valli,64,15.0,10.0,0.0
354,Valli,64,0.0,0.0,3.0
355,Valli,65,38.0,0.0,0.0
356,Valli,65,0.0,10.0,0.0
357,Valli,65,0.0,0.0,1.0
358,Valli,65,0.0,20.0,0.0
359,Valli,65,0.0,0.0,2.0
360,Valli,65,0.0,0.0,1.0
361,Valli,65,0.0,0.0,2.0
362,Valli,65,0.0,0.0,1.0
363,Valli,65,0.0,0.0,1.0
364,Valli,66,32.0,160.0,0.0
365,Valli,66,0.0,0.0,5.0
366,Valli,66,0.0,0.0,1.0
367,Valli,67,12.0,0.0,17.0
368,Valli,67,0.0,0.0,7.0
369,Valli,67,0.0,0.0,4.0
370,Valli,67,0.0,12.0,0.0
371,Valli,67,0.0,0.0,4.0
372,Valli,67,0.0,8.0,0.0
373,Valli,67,0.0,0.0,1.0
374,Valli,67,0.0,0.0,1.0
375,Valli,67,0.0,0.0,1.0
376,Valli,67,0.0,0.0,1.0
377,Valli,67,0.0,0.0,1.0
378,Valli,67,0.0,0.0,1.0
379,Valli,68,9.0,4.0,0.0
380,Valli,68,0.0,0.0,2.0
381,Valli,68,0.0,0.0,3.0
382,Valli,68,0.0,8.0,0.0
383,Valli,68,0.0,2.0,0.0
384,Valli,68,0.0,0.0,1.0
385,Valli,68,0.0,0.0,2.0
386,Valli,68,0.0,0.0,1.0
387,Valli,69a,3.0,0.0,12.0
388,Valli,69a,0.0,0.0,7.0
389,Valli,69a,0.0,0.0,1.0
390,Valli,69b,2.0,0.0,0.0
391,Valli,70,12.0,10.0,0.0
392,Valli,70,0.0,0.0,1.0
393,Valli,70,0.0,0.0,3.0
394,Valli,70,0.0,2.0,0.0
395,Valli,70,0.0,0.0,3.0
396,Valli,70,0.0,0.0,1.0
397,Valli,70,0.0,0.0,3.0
398,Valli,70,0.0,0.0,2.0
399,Valli,70,0.0,0.0,1.0
400,Valli,71,8.0,0.0,0.0
401,Valli,71,0.0,0.0,3.0
402,Valli,71,0.0,0.0,1.0
403,Valli,71,0.0,0.0,2.0
404,Valli,71,0.0,0.0,1.0
405,Valli,71,0.0,0.0,1.0
406,Valli,71,0.0,0.0,1.0
407,Valli,72,10.0,0.0,0.0
408,Valli,72,0.0,0.0,1.0
409,Valli,72,0.0,0.0,1.0
410,Valli,72,0.0,0.0,1.0
411,Valli,"73,78",10.0,0.0,55.0
412,Valli,"73,78",0.0,0.0,1.0
413,Valli,"73,78",0.0,0.0,8.0
414,Valli,"73,78",0.0,0.0,5.0
415,Valli,"73,78",0.0,0.0,3.0
416,Valli,74,4.0,0.0,0.0
417,Valli,74,0.0,0.0,4.0
418,Valli,74,0.0,0.0,1.0
419,Valli,75,14.0,0.0,15.0
420,Valli,75,0.0,20.0,0.0
421,Valli,75,0.0,0.0,1.0
422,Valli,76,4.0,0.0,0.0
423,Valli,76,0.0,0.0,2.0
424,Valli,77,3.0,0.0,1.0
425,Valli,77,0.0,0.0,15.0
426,Valli,77,0.0,0.0,1.0
427,Valli,79,12.0,40.0,0.0
428,Valli,79,0.0,0.0,1.0
429,Valli,79,0.0,0.0,1.0
430,Valli,80,4.0,0.0,20.0
431,Valli,80,0.0,0.0,1.0
432,Valli,81,4.0,0.0,12.0
433,Valli,81,0.0,0.0,1.0
434,Valli,82,4.0,12.0,0.0
435,Valli,"83,84",5.0,0.0,0.0
436,Valli,"83,84",0.0,0.0,15.0
437,Valli,"83,84",0.0,0.0,1.0
438,Valli,85,5.0,0.0,47.0
439,Valli,85,0.0,0.0,1.0
440,Valli,85,0.0,0.0,1.0
441,Valli,86,2.0,0.0,0.0
442,Valli,86,0.0,0.0,4.0
443,Valli,87,6.0,7.0,0.0
444,Valli,87,0.0,0.0,6.0
445,Valli,87,0.0,2.0,0.0
446,Valli,87,0.0,0.0,1.0
447,Valli,87,0.0,0.0,1.0
448,Valli,88,4.0,0.0,0.0
449,Valli,88,0.0,0.0,1.0
450,Valli,88,0.0,0.0,1.0
451,Valli,88,0.0,0.0,2.0
452,Valli,89,6.0,0.0,0.0
453,Valli,89,0.0,0.0,2.0
454,Valli,89,0.0,0.0,1.0
455,Valli,89,0.0,0.0,1.0
456,Valli,89,0.0,0.0,1.0
457,Valli,"90,91",5.0,35.0,0.0
458,Valli,"90,91",0.0,0.0,1.0
459,Valli,"90,91",0.0,0.0,3.0
460,Valli,"92,101",10.0,75.0,0.0
461,Valli,"92,101",0.0,0.0,2.0
462,Valli,"92,101",0.0,0.0,1.0
463,Valli,"92,101",0.0,0.0,6.0
464,Valli,"92,101",0.0,0.0,2.0
465,Valli,"92,101",0.0,0.0,1.0
466,Valli,"92,101",0.0,0.0,10.0
467,Valli,"92,101",0.0,0.0,20.0
468,Valli,"92,101",0.0,0.0,6.0
469,Valli,93,9.0,10.0,0.0
470,Valli,93,0.0,10.0,0.0
471,Valli,93,0.0,0.0,14.0
472,Valli,93,0.0,0.0,1.0
473,Valli,93,0.0,0.0,1.0
474,Valli,"94,95",9.0,0.0,20.0
475,Valli,"94,95",0.0,0.0,1.0
476,Valli,"94,95",0.0,5.0,0.0
477,Valli,"94,95",0.0,0.0,1.0
478,Valli,"94,95",0.0,0.0,1.0
479,Valli,"94,95",0.0,0.0,1.0
480,Valli,"94,95",0.0,0.0,2.0
481,Valli,"94,95",0.0,0.0,2.0
482,Valli,"94,95",0.0,0.0,1.0
483,Valli,96,6.0,0.0,32.0
484,Valli,96,0.0,0.0,2.0
485,Valli,96,0.0,0.0,2.0
486,Valli,97,2.0,0.0,0.0
487,Valli,97,0.0,0.0,3.0
488,Valli,97,0.0,0.0,1.0
489,Valli,98,1.0,0.0,1.0
490,Valli,98,0.0,0.0,1.0
491,Valli,"99,100",3.0,0.0,1.0
492,Valli,"99,100",0.0,0.0,5.0
493,Valli,"99,100",0.0,0.0,1.0
494,Valli,"99,100",0.0,0.0,5.0
495,Valli,"99,100",0.0,0.0,1.0
496,Valli,"102,107",14.0,0.0,0.0
497,Valli,"102,107",0.0,0.0,12.0
498,Valli,"102,107",0.0,0.0,8.0
499,Valli,"102,107",0.0,0.0,5.0
500,Valli,"102,107",0.0,2.0,0.0
501,Valli,"102,107",0.0,0.0,2.0
502,Valli,"102,107",0.0,0.0,1.0
503,Valli,"102,107",0.0,0.0,1.0
504,Valli,"102,107",0.0,0.0,1.0
505,Valli,"104,105",6.0,0.0,1.0
506,Valli,"104,105",0.0,0.0,1.0
507,Valli,106,5.0,16.0,0.0
508,Valli,106,0.0,6.0,0.0
509,Valli,106,0.0,0.0,2.0
510,Valli,"108,115",32.0,22.0,0.0
511,Valli,"108,115",0.0,0.0,1.0
512,Valli,"108,115",0.0,0.0,10.0
513,Valli,"108,115",0.0,0.0,2.0
514,Valli,"108,115",0.0,25.0,0.0
515,Valli,"108,115",0.0,0.0,2.0
516,Valli,"108,115",0.0,0.0,1.0
517,Valli,"108,115",0.0,3.0,0.0
518,Valli,"108,115",0.0,0.0,1.0
519,Valli,109,9.0,36.0,0.0
520,Valli,109,0.0,12.0,0.0
521,Valli,109,0.0,0.0,2.0
522,Valli,109,0.0,0.0,3.0
523,Valli,109,0.0,0.0,2.0
524,Valli,109,0.0,0.0,1.0
525,Valli,109,0.0,0.0,5.0
526,Valli,109,0.0,0.0,1.0
527,Valli,111,20.0,0.0,20.0
528,Valli,111,0.0,0.0,75.0
529,Valli,111,0.0,0.0,1.0
530,Valli,111,0.0,8.0,0.0
531,Valli,111,0.0,6.0,0.0
532,Valli,111,0.0,0.0,10.0
533,Valli,111,0.0,0.0,1.0
534,Valli,111,0.0,0.0,2.0
535,Valli,112,0.0,0.0,14.0
536,Valli,113,4.0,35.0,0.0
537,Valli,114,21.0,0.0,0.0
538,Valli,114,0.0,25.0,0.0
539,Valli,114,0.0,0.0,2.0
540,Valli,114,0.0,0.0,1.0
541,Valli,114,0.0,0.0,25.0
542,Valli,114,0.0,0.0,18.0
543,Valli,114,0.0,0.0,2.0
544,Valli,114,0.0,0.0,1.0
545,Valli,114,0.0,0.0,2.0
546,Valli,114,0.0,0.0,2.0
547,Valli,114,0.0,0.0,1.0
548,Valli,114,0.0,0.0,1.0
549,Valli,114,0.0,0.0,1.0
550,Valli,116,0.0,0.0,2.0
551,Valli,116,0.0,0.0,3.0
552,Valli,116,0.0,0.0,1.0
553,Valli,116,0.0,0.0,4.0
554,Valli,116,0.0,0.0,1.0
555,Valli,116,0.0,0.0,2.0
556,Valli,116,0.0,0.0,1.0
557,Valli,116,0.0,0.0,1.0
558,Valli,116,0.0,0.0,1.0
559,Valli,116,0.0,0.0,1.0
560,Valli,116,0.0,0.0,1.0
561,Valli,116,0.0,0.0,1.0
562,Valli,116,0.0,0.0,1.0
563,Valli,116,0.0,0.0,1.0
564,Valli,116,0.0,0.0,1.0
565,Valli,116,0.0,0.0,1.0
566,Valli,116,0.0,0.0,2.0
567,Valli,116,0.0,0.0,2.0
568,Valli,116,0.0,0.0,2.0
569,Valli,116,0.0,0.0,2.0
570,Valli,116,0.0,0.0,2.0
571,Valli,116,0.0,0.0,2.0
572,Valli,116,0.0,0.0,2.0
573,Valli,116,0.0,0.0,2.0
574,Valli,117,0.0,40.0,0.0
575,Valli,117,0.0,0.0,1.0
576,Valli,117,0.0,0.0,1.0
577,Valli,117,0.0,0.0,1.0
578,Valli,117,0.0,0.0,1.0
579,Valli,117,0.0,0.0,1.0
580,Valli,117,10.0,0.0,0.0
581,Valli,117,0.0,0.0,2.0
582,Valli,117,0.0,0.0,1.0
583,Valli,117,0.0,0.0,1.0
584,Valli,117,0.0,0.0,1.0
585,Valli,118,9.0,0.0,0.0
586,Valli,118,0.0,7.0,0.0
587,Valli,118,0.0,10.0,0.0
588,Valli,118,0.0,0.0,3.0
589,Valli,118,0.0,0.0,2.0
590,Valli,118,0.0,0.0,1.0
591,Valli,119,9.0,35.0,0.0
592,Valli,119,0.0,0.0,3.0
593,Valli,120,7.0,0.0,0.0
594,Valli,120,0.0,5.0,0.0
595,Valli,120,0.0,0.0,1.0
596,Valli,120,0.0,12.0,0.0
597,Valli,120,0.0,0.0,2.0
598,Valli,120,0.0,0.0,3.0
599,Valli,121,5.0,0.0,22.0
600,Valli,121,0.0,0.0,1.0
601,Valli,121,0.0,0.0,1.0
602,Valli,122,5.0,10.0,0.0
603,Valli,122,0.0,0.0,4.0
604,Valli,123,4.0,0.0,4.0
605,Valli,123,0.0,0.0,6.0
606,Valli,123,0.0,0.0,4.0
607,Valli,124,3.0,0.0,5.0
608,Valli,124,0.0,0.0,1.0
609,Valli,124,0.0,0.0,1.0
610,Valli,125,1.0,0.0,1.0
611,Valli,126,13.0,0.0,7.0
612,Valli,126,0.0,0.0,22.0
613,Valli,126,0.0,0.0,1.0
614,Valli,126,0.0,0.0,2.0
615,Valli,126,0.0,0.0,1.0
616,Valli,126,0.0,0.0,1.0
617,Valli,127,12.0,0.0,0.0
618,Valli,127,0.0,8.0,0.0
619,Valli,127,0.0,0.0,13.0
620,Valli,127,0.0,0.0,1.0
621,Valli,127,0.0,10.0,0.0
622,Valli,127,0.0,0.0,2.0
623,Valli,127,0.0,0.0,1.0
624,Valli,127,0.0,0.0,1.0
625,Valli,127,0.0,0.0,1.0
626,Valli,127,0.0,0.0,1.0
627,Valli,127,0.0,0.0,2.0
628,Valli,127,0.0,0.0,10.0
629,Valli,127,0.0,0.0,1.0
630,Valli,128,4.0,0.0,100.0
631,Valli,128,0.0,0.0,1.0
632,Valli,128,0.0,0.0,2.0
633,Valli,128,0.0,2.0,0.0
634,Valli,128,0.0,0.0,3.0
635,Valli,129,11.0,0.0,0.0
636,Valli,129,0.0,0.0,15.0
637,Valli,129,0.0,0.0,3.0
638,Valli,129,0.0,0.0,1.0
639,Valli,130,0.0,0.0,2.0
640,Valli,130,0.0,0.0,3.0
641,Valli,130,0.0,0.0,3.0
642,Valli,130,0.0,0.0,1.0
643,Valli,130,0.0,0.0,1.0
644,Valli,"131,132",0.0,0.0,50.0
645,Valli,"131,132",0.0,0.0,18.0
646,Valli,"131,132",0.0,0.0,2.0
647,Valli,133,0.0,0.0,4.0
648,Valli,133,0.0,0.0,2.0
649,Valli,133,0.0,0.0,1.0
650,Valli,134,10.0,0.0,0.0
651,Valli,134,0.0,0.0,9.0
652,Valli,134,0.0,0.0,1.0
653,Valli,134,0.0,0.0,1.0
654,Valli,134,0.0,0.0,1.0
655,Valli,134,0.0,0.0,1.0
656,Valli,134,0.0,0.0,1.0
657,Valli,134,0.0,0.0,1.0
658,Valli,134,0.0,0.0,1.0
659,Valli,134,0.0,0.0,1.0
660,Valli,134,0.0,0.0,1.0
661,Valli,134,0.0,0.0,1.0
662,Valli,"136,137",15.0,0.0,0.0
663,Valli,"136,137",0.0,0.0,1.0
664,Valli,"136,137",0.0,0.0,38.0
665,Valli,"136,137",0.0,0.0,1.0
666,Valli,"136,137",0.0,0.0,1.0
667,Valli,"136,137",0.0,0.0,2.0
668,Valli,"136,137",0.0,0.0,16.0
669,Valli,"136,137",0.0,0.0,1.0
670,Valli,"136,137",1.0,0.0,0.0
671,Valli,"136,137",0.0,0.0,2.0
672,Valli,"136,137",0.0,0.0,1.0
673,Valli,"136,137",0.0,1.0,0.0
674,Valli,"136,137",0.0,0.0,1.0
