,,S
Valli,2,-0.00362
Valli,5,-0.00281
Valli,10,0.00017
Valli,12,0.00019
Valli,17,-0.00039
Valli,24,-0.00149
Valli,26,0.00195
Valli,28,-0.00151
Valli,31,-0.00121
Valli,35,-0.00136
Valli,37,0.00031
Valli,40,-0.00035
Valli,44,-4e-05
Valli,46,-0.00139
Valli,50,-8e-05
Valli,52,0.00219
Valli,54,0.00033
Valli,56,0.00105
Valli,60,-0.00347
Valli,63,-0.00198
Valli,64,-0.00223
Valli,65,-0.00287
Valli,70,-0.00212
Valli,66,-0.00282
Valli,110,-0.00121
Valli,114,-0.00064
Valli,116,-0.00567
Valli,71,-0.00244
Valli,72,-0.00055
Valli,75,-0.00053
Valli,81,0.00023
Valli,85,0.00298
Valli,90,-0.0014
Valli,94,0.00367
Valli,106,-0.00061
Valli,102,-0.00309
Valli,118,-0.00195
Valli,120,-0.00194
Valli,122,0.00276
Valli,124,0.00668
Valli,127,-0.00077
Valli,128,-0.00123
Valli,130,-0.00025
Valli,136,-0.0005
Valli,138,0.00716
Valli_uusi,143,-0.00339
Valli_uusi,150,0.00038
Valli_uusi,152,-0.00208
Valli_uusi,153,-0.00084
Valli_uusi,166,-0.00133
Valli_uusi,173,0.00169
Valli_uusi,175,0.00077
Valli_uusi,178,0.00055
P_Annan_kruunu,1,0.00506
P_Annan_kruunu,80,-7e-05
Viipurin_esikaupunki,4,-0.00027
Viipurin_esikaupunki,9,0.00307
Viipurin_esikaupunki,15,0.00776
Viipurin_esikaupunki,18,0.00472
Viipurin_esikaupunki,31,-0.00132
Viipurin_esikaupunki,45,-0.00066
Viipurin_esikaupunki,50,-0.0013
Viipurin_esikaupunki,61,-0.00076
Viipurin_esikaupunki,76,0.00011
Viipurin_esikaupunki,87,0.00066
Viipurin_esikaupunki,95,0.00093
Viipurin_esikaupunki,110,0.00279
Viipurin_esikaupunki,117,0.00212
Viipurin_esikaupunki,123,-0.00122
Viipurin_esikaupunki,139,0.00113
Viipurin_esikaupunki,132,0.00501
Salakkalahti,2,9e-05
Salakkalahti,5,-0.00105
Salakkalahti,7,-0.00049
Salakkalahti,10,0.00224
Salakkalahti,12,-0.00122
Salakkalahti,14,-0.00259
Salakkalahti,16,-0.00304
Salakkalahti,18,4e-05
Repola,1,-0.00204
Repola,3,-0.00165
Repola,8,-0.00336
Repola,12,-0.00012
Repola,15,-0.00017
Repola,16,-2e-05
Repola,18,-0.00027
Repola,20,-0.0011
Repola,21,-0.00465
Repola,22,-0.00705
Repola,23,-0.00451
Repola,28,-0.00322
Repola,26,-0.00265
Repola,32,-0.00131
Repola,34,-0.00034
Repola,43,-0.00241
Repola,44,-0.00109
Repola,49,-0.00833
Repola,35,0.00169
Repola,36,0.0012
Repola,37,0.00089
Repola,39,-0.00058
Repola,56,-0.00036
Repola,58,0.00151
Repola,60,0.00017
Repola,63,-0.0027
Repola,66,-0.00466
Repola,68,-0.0021
Repola,70,-0.00085
Repola,76,-0.00054
Repola,81,0.00041
Repola,88,-0.00785
Repola,89,-0.00048
Repola,91,-0.00165
Repola,92,-0.00114
Repola,94,0.003
Repola,95,0.00087
Repola,96,-0.00012
Repola,98,0.00141
Repola,99,0.00187
Repola,101,-0.00154
Repola,103,-0.00159
Repola,104,-0.00123
Repola,106,0.00103
Repola,107,-0.00162
Repola,108,-0.0041
Pantsarlahti,1,-0.00131
Pantsarlahti,4,0.00293
Pantsarlahti,7,-0.00133
Pantsarlahti,9,-0.00203
Pantsarlahti,11,0.00135
Pantsarlahti,14,-0.00258
Pantsarlahti,15,0.00142
Pantsarlahti,18,0.00097
Pantsarlahti,19,-0.00562
Pantsarlahti,22,0.00212
Pantsarlahti,23,-0.00503
Pantsarlahti,25,-2e-05
Pantsarlahti,28,0.00167
Pantsarlahti,30,-0.00321
Pantsarlahti,32,0.00117
Pantsarlahti,35,0.00128
Pantsarlahti,36,-0.00116
Pantsarlahti,39,0.00095
Pantsarlahti,41,0.00126
Pantsarlahti,43,0.00172
Pantsarlahti,46,0.00197
Pantsarlahti,47,0.00141
Pantsarlahti,49,0.00154
Pantsarlahti,50,0.00049
Pantsarlahti,51,0.0015
Pantsarlahti,53,0.0016
Pantsarlahti,56,0.00143
Pantsarlahti,59,0.00146
Pantsarlahti,62,0.0015
Pantsarlahti,66,-9e-05
Pantsarlahti,69,-0.00498
Pantsarlahti,72,-0.00131
Pantsarlahti,76,-0.00057
Pantsarlahti,80,-0.00057
Pantsarlahti,82,0.00157
Pantsarlahti,86,-0.00355
Pantsarlahti,91,-0.00665
Pantsarlahti,94,-0.00068
Pantsarlahti,98,-0.00151
Anina,1,0.00302
Anina,9,0.00026
Anina,13,-0.00123
Anina,18,-0.00076
Anina,19,-0.00445
Anina,32,-0.00138
Anina,34,-0.00158
Anina,38,0.00064
Anina,40,-0.00169
Anina,45,-0.00188
Anina,49,-0.00013
Anina,50,0.00054
Anina,52,6e-05
Anina,53,0.00108
Anina,57,-0.00063
Anina,60,-0.00594
Anina,62,0.00065
Anina,64,-0.00146
Anina,67,-0.00069
Anina,74,-0.00176
Anina,78,0.00122
Anina,80,-0.00221
Anina,82,0.00032
Anina,85,0.00039
Anina,86,-4e-05
Anina,89,-0.00065
Anina,90,-6e-05
Anina,91,0.00061
Anina,93,0.00231
Anina,97,0.00126
Anina,103,0.00121
Anina,104,0.00185
Anina,105,0.00165
Anina,109,-0.00694
Anina,113,0.00147
Anina,114,0.00161
Anina,115,-0.00044
Anina,118,-8e-05
Anina,123,-0.00972
Anina,126,-0.00239
Anina,130,0.00077
Anina,131,-5e-05
Papula,14,0.00194
Papula,15,-0.00053
Papula,16,0.00199
Papula,17,0.00283
Papula,18,-0.00448
Papula,20,-0.00122
Papula,21,0.00185
Papula,26,0.00129
Papula,30,0.00557
Papula,32,0.00162
Papula,33,0.00134
Papula,34,0.00077
Papula,35,0.00622
Papula,36,0.00364
Papula,37,0.00162
Papula,56,0.00119
Saunalahti,16,0.00062
Pietarin_esikaupunki,16,-0.00163
Pietarin_esikaupunki,30,0.00033
Pietarin_esikaupunki,42,0.00135
Pietarin_esikaupunki,46,0.00306
Pietarin_esikaupunki,140,-0.00167
Pietarin_esikaupunki,157,-0.00142
Pietarin_esikaupunki,165,-0.00286
Pietarin_esikaupunki,193,-0.00118
Pietarin_esikaupunki,224,0.00136
Pietarin_esikaupunki,226,0.00071
