,,S
Valli,3,-0.00345
Valli,6,-0.00371
Valli,9,-0.00124
Valli,11,-0.00289
Valli,15,-0.00099
Valli,19,-0.00144
Valli,23,-0.00143
Valli,27,0.00561
Valli,34,-0.00175
Valli,36,-0.00246
Valli,38,-0.0024
Valli,39,-0.00125
Valli,42,-0.00249
Valli,45,9e-05
Valli,51,-0.00036
Valli,53,-0.00156
Valli,54,-0.00099
Valli,58,-0.00177
Valli,61,0.00395
Valli,62,0.00249
Valli,69,-0.00353
Valli,70,-0.00274
Valli,66,0.00243
Valli,109,-0.00175
Valli,113,0.00013
Valli,116,-0.00092
Valli,117,-0.00111
Valli,74,-0.00141
Valli,77,-0.00221
Valli,84,-0.00333
Valli,89,0.00175
Valli,92,0.00669
Valli,98,-0.00318
Valli,106,-0.00173
Valli,102,-0.00263
Valli,120,-0.0014
Valli,123,-0.0013
Valli,126,-0.00272
Valli,127,-0.00013
Valli,130,0.00154
Valli,134,0.00357
Valli,138,-0.00182
Valli,149,0.00096
Valli,150,0.00226
Valli,163,0.00156
Valli,178,0.00247
P_Annan_kruunu,1,-0.00293
P_Annan_kruunu,81,0.00463
Viipurin_esikaupunki,1,0.00106
Viipurin_esikaupunki,4,-0.00072
Viipurin_esikaupunki,10,-0.00127
Viipurin_esikaupunki,18,-0.00137
Viipurin_esikaupunki,26,-0.00112
Viipurin_esikaupunki,35,-0.00019
Viipurin_esikaupunki,45,0.00101
Viipurin_esikaupunki,49,-0.00217
Viipurin_esikaupunki,54,-0.00011
Viipurin_esikaupunki,60,-0.00338
Viipurin_esikaupunki,66,0.00024
Viipurin_esikaupunki,76,-0.00076
Viipurin_esikaupunki,84,-0.00205
Viipurin_esikaupunki,90,-0.00151
Viipurin_esikaupunki,99,0.00101
Viipurin_esikaupunki,117,-0.00157
Viipurin_esikaupunki,124,-0.00035
Viipurin_esikaupunki,139,-0.00087
P_Annan_kruunu,72,0.00136
Salakkalahti,2,0.00184
Salakkalahti,4,0.00407
Salakkalahti,7,0.00283
Salakkalahti,8,0.00192
Salakkalahti,10,0.00136
Salakkalahti,13,-0.00102
Salakkalahti,15,-0.00252
Salakkalahti,16,-0.00198
Salakkalahti,18,-5e-05
Repola,1,-0.01476
Repola,2,-0.00191
Repola,4,-0.00915
Repola,8,-0.00184
Repola,12,-0.00302
Repola,15,-0.0019
Repola,17,-0.0018
Repola,18,-0.00202
Repola,31,-0.00051
Repola,26,-0.00146
Repola,32,-0.00833
Repola,84,-0.00154
Pantsarlahti,3,-0.00451
Pantsarlahti,13,0.00314
Pantsarlahti,20,0.00408
Pantsarlahti,24,0.00231
Pantsarlahti,25,-0.00169
Pantsarlahti,28,0.00241
Pantsarlahti,33,0.00314
Pantsarlahti,35,0.00294
Pantsarlahti,37,-0.00599
Pantsarlahti,40,0.0028
Pantsarlahti,43,0.00426
Pantsarlahti,45,0.00343
Pantsarlahti,47,0.00159
Pantsarlahti,49,0.00172
Pantsarlahti,52,0.00311
Pantsarlahti,55,0.00103
Pantsarlahti,59,0.00146
Pantsarlahti,63,0.00439
Pantsarlahti,67,-0.00774
Pantsarlahti,71,0.00255
Pantsarlahti,75,-0.00233
Pantsarlahti,78,0.00379
Pantsarlahti,81,-0.00757
Pantsarlahti,86,0.00382
Pantsarlahti,93,-0.00514
Pantsarlahti,97,-0.00017
Pantsarlahti,100,9e-05
Anina,13,-0.00146
Anina,36,0.00174
Anina,39,0.00398
Anina,42,0.00173
Anina,45,0.00124
Anina,59,-0.0031
Anina,64,-0.00051
Anina,67,0.00326
Anina,76,0.00331
Anina,83,-0.00027
Anina,104,0.00203
Anina,106,0.00338
Anina,110,-0.00803
Anina,118,-0.00293
Anina,125,-0.00182
Anina,128,-0.00282
Papula,4,0.00435
Papula,7,0.00375
Papula,8,-0.00155
Papula,16,0.00406
Papula,22,0.00172
Papula,26,-0.00229
Papula,32,0.00355
Papula,41,0.00225
Saunalahti,2,0.00078
Saunalahti,11,-7e-05
Saunalahti,15,-0.00044
Pietarin_esikaupunki,7,0.00894
Pietarin_esikaupunki,10,0.00018
Pietarin_esikaupunki,13,-0.00195
Pietarin_esikaupunki,15,-0.00368
Pietarin_esikaupunki,18,-0.00383
Pietarin_esikaupunki,20,-0.00122
Pietarin_esikaupunki,21,0.00011
Pietarin_esikaupunki,30,0.00112
Pietarin_esikaupunki,36,-9e-05
Pietarin_esikaupunki,41,-0.00111
Pietarin_esikaupunki,44,0.00649
Pietarin_esikaupunki,49,0.00076
Pietarin_esikaupunki,52,-0.00162
Pietarin_esikaupunki,56,-0.00101
Pietarin_esikaupunki,65,-0.00018
Pietarin_esikaupunki,68,-0.00286
Pietarin_esikaupunki,81,-0.00087
Pietarin_esikaupunki,92,-0.00104
Pietarin_esikaupunki,100,-0.00163
Pietarin_esikaupunki,110,0.00097
Pietarin_esikaupunki,115,-0.00112
Pietarin_esikaupunki,123,0.00147
Pietarin_esikaupunki,133,-0.00109
Pietarin_esikaupunki,140,-0.00085
Pietarin_esikaupunki,141,-0.00137
Pietarin_esikaupunki,144,-0.00955
Pietarin_esikaupunki,154,-0.00101
Pietarin_esikaupunki,159,-0.00193
Pietarin_esikaupunki,166,0.00306
Pietarin_esikaupunki,173,-0.00358
Pietarin_esikaupunki,176,-0.00321
Pietarin_esikaupunki,180,-0.00453
Pietarin_esikaupunki,187,-0.00099
Pietarin_esikaupunki,192,-0.00274
Pietarin_esikaupunki,195,-0.00322
Pietarin_esikaupunki,198,-0.00117
Pietarin_esikaupunki,208,-0.00193
Pietarin_esikaupunki,212,-0.00333
Pietarin_esikaupunki,215,-0.00136
Pietarin_esikaupunki,223,-0.0029
Pietarin_esikaupunki,228,0.0003
Pietarin_esikaupunki,232,-0.00434
Pietarin_esikaupunki,236,0.00245
Pietarin_esikaupunki,243,0.00139
Pietarin_esikaupunki,255,0.0024
