,,S
Valli,3,-0.00388
Valli,6,-0.00459
Valli,9,-0.00053
Valli,11,-0.00222
Valli,15,-0.00044
Valli,19,-0.00172
Valli,23,-0.00126
Valli,27,0.00445
Valli,34,-0.00162
Valli,36,-0.00251
Valli,38,-0.00254
Valli,39,0.00012
Valli,42,-0.00258
Valli,45,0.00087
Valli,51,0.00023
Valli,53,-0.00086
Valli,54,-3e-05
Valli,58,-0.00176
Valli,61,0.00339
Valli,62,0.00178
Valli,69,-0.00355
Valli,70,-0.00277
Valli,66,0.00228
Valli,109,-0.00188
Valli,113,1e-05
Valli,116,-0.00074
Valli,117,-0.00109
Valli,74,-0.00163
Valli,77,-0.00227
Valli,84,-0.00338
Valli,89,0.0014
Valli,92,0.00493
Valli,98,-0.00309
Valli,106,-0.00195
Valli,102,-0.00284
Valli,120,-0.00152
Valli,123,-0.00155
Valli,126,-0.00312
Valli,127,5e-05
Valli,130,0.00179
Valli,134,0.00358
Valli,138,-0.00193
Valli,149,0.00056
Valli,150,0.002
Valli,163,0.00127
Valli,178,0.00205
P_Annan_kruunu,1,-0.0028
P_Annan_kruunu,81,0.00375
Viipurin_esikaupunki,1,0.00133
Viipurin_esikaupunki,4,-0.00027
Viipurin_esikaupunki,10,-0.00111
Viipurin_esikaupunki,18,-0.00042
Viipurin_esikaupunki,26,-0.00087
Viipurin_esikaupunki,35,-0.00084
Viipurin_esikaupunki,45,0.00148
Viipurin_esikaupunki,49,-0.00214
Viipurin_esikaupunki,54,-0.00029
Viipurin_esikaupunki,60,-0.00341
Viipurin_esikaupunki,66,6e-05
Viipurin_esikaupunki,76,-0.0013
Viipurin_esikaupunki,84,-0.00198
Viipurin_esikaupunki,90,-0.00142
Viipurin_esikaupunki,99,0.00087
Viipurin_esikaupunki,117,-0.00077
Viipurin_esikaupunki,124,-0.00028
Viipurin_esikaupunki,139,-0.00113
P_Annan_kruunu,72,0.00085
Salakkalahti,2,0.0018
Salakkalahti,4,0.00377
Salakkalahti,7,0.00278
Salakkalahti,8,0.00183
Salakkalahti,10,0.00156
Salakkalahti,13,-0.00125
Salakkalahti,15,-0.00268
Salakkalahti,16,-0.00254
Salakkalahti,18,-0.00052
Repola,1,-0.01082
Repola,2,-0.00209
Repola,4,-0.00771
Repola,8,-0.00095
Repola,12,-0.00294
Repola,15,-0.00229
Repola,17,-0.00193
Repola,18,-0.00094
Repola,31,-0.00026
Repola,26,-0.00156
Repola,32,-0.00918
Repola,84,-0.00055
Pantsarlahti,3,-0.0046
Pantsarlahti,13,0.00247
Pantsarlahti,20,0.00366
Pantsarlahti,24,0.00202
Pantsarlahti,25,-0.00238
Pantsarlahti,28,0.00219
Pantsarlahti,33,0.00286
Pantsarlahti,35,0.00267
Pantsarlahti,37,-0.0058
Pantsarlahti,40,0.00209
Pantsarlahti,43,0.00394
Pantsarlahti,45,0.00321
Pantsarlahti,47,0.00146
Pantsarlahti,49,0.00152
Pantsarlahti,52,0.00302
Pantsarlahti,55,0.00068
Pantsarlahti,59,0.00124
Pantsarlahti,63,0.00345
Pantsarlahti,67,-0.00779
Pantsarlahti,71,0.00204
Pantsarlahti,75,-0.00248
Pantsarlahti,78,0.00269
Pantsarlahti,81,-0.00755
Pantsarlahti,86,0.00364
Pantsarlahti,93,-0.00561
Pantsarlahti,97,-0.0004
Pantsarlahti,100,0.0001
Anina,13,-0.00174
Anina,36,0.00166
Anina,39,0.00394
Anina,42,0.00165
Anina,45,0.00097
Anina,59,-0.00322
Anina,64,-0.00069
Anina,67,0.00289
Anina,76,0.00325
Anina,83,-0.00062
Anina,104,0.00188
Anina,106,0.00336
Anina,110,-0.00556
Anina,118,-0.00207
Anina,125,-0.00194
Anina,128,-0.00274
Papula,4,0.00395
Papula,7,0.00356
Papula,8,-0.00232
Papula,16,0.004
Papula,22,0.0015
Papula,26,-0.00248
Papula,32,0.00319
Papula,41,0.00207
Saunalahti,2,0.00112
Saunalahti,11,0.0002
Saunalahti,15,-0.00024
Pietarin_esikaupunki,7,0.00808
Pietarin_esikaupunki,10,-0.0003
Pietarin_esikaupunki,13,-0.00185
Pietarin_esikaupunki,15,-0.00287
Pietarin_esikaupunki,18,-0.00391
Pietarin_esikaupunki,20,-0.00136
Pietarin_esikaupunki,21,0.00014
Pietarin_esikaupunki,30,0.00138
Pietarin_esikaupunki,36,-0.00013
Pietarin_esikaupunki,41,-0.00121
Pietarin_esikaupunki,44,0.00588
Pietarin_esikaupunki,49,0.00054
Pietarin_esikaupunki,52,-0.00178
Pietarin_esikaupunki,56,-0.00117
