,,S
Valli,2,0.00011
Valli,5,-0.00055
Valli,8,-0.00107
Valli,10,-0.0013
Valli,11,-0.00108
Valli,15,-0.00137
Valli,19,0.00144
Valli,20,-0.00153
Valli,26,-0.00111
Valli,28,-0.00178
Valli,29,-0.00116
Valli,33,-0.00188
Valli,34,-0.00211
Valli,35,0.0006
Valli,39,0.00638
Valli,40,-0.00125
Valli,42,-0.00088
Valli,45,-0.00194
Valli,46,-0.00213
Valli,47,0.00396
Valli,49,0.00347
Valli,50,0.00143
Valli,51,-0.00138
Valli,52,-0.00243
Valli,53,-0.00061
Valli,54,-0.00029
Valli,55,-0.00038
Valli,57,-0.00459
Valli,58,-0.00121
Valli,59,-0.00047
Valli,60,-0.00079
Valli,63,-0.00246
Valli,65,-0.00178
Valli,68,-0.00079
Valli,69,-0.00084
Valli,70,0.00131
Valli,66,0.00033
Valli,109,-0.00081
Valli,113,0.00202
Valli,114,-0.00142
Valli,116,-0.00161
Valli,117,-0.001
Valli,72,-0.00194
Valli,73,-0.00022
Valli,75,0.00118
Valli,79,0.00542
Valli,82,-0.00106
Valli,86,-0.00222
Valli,89,-0.00171
Valli,92,-0.00204
Valli,94,0.00383
Valli,96,-0.00154
Valli,99,0.00102
Valli,106,0.00046
Valli,118,0.00116
Valli,120,-0.00102
Valli,122,-0.00081
Valli,126,-0.00083
Valli,127,-0.00075
Valli,128,-0.00175
Valli,130,0.00057
Valli,133,0.00133
Valli,136,-0.00155
Valli,149,-0.00107
Valli,150,-0.00557
Valli,151,-0.00032
Valli,153,0.00099
Valli,163,-0.00045
Valli,166,-0.0025
Valli,178,-0.0007
P_Annan_kruunu,1,0.00053
P_Annan_kruunu,80,-0.00139
Viipurin_esikaupunki,1,-0.00022
Viipurin_esikaupunki,3,-0.00148
Viipurin_esikaupunki,6,-0.00074
Viipurin_esikaupunki,9,-0.00212
Viipurin_esikaupunki,10,0.00053
Viipurin_esikaupunki,13,0.00082
Viipurin_esikaupunki,17,-0.00155
Viipurin_esikaupunki,21,-0.00016
Viipurin_esikaupunki,25,0.00409
Viipurin_esikaupunki,28,-0.00201
Viipurin_esikaupunki,34,0.00344
Viipurin_esikaupunki,45,0.00112
Viipurin_esikaupunki,48,-0.00025
Viipurin_esikaupunki,50,-0.00014
Viipurin_esikaupunki,55,-0.00139
Viipurin_esikaupunki,56,0.00046
Viipurin_esikaupunki,60,0.0016
Viipurin_esikaupunki,62,-0.00157
Viipurin_esikaupunki,69,-0.00132
Viipurin_esikaupunki,77,-0.00176
Viipurin_esikaupunki,85,-0.00169
Viipurin_esikaupunki,90,-0.00059
Viipurin_esikaupunki,95,1e-05
Viipurin_esikaupunki,100,-0.0008
Viipurin_esikaupunki,106,-0.0006
Viipurin_esikaupunki,112,-0.00093
Viipurin_esikaupunki,118,-0.00165
Viipurin_esikaupunki,123,-0.0016
Viipurin_esikaupunki,138,-0.00077
Viipurin_esikaupunki,131,-0.00099
Salakkalahti,1,-0.00025
Salakkalahti,2,-0.00096
Salakkalahti,4,-0.00103
Salakkalahti,6,-0.00105
