,,S
Valli,3,0.0032
Valli,8,0.00237
Valli,11,-7e-05
Valli,15,-0.00079
Valli,19,-0.00352
Valli,21,-0.00221
Valli,24,0.00126
Valli,26,-0.00011
Valli,31,-0.00157
Valli,34,0.00341
Valli,36,-0.00526
Valli,39,0.00281
Valli,45,-0.00225
Valli,49,-0.00185
Valli,52,0.001
Valli,56,0.001
Valli,60,-0.00285
Valli,63,-0.00131
Valli,65,0.00218
Valli,68,-0.00208
Valli,109,-0.00476
Valli,113,-0.00267
Valli,116,-0.00293
Valli,117,-0.00426
Valli,71,0.00092
Valli,75,-0.00274
Valli,82,-0.00498
Valli,88,-0.00314
Valli,92,-0.00544
Valli,96,-0.00274
Valli,106,-0.00366
Valli,102,-0.00262
Valli,120,-0.00264
Valli,124,-0.00224
Valli,128,-0.00501
Valli,131,-0.00146
Valli,136,-0.00111
Valli,154,-0.00065
Valli,166,0.00379
P_Annan_kruunu,1,-0.00111
P_Annan_kruunu,81,0.0
Viipurin_esikaupunki,3,-0.00144
Viipurin_esikaupunki,8,0.00156
Viipurin_esikaupunki,17,0.0021
Viipurin_esikaupunki,27,0.0
Viipurin_esikaupunki,37,0.00228
Viipurin_esikaupunki,49,0.00165
Viipurin_esikaupunki,57,-0.00361
Viipurin_esikaupunki,68,-0.00145
Viipurin_esikaupunki,81,-0.0039
Viipurin_esikaupunki,91,-0.00251
Viipurin_esikaupunki,102,-0.00275
Viipurin_esikaupunki,110,-0.00252
Viipurin_esikaupunki,122,0.0002
Viipurin_esikaupunki,139,-0.00036
P_Annan_kruunu,72,2e-05
Salakkalahti,3,0.00414
Salakkalahti,6,0.00372
Salakkalahti,8,0.00696
Salakkalahti,11,-0.00169
Salakkalahti,13,0.00435
Salakkalahti,15,0.00468
Salakkalahti,17,0.00166
Repola,2,-0.00934
Repola,13,-0.00022
Repola,17,-0.00259
Repola,30,-0.01496
Repola,84,0.00148
Pantsarlahti,19,0.00513
Pantsarlahti,25,0.01126
Pantsarlahti,27,0.0056
Pantsarlahti,34,0.0057
Pantsarlahti,39,0.00583
Pantsarlahti,45,0.00455
Pantsarlahti,49,0.00428
Pantsarlahti,54,0.00602
Pantsarlahti,61,0.00537
Pantsarlahti,66,0.00579
Pantsarlahti,71,0.00482
Pantsarlahti,77,0.00555
Pantsarlahti,83,-0.00279
Pantsarlahti,92,0.00561
Pantsarlahti,98,0.00437
Anina,37,0.0023
Anina,59,0.00029
Anina,66,0.003
Anina,76,0.00072
Anina,85,-0.002
Anina,108,-0.01236
Anina,120,0.00175
Papula,8,0.00497
Papula,18,0.00296
Papula,32,0.00213
Saunalahti,3,-0.00065
Saunalahti,16,-0.00066
Pietarin_esikaupunki,8,0.00232
Pietarin_esikaupunki,13,-0.00084
Pietarin_esikaupunki,16,-0.01274
Pietarin_esikaupunki,22,0.00283
Pietarin_esikaupunki,36,0.0021
Pietarin_esikaupunki,48,0.00276
Pietarin_esikaupunki,53,-0.00275
Pietarin_esikaupunki,62,-0.00146
Pietarin_esikaupunki,70,-0.00109
Pietarin_esikaupunki,78,-0.00151
Pietarin_esikaupunki,87,-0.00156
Pietarin_esikaupunki,98,-0.01551
Pietarin_esikaupunki,107,-0.00361
Pietarin_esikaupunki,118,0.00076
Pietarin_esikaupunki,127,-0.00186
Pietarin_esikaupunki,137,-0.00158
Pietarin_esikaupunki,141,-0.00076
Pietarin_esikaupunki,151,-0.0029
Pietarin_esikaupunki,161,-0.00384
Pietarin_esikaupunki,167,-0.00086
Pietarin_esikaupunki,173,-0.00227
Pietarin_esikaupunki,177,-0.00376
Pietarin_esikaupunki,183,-0.00252
Pietarin_esikaupunki,191,-0.00252
Pietarin_esikaupunki,192,-0.0028
Pietarin_esikaupunki,201,-0.00255
Pietarin_esikaupunki,208,-0.00182
Pietarin_esikaupunki,214,-0.00504
Pietarin_esikaupunki,221,-0.00017
Pietarin_esikaupunki,226,-0.00203
Pietarin_esikaupunki,230,-0.00314
Pietarin_esikaupunki,234,-0.00343
Pietarin_esikaupunki,241,-0.0017
Pietarin_esikaupunki,255,-0.00249
Pietarin_esikaupunki,261,-0.00431
Pietarin_esikaupunki,269,-0.00318
Pietarin_esikaupunki,276,-0.00314
