,,S
Valli,2,0.00175
Valli,6,0.00169
Valli,9,0.0015
Valli,11,0.00193
Valli,15,0.00103
Valli,19,-0.00439
Valli,24,0.00056
Valli,27,-0.00013
Valli,31,0.00014
Valli,35,-0.00171
Valli,36,-0.00132
Valli,38,0.00046
Valli,40,-0.002
Valli,44,0.0004
Valli,45,0.00101
Valli,49,0.00074
Valli,50,-0.00585
Valli,52,-0.00353
Valli,53,0.00237
Valli,55,0.0017
Valli,57,0.00189
Valli,59,0.00044
Valli,62,-6e-05
Valli,64,-0.00139
Valli,65,-0.00207
Valli,68,-0.00293
Valli,70,-0.00075
Valli,66,-0.00273
Valli,112,0.0037
Valli,117,-0.00109
Valli,73,0.00025
Valli,76,-0.00086
Valli,82,0.00482
Valli,85,0.00399
Valli,89,-0.00082
Valli,92,0.00073
Valli,94,0.00819
Valli,99,-0.00116
Valli,104,0.00328
Valli,118,-0.00611
Valli,120,-0.00138
Valli,122,0.00092
Valli,124,0.00843
Valli,126,-0.00096
Valli,127,-0.00073
Valli,133,0.00074
Valli,134,0.00026
Valli,138,-0.0018
Valli,143,0.0042
Valli,144,0.00175
Valli,150,0.00387
Valli,152,0.00488
Valli,153,1e-05
Valli,163,0.00236
Valli,167,0.00177
Valli,173,0.0025
Valli,177,0.002
Valli,178,-0.00527
P_Annan_kruunu,1,0.00027
Viipurin_esikaupunki,2,0.00023
Viipurin_esikaupunki,8,0.00104
Viipurin_esikaupunki,10,0.00047
Viipurin_esikaupunki,17,0.00198
Viipurin_esikaupunki,24,-0.00199
Viipurin_esikaupunki,38,0.0009
Viipurin_esikaupunki,48,-0.0003
Viipurin_esikaupunki,53,-0.00085
Viipurin_esikaupunki,61,-0.00069
Viipurin_esikaupunki,66,-0.0052
Viipurin_esikaupunki,81,-0.00021
Viipurin_esikaupunki,86,0.00031
Viipurin_esikaupunki,90,0.00053
Viipurin_esikaupunki,110,0.00018
Viipurin_esikaupunki,120,0.00122
Viipurin_esikaupunki,138,0.0009
Salakkalahti,1,-0.00025
Salakkalahti,2,-0.00092
Salakkalahti,5,-0.00184
Salakkalahti,6,-0.00174
Salakkalahti,7,0.00338
Salakkalahti,8,0.00213
Salakkalahti,10,0.01192
Salakkalahti,12,-0.00547
Salakkalahti,14,-0.00196
Salakkalahti,17,-3e-05
Repola,2,-0.00107
Repola,4,-0.00418
Repola,6,-0.00094
Repola,8,0.00103
Repola,9,-0.00115
Repola,12,-0.00101
Repola,13,-0.00138
Repola,15,-0.00032
Repola,16,-0.00026
Repola,17,-0.00073
Repola,18,-0.00108
Repola,20,-0.00309
Repola,22,-0.00084
Repola,23,-0.00905
Repola,24,-0.00059
Repola,30,-0.00468
Repola,31,-0.00092
Repola,27,-0.00145
Repola,33,-0.00043
Repola,34,-0.0018
Repola,47,-0.00143
Repola,52,-0.00015
Repola,35,-0.00204
Repola,36,-0.00299
Repola,37,-0.00403
Repola,39,-0.00166
Repola,55,0.00492
Repola,56,-0.00715
Repola,58,0.00113
Repola,60,0.00358
Repola,66,-0.00781
Repola,68,-0.00227
Repola,70,-0.0013
Repola,77,-0.00108
Repola,81,-0.00049
Repola,88,-0.0099
Repola,90,-0.00039
Repola,91,-0.00028
Repola,93,0.00122
Repola,94,0.00031
Repola,96,0.00044
Repola,97,0.00265
Repola,99,0.00189
Repola,101,-0.00588
Repola,102,-0.00545
Repola,103,0.00033
Repola,104,0.00187
Repola,105,0.00116
Repola,106,0.00219
Repola,107,0.00279
Repola,108,0.00107
Pantsarlahti,1,0.00414
Pantsarlahti,3,0.00117
Pantsarlahti,4,-0.00076
Pantsarlahti,5,-0.00122
Pantsarlahti,7,-0.00203
Pantsarlahti,9,-0.00064
Pantsarlahti,11,0.00025
Pantsarlahti,14,-0.00159
Pantsarlahti,15,-0.00135
Pantsarlahti,16,-0.00102
Pantsarlahti,18,-0.00177
Pantsarlahti,20,-0.00082
Pantsarlahti,21,-0.00115
Pantsarlahti,22,-0.00151
Pantsarlahti,23,-0.00022
Pantsarlahti,25,0.00015
Pantsarlahti,27,-0.00019
Pantsarlahti,28,-0.00238
Pantsarlahti,29,-0.0011
Pantsarlahti,32,-0.001
Pantsarlahti,34,-0.00115
Pantsarlahti,36,-0.00122
Pantsarlahti,38,-0.00077
Pantsarlahti,40,0.0019
Pantsarlahti,41,8e-05
Pantsarlahti,43,-0.0001
Pantsarlahti,46,-0.01023
Pantsarlahti,47,0.00088
Pantsarlahti,48,0.00081
Pantsarlahti,49,0.00023
Pantsarlahti,50,-0.0001
Pantsarlahti,51,-0.00031
Pantsarlahti,53,-0.00046
Pantsarlahti,55,-0.00073
Pantsarlahti,57,-0.00084
Pantsarlahti,59,-0.00207
Pantsarlahti,61,-0.00208
Pantsarlahti,63,-0.00061
Pantsarlahti,66,-0.00342
Pantsarlahti,69,-0.00155
Pantsarlahti,72,-0.00076
Pantsarlahti,75,0.00044
Pantsarlahti,78,-0.00281
Pantsarlahti,81,0.00014
Pantsarlahti,82,0.00522
Pantsarlahti,83,-0.00229
Pantsarlahti,86,-0.0011
Pantsarlahti,90,0.01173
Pantsarlahti,93,-0.00169
Pantsarlahti,96,-0.00168
Pantsarlahti,99,0.00033
Anina,1,-0.00054
Anina,9,-0.00083
Anina,12,-0.0003
Anina,13,-0.0021
Anina,19,-0.00151
Anina,33,0.00095
Anina,36,0.00124
Anina,38,0.00147
Anina,39,0.00116
Anina,43,-0.00671
Anina,48,-0.00213
Anina,51,-0.00014
Anina,56,0.00131
Anina,59,-0.00289
Anina,60,0.00176
Anina,62,0.0018
Anina,64,-0.00258
Anina,74,0.00024
Anina,77,-0.00672
Anina,80,-0.00231
Anina,85,0.00145
Anina,86,0.0018
Anina,89,-0.00243
Anina,90,0.00085
Anina,91,-0.00015
Anina,93,-5e-05
Anina,95,0.00145
Anina,101,0.0018
Anina,103,0.00197
Anina,104,0.0006
Anina,106,0.00214
Anina,109,0.00046
Anina,111,4e-05
Anina,113,0.00131
Anina,114,-0.00114
Anina,115,0.00183
Anina,117,-0.00622
Anina,119,-0.00084
Anina,123,-0.00201
Anina,125,-0.0022
Anina,128,0.00046
Anina,130,-0.00237
Papula,14,-0.00388
Papula,15,-0.00098
Papula,16,-0.00139
Papula,17,-0.0011
Papula,18,-0.02041
Papula,20,-0.00116
Papula,23,0.0017
Papula,26,0.00173
Papula,30,-0.00318
Papula,32,-0.00031
Papula,33,-0.00287
Papula,34,0.00148
Papula,35,0.00342
Papula,36,-0.00355
Papula,41,0.00055
Papula,56,0.00149
Saunalahti,11,-4e-05
Saunalahti,4,-0.0
Pietarin_esikaupunki,16,-0.00211
Pietarin_esikaupunki,27,-0.00176
Pietarin_esikaupunki,32,-0.0024
Pietarin_esikaupunki,42,0.0032
Pietarin_esikaupunki,47,-0.00325
Pietarin_esikaupunki,100,0.00041
Pietarin_esikaupunki,145,0.00072
Pietarin_esikaupunki,157,-0.00038
Pietarin_esikaupunki,165,-0.00183
Pietarin_esikaupunki,175,-0.00112
Pietarin_esikaupunki,194,-8e-05
Pietarin_esikaupunki,221,0.00038
