,,S
Valli,1,-0.0001
Valli,2,0.00028
Valli,3,0.00094
Valli,5,0.00299
Valli,6,0.00191
Valli,7,0.0
Valli,8,0.00114
Valli,9,-0.02252
Valli,10,0.00107
Valli,11,-0.00269
Valli,12,-0.02634
Valli,14,0.00453
Valli,15,0.00119
Valli,16,0.0
Valli,17,0.00307
Valli,19,-0.00908
Valli,20,0.00093
Valli,21,0.0013
Valli,23,-0.00049
Valli,24,-0.00453
Valli,25,0.0
Valli,26,-0.00229
Valli,27,0.00039
Valli,28,0.00303
Valli,29,-0.0044
Valli,31,-0.00256
Valli,33,0.01844
Valli,34,0.00757
Valli,35,-0.00284
Valli,36,-0.00551
Valli,37,0.00301
Valli,38,-0.01263
Valli,39,0.03158
Valli,40,0.0
Valli,42,-0.00478
Valli,44,0.02838
Valli,45,-0.01264
Valli,46,-0.01706
Valli,47,0.00105
Valli,49,-0.00404
Valli,50,-0.02624
Valli,51,-0.00166
Valli,52,0.00224
Valli,53,-0.00765
Valli,54,-0.00672
Valli,55,-0.00276
Valli,56,-0.00088
Valli,57,-0.00772
Valli,58,0.00033
Valli,59,-0.00613
Valli,60,0.0052
Valli,61,0.00311
Valli,63,0.00335
Valli,64,-0.00156
Valli,65,-0.00326
Valli,68,-0.00263
Valli,69,-0.00208
Valli,70,-0.00754
Valli,66,-0.00198
Valli,67,0.00521
Valli,108,-0.00126
Valli,109,-0.0033
Valli,110,-0.00025
Valli,111,-0.0064
Valli,112,0.0
Valli,113,0.0071
Valli,114,-0.01059
Valli,116,-0.00555
Valli,71,-0.00247
Valli,72,-0.00011
Valli,73,0.00062
Valli,74,0.00206
Valli,75,-0.0255
Valli,76,0.0
Valli,77,0.0
Valli,79,-0.00065
Valli,80,0.00178
Valli,81,5e-05
Valli,82,-0.00323
Valli,83,-0.00017
Valli,85,-0.00237
Valli,86,-0.00075
Valli,87,-0.00181
Valli,88,-0.00099
Valli,89,0.00342
Valli,90,0.00148
Valli,92,0.00377
Valli,93,0.00331
Valli,94,-0.0124
Valli,95,0.00098
Valli,96,0.00151
Valli,97,0.00312
Valli,98,0.00121
Valli,99,0.00236
Valli,104,0.00225
Valli,106,0.00349
Valli,102,-0.01488
Valli,118,0.00189
Valli,119,-0.00181
Valli,120,-0.00109
Valli,121,-0.00504
Valli,122,-0.00356
Valli,123,-0.00083
Valli,124,-0.00091
Valli,125,-0.00191
Valli,126,0.00186
Valli,127,-0.00562
Valli,128,0.00399
Valli,129,0.00392
Valli,130,0.00141
Valli,131,0.00276
Valli,133,0.00355
Valli,134,0.00506
Valli,136,0.00167
Valli,138,0.0022
Valli_uusi,140,-0.00106
Valli_uusi,145,-9e-05
Valli_uusi,149,-0.00304
Valli_uusi,150,-0.00971
Valli_uusi,151,-0.00138
Valli_uusi,153,-0.0011
Valli_uusi,162,-0.00041
Valli_uusi,163,-0.00234
Valli_uusi,165,0.00602
Valli_uusi,166,0.00282
Valli_uusi,167,-0.01408
Valli_uusi,168,0.00083
Valli_uusi,176,0.00396
Valli_uusi,178,0.01711
