,,S
Valli,1,-0.00267
Valli,5,-0.00208
Valli,8,-0.00179
Valli,9,0.00432
Valli,10,-0.0014
Valli,13,0.00307
Valli,15,-0.00181
Valli,17,0.00071
Valli,20,-0.00224
Valli,23,-0.00211
Valli,26,-0.00055
Valli,29,-0.00302
Valli,31,0.00505
Valli,35,0.00089
Valli,38,0.00742
Valli,42,-0.00175
Valli,44,0.00825
Valli,45,-0.00377
Valli,46,-0.00155
Valli,49,-0.00271
Valli,50,0.00365
Valli,51,-0.00301
Valli,52,-0.0017
Valli,53,-0.00272
Valli,54,0.00249
Valli,55,-0.00061
Valli,57,-0.00093
Valli,58,-0.0023
Valli,59,-0.00266
Valli,60,-0.0023
Valli,63,-0.00115
Valli,65,-0.00144
Valli,68,-5e-05
Valli,69,0.00097
Valli,67,0.00218
Valli,108,0.00065
Valli,109,-0.00184
Valli,111,0.00162
Valli,114,-0.00185
Valli,116,-0.00055
Valli,117,0.00105
Valli,71,0.00124
Valli,74,-0.00217
Valli,75,0.00331
Valli,79,-0.00111
Valli,81,-0.00034
Valli,85,-0.00162
Valli,88,-0.00206
Valli,90,-0.0019
Valli,93,-0.00192
Valli,94,-0.00072
Valli,97,-0.00136
Valli,100,-0.00068
Valli,106,-0.00102
Valli,119,-0.00064
Valli,121,-0.00114
Valli,123,-0.00123
Valli,125,-0.00151
Valli,126,-0.00056
Valli,127,-0.00118
Valli,128,-0.00125
Valli,130,-0.00025
Valli,134,0.00055
Valli,136,-0.00074
Valli,138,-0.00043
Valli_uusi,146,-0.00167
Valli_uusi,150,-0.005
Valli_uusi,151,-0.00084
Valli_uusi,153,-0.00049
Valli_uusi,164,-0.00111
Valli_uusi,166,-0.00036
Valli_uusi,168,-0.00341
Valli_uusi,178,0.00072
P_Annan_kruunu,1,0.00045
P_Annan_kruunu,81,-0.00139
Viipurin_esikaupunki,2,0.00102
Viipurin_esikaupunki,4,-0.00026
Viipurin_esikaupunki,8,-0.00086
Viipurin_esikaupunki,9,0.00229
Viipurin_esikaupunki,10,0.00012
Viipurin_esikaupunki,16,0.00073
Viipurin_esikaupunki,18,0.00141
Viipurin_esikaupunki,21,0.00226
Viipurin_esikaupunki,24,-0.00054
Viipurin_esikaupunki,28,-0.00038
Viipurin_esikaupunki,30,-0.00251
Viipurin_esikaupunki,42,-0.00216
Viipurin_esikaupunki,46,0.00041
Viipurin_esikaupunki,49,-0.00013
Viipurin_esikaupunki,52,-0.00051
Viipurin_esikaupunki,57,-0.00082
