,,S
Valli,6,0.00216
Valli,10,-0.00037
Valli,14,-0.00018
Valli,19,-0.00312
Valli,24,0.00403
Valli,26,0.00126
Valli,29,-0.00416
Valli,34,-0.00332
Valli,36,-0.00178
Valli,39,0.00349
Valli,42,-0.00166
Valli,46,0.00014
Valli,51,-0.00373
Valli,54,0.00279
Valli,59,-0.00269
Valli,63,-0.00584
Valli,70,-0.00197
Valli,67,-0.0037
Valli,109,-0.00424
Valli,114,-0.00359
Valli,116,-0.00404
Valli,75,-0.00041
Valli,81,-0.00384
Valli,88,-0.00242
Valli,93,-0.0054
Valli,98,-0.00297
Valli,106,-0.0111
Valli,119,-0.00264
Valli,123,-0.00289
Valli,127,-0.01353
Valli,133,-0.00012
Valli,138,-0.0008
Valli,154,-0.002
Valli,164,0.0028
P_Annan_kruunu,80,0.0041
Viipurin_esikaupunki,1,-0.00022
Viipurin_esikaupunki,4,-0.0043
Viipurin_esikaupunki,18,-0.00028
Viipurin_esikaupunki,24,-0.00166
Viipurin_esikaupunki,35,0.00393
Viipurin_esikaupunki,45,-0.00114
Viipurin_esikaupunki,54,-0.00253
Viipurin_esikaupunki,62,-0.00195
Viipurin_esikaupunki,74,-0.00049
Viipurin_esikaupunki,84,-0.00284
Viipurin_esikaupunki,98,-0.00022
Viipurin_esikaupunki,110,-0.00089
Viipurin_esikaupunki,131,-0.00274
Viipurin_esikaupunki,141,-0.00088
P_Annan_kruunu,2,-0.00138
Salakkalahti,4,0.00144
Salakkalahti,8,-0.00104
Salakkalahti,11,-0.00718
Salakkalahti,13,-0.00422
Salakkalahti,15,-0.00284
Salakkalahti,18,-0.00187
Repola,1,-0.00671
Repola,3,-0.00141
Repola,13,-0.0005
Repola,16,-0.00397
Repola,31,-0.01134
Repola,84,0.0021
Pantsarlahti,20,0.00455
Pantsarlahti,25,0.00034
Pantsarlahti,34,0.00246
Pantsarlahti,36,-0.00867
Pantsarlahti,41,0.00511
Pantsarlahti,45,0.00507
Pantsarlahti,49,0.00544
Pantsarlahti,51,0.00115
Pantsarlahti,56,0.00438
Pantsarlahti,60,0.00529
Pantsarlahti,67,0.00502
Pantsarlahti,71,0.00503
Pantsarlahti,75,0.00241
Pantsarlahti,80,0.0053
Pantsarlahti,91,0.00544
Pantsarlahti,94,0.0043
Pantsarlahti,99,0.0038
Anina,36,0.00137
Anina,37,0.00273
Anina,63,-0.00241
Anina,66,0.00237
Anina,75,0.00227
Anina,106,0.00174
Anina,107,-0.00422
Anina,116,0.00323
Anina,120,0.00202
Papula,4,-0.00752
Papula,18,0.00073
Papula,23,0.00624
Papula,33,0.00583
Saunalahti,1,-0.00084
Saunalahti,11,-0.00128
Pietarin_esikaupunki,8,0.00743
Pietarin_esikaupunki,15,-0.00197
Pietarin_esikaupunki,16,-0.00255
Pietarin_esikaupunki,22,-0.00511
Pietarin_esikaupunki,23,-0.00351
Pietarin_esikaupunki,36,5e-05
Pietarin_esikaupunki,41,-0.00273
Pietarin_esikaupunki,44,0.00697
Pietarin_esikaupunki,52,0.00071
Pietarin_esikaupunki,56,0.00152
Pietarin_esikaupunki,65,-0.00084
Pietarin_esikaupunki,75,-0.00209
Pietarin_esikaupunki,86,0.00223
Pietarin_esikaupunki,97,-0.00894
Pietarin_esikaupunki,104,-0.00153
Pietarin_esikaupunki,116,-0.0033
Pietarin_esikaupunki,119,0.00288
Pietarin_esikaupunki,131,-0.00364
Pietarin_esikaupunki,138,-0.00051
Pietarin_esikaupunki,142,0.00125
Pietarin_esikaupunki,151,-0.00194
Pietarin_esikaupunki,163,-0.00288
Pietarin_esikaupunki,167,0.00203
Pietarin_esikaupunki,175,-0.00178
Pietarin_esikaupunki,183,-0.00305
Pietarin_esikaupunki,192,-0.00122
Pietarin_esikaupunki,198,-0.00224
Pietarin_esikaupunki,210,-0.00241
Pietarin_esikaupunki,213,-0.00209
Pietarin_esikaupunki,220,-0.00342
Pietarin_esikaupunki,226,-0.0
Pietarin_esikaupunki,232,-0.00099
Pietarin_esikaupunki,243,-0.00045
Pietarin_esikaupunki,255,0.00302
Pietarin_esikaupunki,267,-0.00015
