,,S
Valli,3,0.00228
Valli,10,0.00052
Valli,15,-0.00247
Valli,16,-0.01101
Valli,19,-0.00297
Valli,23,-0.00364
Valli,27,-0.00427
Valli,33,-0.00199
Valli,35,-0.00184
Valli,38,0.00399
Valli,45,-0.00292
Valli,49,-0.00417
Valli,54,0.00326
Valli,59,-0.00061
Valli,65,-0.00337
Valli,68,-0.00218
Valli,70,-0.00303
Valli,111,-0.00334
Valli,114,-0.00318
Valli,73,0.0024
Valli,80,0.00056
Valli,88,-0.00612
Valli,94,-0.00042
Valli,99,-0.00459
Valli,106,-0.00594
Valli,118,-0.0027
Valli,121,-0.00039
Valli,126,-0.00489
Valli,129,-0.0021
Valli,134,0.00357
Valli,150,0.00413
Valli,151,0.00075
Valli,164,0.0061
P_Annan_kruunu,80,0.00211
Viipurin_esikaupunki,2,-0.00104
Viipurin_esikaupunki,15,-0.00156
Viipurin_esikaupunki,24,-0.00191
Viipurin_esikaupunki,7,-0.00258
Viipurin_esikaupunki,40,-0.00334
Viipurin_esikaupunki,49,-0.00637
Viipurin_esikaupunki,54,-0.00356
Viipurin_esikaupunki,63,-0.003
Viipurin_esikaupunki,77,-0.00193
Viipurin_esikaupunki,100,-0.00195
Viipurin_esikaupunki,111,-0.00399
Viipurin_esikaupunki,124,-0.00122
Viipurin_esikaupunki,138,-0.00101
P_Annan_kruunu,2,-0.00104
Salakkalahti,2,0.00229
Salakkalahti,6,0.00349
Salakkalahti,9,0.00207
Salakkalahti,12,0.00392
Salakkalahti,14,0.00442
Salakkalahti,17,0.00188
Repola,1,-0.01555
Repola,3,-0.00186
Repola,8,-0.00085
Repola,15,0.00207
Repola,23,-0.00423
Repola,31,-0.00017
Repola,84,0.0008
Pantsarlahti,2,-0.00716
Pantsarlahti,20,0.00267
Pantsarlahti,25,0.00641
Pantsarlahti,27,-0.00737
Pantsarlahti,35,0.00514
Pantsarlahti,39,0.0041
Pantsarlahti,43,0.00363
Pantsarlahti,45,-0.00879
Pantsarlahti,48,0.00431
Pantsarlahti,50,0.00052
Pantsarlahti,54,0.00465
Pantsarlahti,60,0.0041
Pantsarlahti,65,0.00425
Pantsarlahti,71,0.00349
Pantsarlahti,75,0.0036
Pantsarlahti,80,0.00361
Pantsarlahti,84,0.00317
Pantsarlahti,91,0.00564
Pantsarlahti,96,0.0049
Pantsarlahti,99,0.00143
Anina,36,0.00055
Anina,37,0.00249
Anina,58,0.00268
Anina,64,0.00053
Anina,68,-0.00059
Anina,77,0.00399
Anina,106,0.00427
Anina,107,-0.00859
Anina,113,0.00382
Anina,121,0.00299
Papula,1,0.00031
Papula,4,-0.00242
Papula,8,0.00491
Papula,22,0.00503
Papula,30,0.00577
Papula,33,0.00114
Saunalahti,2,0.00387
Saunalahti,16,0.00054
Pietarin_esikaupunki,5,0.00492
Pietarin_esikaupunki,9,0.00722
Pietarin_esikaupunki,13,-0.00394
Pietarin_esikaupunki,16,-0.00231
Pietarin_esikaupunki,19,-0.00448
Pietarin_esikaupunki,23,-0.00144
Pietarin_esikaupunki,27,-0.00304
Pietarin_esikaupunki,35,-0.00415
Pietarin_esikaupunki,41,0.00185
Pietarin_esikaupunki,49,0.00843
Pietarin_esikaupunki,53,-0.00389
Pietarin_esikaupunki,62,-0.00296
Pietarin_esikaupunki,68,-0.00364
Pietarin_esikaupunki,82,0.00188
Pietarin_esikaupunki,92,-0.00149
Pietarin_esikaupunki,100,-0.00153
Pietarin_esikaupunki,112,-0.00307
Pietarin_esikaupunki,123,-0.00281
Pietarin_esikaupunki,135,-0.00082
Pietarin_esikaupunki,140,-0.0071
Pietarin_esikaupunki,149,-0.00026
Pietarin_esikaupunki,159,-0.0033
Pietarin_esikaupunki,169,0.00053
Pietarin_esikaupunki,176,-0.0062
Pietarin_esikaupunki,182,-0.00599
Pietarin_esikaupunki,192,0.00307
Pietarin_esikaupunki,196,-0.00267
Pietarin_esikaupunki,208,-0.00325
Pietarin_esikaupunki,213,-0.00184
Pietarin_esikaupunki,221,-0.00356
Pietarin_esikaupunki,226,0.00447
Pietarin_esikaupunki,232,-0.00525
Pietarin_esikaupunki,236,0.00898
Pietarin_esikaupunki,245,-0.003
Pietarin_esikaupunki,259,0.00126
Pietarin_esikaupunki,267,-0.0024
