,,S
Valli,3,0.00266
Valli,10,0.00034
Valli,15,-0.00371
Valli,16,-0.01225
Valli,19,-0.00436
Valli,23,-0.00456
Valli,27,-0.00253
Valli,33,-0.00322
Valli,35,-0.00213
Valli,38,0.00438
Valli,45,-0.00216
Valli,49,-0.0044
Valli,54,0.00312
Valli,59,-0.00085
Valli,65,-0.00303
Valli,68,-0.00226
Valli,70,-0.00335
Valli,111,-0.00359
Valli,114,-0.00296
Valli,73,0.00316
Valli,80,0.00173
Valli,88,-0.00847
Valli,94,-0.00099
Valli,99,-0.00481
Valli,106,-0.00535
Valli,118,-0.00117
Valli,121,0.00154
Valli,126,-0.00637
Valli,129,-0.00178
Valli,134,0.00337
Valli,150,0.00337
Valli,151,0.00016
Valli,164,0.00435
P_Annan_kruunu,80,0.00175
Viipurin_esikaupunki,2,-0.001
Viipurin_esikaupunki,15,0.00011
Viipurin_esikaupunki,24,-0.00222
Viipurin_esikaupunki,7,-0.00164
Viipurin_esikaupunki,40,-0.00348
Viipurin_esikaupunki,49,-0.00405
Viipurin_esikaupunki,54,-0.00257
Viipurin_esikaupunki,63,-0.00286
Viipurin_esikaupunki,77,-0.00195
Viipurin_esikaupunki,100,0.00029
Viipurin_esikaupunki,111,-0.00436
Viipurin_esikaupunki,124,0.00059
Viipurin_esikaupunki,138,0.00096
P_Annan_kruunu,2,-7e-05
Salakkalahti,2,0.00244
Salakkalahti,6,0.00406
Salakkalahti,9,0.00147
Salakkalahti,12,0.00332
Salakkalahti,14,0.00258
Salakkalahti,17,1e-05
Repola,1,-0.01096
Repola,3,-0.00263
Repola,8,0.00238
Repola,15,-0.0025
Repola,23,-0.00505
Repola,31,0.00061
Repola,84,-0.00086
Pantsarlahti,2,-0.00493
Pantsarlahti,20,0.00163
Pantsarlahti,25,0.00571
Pantsarlahti,27,-0.0075
Pantsarlahti,35,0.00366
Pantsarlahti,39,0.00337
Pantsarlahti,43,0.00312
Pantsarlahti,45,-0.00924
Pantsarlahti,48,0.00333
Pantsarlahti,50,0.0001
Pantsarlahti,54,0.00358
Pantsarlahti,60,0.00361
Pantsarlahti,65,0.00357
Pantsarlahti,71,0.00341
Pantsarlahti,75,0.00308
Pantsarlahti,80,0.00298
Pantsarlahti,84,0.00301
Pantsarlahti,91,0.0046
Pantsarlahti,96,0.00401
Pantsarlahti,99,0.00117
Anina,36,0.00051
Anina,37,0.00216
Anina,58,0.00128
Anina,64,0.0001
Anina,68,-0.00099
Anina,77,0.00351
Anina,106,0.00313
Anina,107,-0.00802
Anina,113,0.00116
Anina,121,0.00244
Papula,1,0.00063
Papula,4,-0.00287
Papula,8,0.00406
Papula,22,0.00411
Papula,30,0.0047
Papula,33,0.00127
Saunalahti,2,0.00247
Saunalahti,16,-0.00033
Pietarin_esikaupunki,5,0.00378
Pietarin_esikaupunki,9,0.00463
Pietarin_esikaupunki,13,-0.00383
Pietarin_esikaupunki,16,-0.00669
Pietarin_esikaupunki,19,-0.00236
Pietarin_esikaupunki,23,-0.0031
Pietarin_esikaupunki,27,-0.0003
Pietarin_esikaupunki,35,-0.00113
Pietarin_esikaupunki,41,0.00128
Pietarin_esikaupunki,49,0.00497
Pietarin_esikaupunki,53,-0.00318
Pietarin_esikaupunki,62,-0.00273
Pietarin_esikaupunki,68,-0.00263
Pietarin_esikaupunki,82,0.00216
Pietarin_esikaupunki,92,-0.00167
Pietarin_esikaupunki,100,-0.00167
Pietarin_esikaupunki,112,-0.00365
Pietarin_esikaupunki,123,-0.00349
Pietarin_esikaupunki,135,-0.00017
Pietarin_esikaupunki,140,-0.00742
Pietarin_esikaupunki,149,0.00115
Pietarin_esikaupunki,159,-0.00332
Pietarin_esikaupunki,169,-0.00065
Pietarin_esikaupunki,176,-0.00567
Pietarin_esikaupunki,182,-0.00571
Pietarin_esikaupunki,192,0.00088
Pietarin_esikaupunki,196,-0.00285
Pietarin_esikaupunki,208,-0.00302
Pietarin_esikaupunki,213,-0.00268
Pietarin_esikaupunki,221,-0.00352
Pietarin_esikaupunki,226,0.00146
Pietarin_esikaupunki,232,-0.00494
Pietarin_esikaupunki,236,0.00759
Pietarin_esikaupunki,245,-0.00223
Pietarin_esikaupunki,259,0.00232
Pietarin_esikaupunki,267,-0.00326
