,,S
Valli,2,0.00136
Valli,5,0.00068
Valli,8,-0.00021
Valli,10,-0.00109
Valli,11,-0.00319
Valli,15,-0.00114
Valli,19,-0.00011
Valli,20,-0.00154
Valli,26,-0.0012
Valli,28,-0.00178
Valli,29,-0.00125
Valli,33,-0.00151
Valli,34,-0.00156
Valli,35,-0.00056
Valli,39,0.00386
Valli,40,-0.00124
Valli,42,-0.0008
Valli,45,-0.0008
Valli,46,-0.00169
Valli,47,0.00167
Valli,49,0.00299
Valli,50,0.00079
Valli,51,-0.00127
Valli,52,-0.00253
Valli,53,-4e-05
Valli,54,0.00019
Valli,55,-0.0001
Valli,57,-0.00749
Valli,58,-0.00118
Valli,59,-0.00061
Valli,60,-0.00089
Valli,63,-0.00245
Valli,65,-0.00172
Valli,68,-0.00089
Valli,69,-0.00094
Valli,70,0.00092
Valli,66,-6e-05
Valli,109,-0.00105
Valli,113,0.00178
Valli,114,-0.00146
Valli,116,-0.00095
Valli,117,-0.00229
Valli,72,-0.00186
Valli,73,-0.00085
Valli,75,0.00084
Valli,79,0.00442
Valli,82,-0.00115
Valli,86,-0.00216
Valli,89,-0.00127
Valli,92,-0.00188
Valli,94,0.00302
Valli,96,-0.00155
Valli,99,0.0004
Valli,106,-0.0001
Valli,118,0.00044
Valli,120,-0.00108
Valli,122,-0.00093
Valli,126,-0.00039
Valli,127,-0.00028
Valli,128,-0.00274
Valli,130,0.00111
Valli,133,0.00195
Valli,136,-0.00118
Valli_uusi,149,-0.00147
Valli_uusi,150,-0.00391
Valli_uusi,151,-0.00074
Valli_uusi,153,0.00104
Valli_uusi,163,-0.00148
Valli_uusi,166,-0.0021
Valli_uusi,178,-0.00156
P_Annan_kruunu,1,0.00128
P_Annan_kruunu,80,-0.0004
Viipurin_esikaupunki,1,0.00084
Viipurin_esikaupunki,3,-0.00081
Viipurin_esikaupunki,6,-0.00092
Viipurin_esikaupunki,9,-0.00179
Viipurin_esikaupunki,10,-0.00108
Viipurin_esikaupunki,13,-0.00179
Viipurin_esikaupunki,17,-0.00104
Viipurin_esikaupunki,21,0.00054
Viipurin_esikaupunki,25,0.00286
Viipurin_esikaupunki,28,-0.00194
Viipurin_esikaupunki,34,0.00229
Viipurin_esikaupunki,45,-0.00093
Viipurin_esikaupunki,48,-0.00078
Viipurin_esikaupunki,50,-0.00028
Viipurin_esikaupunki,55,-0.00141
Viipurin_esikaupunki,56,0.00026
Viipurin_esikaupunki,60,0.0018
Viipurin_esikaupunki,62,-0.00149
Viipurin_esikaupunki,69,-0.00096
Viipurin_esikaupunki,77,-0.00089
Viipurin_esikaupunki,85,-0.00098
Viipurin_esikaupunki,90,-0.0005
Viipurin_esikaupunki,95,-0.00143
Viipurin_esikaupunki,100,-0.00081
Viipurin_esikaupunki,106,0.0006
Viipurin_esikaupunki,112,-0.00018
Viipurin_esikaupunki,118,0.00011
Viipurin_esikaupunki,123,-0.00053
Viipurin_esikaupunki,138,-0.00075
Viipurin_esikaupunki,131,-0.00068
Salakkalahti,1,0.00019
Salakkalahti,2,0.00024
Salakkalahti,4,0.00016
Salakkalahti,6,-0.00103
Salakkalahti,7,-4e-05
Salakkalahti,8,-0.00216
Salakkalahti,9,-0.00126
Salakkalahti,10,0.00224
Salakkalahti,12,-0.00087
Salakkalahti,13,-0.00184
Salakkalahti,15,-0.00073
Salakkalahti,16,0.00513
Salakkalahti,18,-0.00031
Repola,1,-0.0009
Repola,3,-0.00014
Repola,4,-0.00161
Repola,5,-0.00053
Repola,6,-0.00036
Repola,8,-0.00087
Repola,11,-0.001
Repola,12,-0.00308
Repola,14,-0.00097
Repola,15,-0.00063
Repola,16,0.00038
Repola,17,-0.0007
Repola,18,-0.00129
Repola,20,-0.00202
Repola,23,-0.00297
Repola,24,-0.00145
Repola,29,-0.00436
Repola,31,-0.00026
Repola,27,-0.00156
Repola,32,-0.00088
Repola,34,0.00044
Repola,35,-0.00337
Repola,36,0.00111
Repola,37,-0.00103
Repola,58,4e-05
Repola,66,-0.00118
Repola,68,-0.00119
Repola,77,-0.00019
Repola,78,-0.00072
Repola,84,-0.00062
Repola,88,-0.00141
Repola,93,-0.00084
Repola,95,-0.00532
Repola,96,-0.00091
Repola,99,-0.00129
Repola,100,-0.00316
Repola,103,-0.00106
Repola,104,-0.0024
Repola,106,-0.00048
Repola,107,-0.00461
Repola,108,-0.00055
Pantsarlahti,1,-0.00201
Pantsarlahti,2,-0.00078
Pantsarlahti,4,-0.00062
Pantsarlahti,6,0.00127
Pantsarlahti,7,-0.00303
Pantsarlahti,10,-0.00858
Pantsarlahti,13,-0.00031
Pantsarlahti,14,-0.00027
Pantsarlahti,15,0.00023
Pantsarlahti,19,0.00192
Pantsarlahti,20,0.00181
Pantsarlahti,21,0.00173
Pantsarlahti,22,0.00146
Pantsarlahti,23,0.00027
Pantsarlahti,24,0.0006
Pantsarlahti,25,0.00176
Pantsarlahti,27,0.00053
Pantsarlahti,28,-0.00353
Pantsarlahti,29,0.00077
Pantsarlahti,32,0.00129
Pantsarlahti,33,-0.00576
Pantsarlahti,34,0.00129
Pantsarlahti,36,0.00296
Pantsarlahti,38,-0.00093
Pantsarlahti,41,-0.00174
Pantsarlahti,43,-0.0024
Pantsarlahti,45,0.00115
Pantsarlahti,46,0.00119
Pantsarlahti,47,-0.00171
Pantsarlahti,48,0.00158
Pantsarlahti,49,0.00128
Pantsarlahti,50,0.00389
Pantsarlahti,51,0.00219
Pantsarlahti,53,-0.00053
Pantsarlahti,54,0.00138
Pantsarlahti,56,0.00159
Pantsarlahti,58,0.00131
Pantsarlahti,60,0.00217
Pantsarlahti,62,0.0018
Pantsarlahti,65,0.00184
Pantsarlahti,68,0.00135
Pantsarlahti,69,0.00101
Pantsarlahti,72,-0.00145
Pantsarlahti,75,0.00043
Pantsarlahti,76,0.00152
Pantsarlahti,78,0.00196
Pantsarlahti,80,0.00176
Pantsarlahti,84,-0.00151
Pantsarlahti,86,0.00153
Pantsarlahti,87,0.00184
Pantsarlahti,91,-0.00103
Pantsarlahti,92,0.00053
Pantsarlahti,96,-0.00408
Pantsarlahti,97,-0.0043
Pantsarlahti,99,-0.0003
Pantsarlahti,101,0.00121
Anina,13,0.00197
Anina,19,0.00205
Anina,21,0.00033
Anina,29,0.00058
Anina,33,-0.00154
Anina,36,0.00201
Anina,38,0.0016
Anina,39,0.0016
Anina,41,0.00193
Anina,45,0.00164
Anina,49,0.0017
Anina,50,0.00098
Anina,56,0.00013
Anina,59,0.00058
Anina,61,-0.0032
Anina,63,0.00197
Anina,65,-0.00151
Anina,66,0.00171
Anina,74,0.00214
Anina,75,-0.00303
Anina,76,0.00225
Anina,78,0.00168
Anina,82,0.00172
Anina,85,-0.0009
Anina,96,-5e-05
Anina,103,0.00199
Anina,105,0.00153
Anina,108,0.00176
Anina,110,0.00163
Anina,112,0.00195
Anina,113,0.00208
Anina,115,0.00185
Anina,116,-0.00687
Anina,118,0.00076
Anina,120,-0.00032
Anina,123,-0.0037
Anina,125,-0.00057
Anina,127,-0.0012
Anina,129,-0.00132
Anina,131,-0.00054
Papula,16,-0.00261
Papula,17,0.00146
Papula,19,-0.00784
Papula,21,0.00222
Papula,22,0.00233
Papula,24,0.00193
Papula,30,0.00659
Papula,32,0.00239
Papula,33,-0.00387
Papula,44,0.00029
Papula,56,0.0018
Saunalahti,1,0.0001
Saunalahti,2,0.002
Saunalahti,11,-7e-05
Saunalahti,12,-0.00113
Pietarin_esikaupunki,4,0.00078
Pietarin_esikaupunki,7,-8e-05
Pietarin_esikaupunki,11,-0.00099
Pietarin_esikaupunki,13,-0.00102
Pietarin_esikaupunki,14,-0.00566
Pietarin_esikaupunki,15,-0.00014
Pietarin_esikaupunki,16,0.00124
Pietarin_esikaupunki,18,0.00155
Pietarin_esikaupunki,27,0.00168
Pietarin_esikaupunki,30,0.0016
Pietarin_esikaupunki,41,-0.00061
Pietarin_esikaupunki,42,-0.00211
Pietarin_esikaupunki,44,-0.00217
Pietarin_esikaupunki,46,0.00102
Pietarin_esikaupunki,52,-0.00092
Pietarin_esikaupunki,56,-0.00047
Pietarin_esikaupunki,81,-0.00959
Pietarin_esikaupunki,83,-0.00061
Pietarin_esikaupunki,100,-0.00119
Pietarin_esikaupunki,102,-0.00086
Pietarin_esikaupunki,107,8e-05
Pietarin_esikaupunki,118,-0.00089
Pietarin_esikaupunki,121,-0.00096
Pietarin_esikaupunki,133,-0.0002
Pietarin_esikaupunki,140,0.00115
Pietarin_esikaupunki,141,0.00099
Pietarin_esikaupunki,149,0.00011
Pietarin_esikaupunki,156,-0.00044
Pietarin_esikaupunki,158,1e-05
Pietarin_esikaupunki,164,-0.0017
Pietarin_esikaupunki,169,-0.00235
Pietarin_esikaupunki,175,-0.00046
Pietarin_esikaupunki,191,-0.00094
Pietarin_esikaupunki,192,-0.00127
Pietarin_esikaupunki,196,-0.00053
Pietarin_esikaupunki,198,-0.00024
Pietarin_esikaupunki,213,-0.00024
Pietarin_esikaupunki,215,-0.00053
Pietarin_esikaupunki,226,-0.00098
Pietarin_esikaupunki,231,-0.00089
Pietarin_esikaupunki,260,0.00046
Pietarin_esikaupunki,264,-0.0012
