,,S
Valli,2,-0.00457
Valli,5,-0.00288
Valli,10,-0.00019
Valli,12,1e-05
Valli,17,-0.00061
Valli,24,-0.00125
Valli,26,-0.0001
Valli,28,-0.00149
Valli,31,-0.00101
Valli,35,-0.00095
Valli,37,0.00124
Valli,40,-0.00127
Valli,44,-0.00053
Valli,46,-0.00189
Valli,50,-0.00052
Valli,52,0.00135
Valli,54,0.00034
Valli,56,0.0005
Valli,60,-0.00176
Valli,63,-0.00214
Valli,64,-0.00233
Valli,65,-0.00299
Valli,70,-0.00245
Valli,66,-0.00294
Valli,110,-0.00134
Valli,114,-0.00045
Valli,116,-0.00521
Valli,71,-0.00213
Valli,72,-0.00084
Valli,75,-0.00091
Valli,81,0.00058
Valli,85,0.00366
Valli,90,-0.00116
Valli,94,0.00438
Valli,106,-0.00046
Valli,102,-0.00324
Valli,118,-0.00205
Valli,120,-0.00225
Valli,122,0.00421
Valli,124,0.00784
Valli,127,-0.00168
Valli,128,-0.00109
Valli,130,-0.00177
Valli,136,-0.0004
Valli,138,0.0082
Valli_uusi,143,-0.00524
Valli_uusi,150,-0.00059
Valli_uusi,152,-0.00437
Valli_uusi,153,-0.00129
Valli_uusi,166,-0.00118
Valli_uusi,173,0.00172
Valli_uusi,175,0.00024
Valli_uusi,178,-0.00281
P_Annan_kruunu,1,0.00584
P_Annan_kruunu,80,-0.00027
Viipurin_esikaupunki,4,-1e-05
Viipurin_esikaupunki,9,0.00388
Viipurin_esikaupunki,15,0.00915
Viipurin_esikaupunki,18,0.00571
Viipurin_esikaupunki,31,-0.00125
Viipurin_esikaupunki,45,-0.00051
Viipurin_esikaupunki,50,-0.00127
Viipurin_esikaupunki,61,-0.00064
Viipurin_esikaupunki,76,0.0003
Viipurin_esikaupunki,87,0.00095
Viipurin_esikaupunki,95,0.00128
Viipurin_esikaupunki,110,0.00341
Viipurin_esikaupunki,117,0.00257
Viipurin_esikaupunki,123,-0.00115
Viipurin_esikaupunki,139,0.00245
Viipurin_esikaupunki,132,0.00585
Salakkalahti,2,-0.00053
Salakkalahti,5,-0.00163
Salakkalahti,7,3e-05
Salakkalahti,10,0.00324
Salakkalahti,12,-0.00092
Salakkalahti,14,-0.00312
Salakkalahti,16,-0.00245
Salakkalahti,18,-0.0005
Repola,1,-0.00187
Repola,3,-0.00148
Repola,8,-0.00317
Repola,12,-0.0004
Repola,15,-3e-05
Repola,16,-0.00017
Repola,18,-0.00038
Repola,20,-0.00134
Repola,21,-0.00433
Repola,22,-0.00883
Repola,23,-0.00433
Repola,28,-0.00242
Repola,26,-0.00251
Repola,32,-0.00074
Repola,34,-0.00044
Repola,43,-0.0031
Repola,44,-0.00111
Repola,49,-0.00875
Repola,35,0.00144
Repola,36,0.0014
Repola,37,0.00106
Repola,39,-0.00021
Repola,56,-0.00047
Repola,58,0.00163
Repola,60,0.00045
Repola,63,-0.00237
Repola,66,-0.00603
Repola,68,-0.00293
Repola,70,-0.00138
Repola,76,0.00018
Repola,81,-0.00033
Repola,88,-0.00661
Repola,89,-0.00043
Repola,91,-0.00146
Repola,92,-0.0009
Repola,94,0.00225
Repola,95,0.00092
Repola,96,-4e-05
Repola,98,0.00159
Repola,99,0.00203
Repola,101,-0.00145
Repola,103,-0.00095
Repola,104,-0.00114
Repola,106,0.00108
Repola,107,-0.00131
Repola,108,-0.00436
Pantsarlahti,1,-0.00123
Pantsarlahti,4,0.00306
Pantsarlahti,7,-0.00117
Pantsarlahti,9,-0.00196
Pantsarlahti,11,0.00131
Pantsarlahti,14,-0.00241
Pantsarlahti,15,0.00143
Pantsarlahti,18,0.00194
Pantsarlahti,19,-0.00561
Pantsarlahti,22,0.00206
Pantsarlahti,23,-0.00451
Pantsarlahti,25,-0.0002
Pantsarlahti,28,0.00213
Pantsarlahti,30,-0.00317
Pantsarlahti,32,0.00131
Pantsarlahti,35,0.00093
Pantsarlahti,36,-0.00115
Pantsarlahti,39,0.00098
Pantsarlahti,41,0.00132
Pantsarlahti,43,0.00186
Pantsarlahti,46,0.00213
Pantsarlahti,47,0.00151
Pantsarlahti,49,0.00164
Pantsarlahti,50,0.00057
Pantsarlahti,51,0.00152
Pantsarlahti,53,0.0016
Pantsarlahti,56,0.00165
Pantsarlahti,59,0.00157
Pantsarlahti,62,0.00175
Pantsarlahti,66,0.00098
Pantsarlahti,69,-0.00531
Pantsarlahti,72,-0.00125
Pantsarlahti,76,0.00041
Pantsarlahti,80,-0.00039
Pantsarlahti,82,0.00169
Pantsarlahti,86,-0.00325
Pantsarlahti,91,-0.00785
Pantsarlahti,94,0.00014
Pantsarlahti,98,-0.00069
Anina,1,0.0031
Anina,9,-0.00065
Anina,13,-0.00163
Anina,18,-0.00055
Anina,19,-0.0061
Anina,32,-0.00155
Anina,34,-0.00165
Anina,38,0.00093
Anina,40,-0.00185
Anina,45,-0.00223
Anina,49,-0.00031
Anina,50,9e-05
Anina,52,4e-05
Anina,53,0.00081
Anina,57,-0.00013
Anina,60,-0.00738
Anina,62,0.00102
Anina,64,-0.0014
Anina,67,0.0001
Anina,74,-0.00184
Anina,78,0.00133
Anina,80,-0.00229
Anina,82,0.0007
