,,S
Valli,2,0.00147
Valli,6,0.00114
Valli,9,0.00133
Valli,11,0.00148
Valli,15,-0.00034
Valli,19,-0.00544
Valli,24,5e-05
Valli,27,-0.00077
Valli,31,-0.0004
Valli,35,-0.00176
Valli,36,-0.00101
Valli,38,0.0009
Valli,40,-0.00142
Valli,44,0.00074
Valli,45,0.00163
Valli,49,-0.00045
Valli,50,-0.00422
Valli,52,-0.00182
Valli,53,0.00218
Valli,55,0.00162
Valli,57,0.00196
Valli,59,0.00071
Valli,62,0.00055
Valli,64,-0.00218
Valli,65,-0.00281
Valli,68,-0.00328
Valli,70,-0.00164
Valli,66,-0.00332
Valli,112,0.00328
Valli,117,-0.001
Valli,73,0.00146
Valli,76,-0.00043
Valli,82,0.00416
Valli,85,0.00318
Valli,89,2e-05
Valli,92,-0.00027
Valli,94,0.00741
Valli,99,-0.00126
Valli,104,0.0019
Valli,118,-0.0057
Valli,120,-0.00161
Valli,122,0.00025
Valli,124,0.00639
Valli,126,-0.00105
Valli,127,-0.00136
Valli,133,0.00126
Valli,134,0.00129
Valli,138,-0.00134
Valli,143,0.00341
Valli,144,0.00143
Valli,150,0.00347
Valli,152,0.00394
Valli,153,-0.00022
Valli,163,0.00204
Valli,167,0.00074
Valli,173,0.00203
Valli,177,0.00027
Valli,178,-0.00545
P_Annan_kruunu,1,0.00022
Viipurin_esikaupunki,2,0.00071
Viipurin_esikaupunki,8,0.00074
Viipurin_esikaupunki,10,0.00027
Viipurin_esikaupunki,17,0.00205
Viipurin_esikaupunki,24,-0.00012
Viipurin_esikaupunki,38,0.00073
Viipurin_esikaupunki,48,-0.00056
Viipurin_esikaupunki,53,-0.00175
Viipurin_esikaupunki,61,-0.00107
Viipurin_esikaupunki,66,-0.00421
Viipurin_esikaupunki,81,-0.00041
Viipurin_esikaupunki,86,0.00021
Viipurin_esikaupunki,90,5e-05
Viipurin_esikaupunki,110,0.0003
Viipurin_esikaupunki,120,0.0012
Viipurin_esikaupunki,138,0.00088
Salakkalahti,1,0.00027
Salakkalahti,2,-0.0002
Salakkalahti,5,-0.00098
Salakkalahti,6,-0.001
Salakkalahti,7,0.00088
Salakkalahti,8,0.00121
Salakkalahti,10,0.009
Salakkalahti,12,-0.00521
Salakkalahti,14,-0.00209
Salakkalahti,17,-0.00082
Repola,2,-0.0013
Repola,4,-0.00296
Repola,6,-0.00105
Repola,8,0.00107
Repola,9,-0.00131
Repola,12,-0.00077
Repola,13,-0.00026
Repola,15,0.00053
Repola,16,0.00016
Repola,17,-0.00057
Repola,18,0.00019
Repola,20,-0.00229
Repola,22,-0.00159
Repola,23,-0.00889
Repola,24,-0.00012
Repola,30,-0.00789
Repola,31,-0.00111
Repola,27,-9e-05
Repola,33,-0.00115
Repola,34,-0.00143
Repola,47,-0.00041
Repola,52,-0.00136
Repola,35,-0.0003
Repola,36,-0.00053
Repola,37,-0.00771
Repola,39,0.00065
Repola,55,0.00169
Repola,56,-0.00681
Repola,58,-0.00183
Repola,60,0.00265
Repola,66,-0.00445
Repola,68,-0.00124
Repola,70,-0.00225
Repola,77,-0.00051
Repola,81,-0.00041
Repola,88,-0.01144
Repola,90,-0.00049
Repola,91,-0.00081
Repola,93,-0.0001
Repola,94,-0.00051
Repola,96,-0.00067
Repola,97,0.00129
Repola,99,0.00139
Repola,101,-0.00518
Repola,102,-0.0042
Repola,103,-0.00018
Repola,104,0.00126
Repola,105,0.00066
Repola,106,0.00154
Repola,107,0.00193
Repola,108,0.00081
Pantsarlahti,1,0.00466
Pantsarlahti,3,0.00107
Pantsarlahti,4,-0.00176
Pantsarlahti,5,-0.00131
Pantsarlahti,7,-0.00025
Pantsarlahti,9,-0.00176
Pantsarlahti,11,-0.00015
Pantsarlahti,14,-0.00062
Pantsarlahti,15,-0.00082
Pantsarlahti,16,-0.00056
Pantsarlahti,18,0.00019
Pantsarlahti,20,-0.00048
Pantsarlahti,21,-0.00011
Pantsarlahti,22,-0.00258
Pantsarlahti,23,0.00077
Pantsarlahti,25,4e-05
Pantsarlahti,27,-0.00033
Pantsarlahti,28,-0.00405
Pantsarlahti,29,-0.00081
Pantsarlahti,32,-0.00144
Pantsarlahti,34,-0.00133
Pantsarlahti,36,-0.00145
Pantsarlahti,38,-0.0011
Pantsarlahti,40,0.00064
Pantsarlahti,41,-0.00075
Pantsarlahti,43,-0.00091
Pantsarlahti,46,-0.00944
Pantsarlahti,47,-0.00058
Pantsarlahti,48,-0.00038
Pantsarlahti,49,0.00079
Pantsarlahti,50,-4e-05
Pantsarlahti,51,-3e-05
Pantsarlahti,53,0.00061
Pantsarlahti,55,0.00039
Pantsarlahti,57,-0.00333
Pantsarlahti,59,-0.00164
Pantsarlahti,61,-0.00204
