,,S
Valli,3,0.00264
Valli,10,0.00064
Valli,15,-0.00291
Valli,16,-0.01137
Valli,19,-0.00343
Valli,23,-0.00415
Valli,27,-0.0037
Valli,33,-0.0023
Valli,35,-0.00191
Valli,38,0.00489
Valli,45,-0.00285
Valli,49,-0.00415
Valli,54,0.00333
Valli,59,-0.00064
Valli,65,-0.00345
Valli,68,-0.0022
Valli,70,-0.00318
Valli,111,-0.0034
Valli,114,-0.00315
Valli,73,0.00284
Valli,80,0.00106
Valli,88,-0.00723
Valli,94,-0.00052
Valli,99,-0.00477
Valli,106,-0.00606
Valli,118,-0.00213
Valli,121,0.00047
Valli,126,-0.00563
Valli,129,-0.00185
Valli,134,0.00367
Valli,150,0.00378
Valli,151,0.00048
Valli,164,0.00487
P_Annan_kruunu,80,0.00192
Viipurin_esikaupunki,2,-0.0012
Viipurin_esikaupunki,15,-0.00081
Viipurin_esikaupunki,24,-0.00203
Viipurin_esikaupunki,7,-0.00227
Viipurin_esikaupunki,40,-0.0032
Viipurin_esikaupunki,49,-0.00548
Viipurin_esikaupunki,54,-0.00317
Viipurin_esikaupunki,63,-0.00296
Viipurin_esikaupunki,77,-0.0019
Viipurin_esikaupunki,100,-0.00103
Viipurin_esikaupunki,111,-0.00411
Viipurin_esikaupunki,124,-0.00018
Viipurin_esikaupunki,138,-0.00021
P_Annan_kruunu,2,-0.00066
Salakkalahti,2,0.0026
Salakkalahti,6,0.00409
Salakkalahti,9,0.0018
Salakkalahti,12,0.00371
Salakkalahti,14,0.00303
Salakkalahti,17,0.00082
Repola,1,-0.01509
Repola,3,-0.00247
Repola,8,0.00058
Repola,15,-0.00067
Repola,23,-0.00476
Repola,31,3e-05
Repola,84,0.00019
Pantsarlahti,2,-0.00573
Pantsarlahti,20,0.00232
Pantsarlahti,25,0.00585
Pantsarlahti,27,-0.00738
Pantsarlahti,35,0.00476
Pantsarlahti,39,0.00379
Pantsarlahti,43,0.00346
Pantsarlahti,45,-0.00913
Pantsarlahti,48,0.00419
Pantsarlahti,50,0.00034
Pantsarlahti,54,0.00405
Pantsarlahti,60,0.00395
Pantsarlahti,65,0.004
Pantsarlahti,71,0.00328
Pantsarlahti,75,0.00341
Pantsarlahti,80,0.00334
Pantsarlahti,84,0.00311
Pantsarlahti,91,0.00517
Pantsarlahti,96,0.00451
Pantsarlahti,99,0.00131
Anina,36,0.00051
Anina,37,0.00225
Anina,58,0.00275
Anina,64,0.00029
Anina,68,-0.00057
Anina,77,0.00386
Anina,106,0.00396
Anina,107,-0.00844
Anina,113,0.00317
Anina,121,0.00274
Papula,1,0.00056
Papula,4,-0.00263
Papula,8,0.0046
Papula,22,0.00462
Papula,30,0.00528
Papula,33,0.00137
Saunalahti,2,0.0033
Saunalahti,16,0.00017
Pietarin_esikaupunki,5,0.00448
Pietarin_esikaupunki,9,0.00625
Pietarin_esikaupunki,13,-0.00391
Pietarin_esikaupunki,16,-0.00491
Pietarin_esikaupunki,19,-0.00428
Pietarin_esikaupunki,23,-0.00239
Pietarin_esikaupunki,27,-0.00237
Pietarin_esikaupunki,35,-0.00374
Pietarin_esikaupunki,41,0.00173
Pietarin_esikaupunki,49,0.00708
Pietarin_esikaupunki,53,-0.00379
Pietarin_esikaupunki,62,-0.00303
Pietarin_esikaupunki,68,-0.00292
Pietarin_esikaupunki,82,0.00248
Pietarin_esikaupunki,92,-0.00156
Pietarin_esikaupunki,100,-0.00158
Pietarin_esikaupunki,112,-0.00339
Pietarin_esikaupunki,123,-0.00367
Pietarin_esikaupunki,135,-0.0005
Pietarin_esikaupunki,140,-0.00761
Pietarin_esikaupunki,149,0.00045
Pietarin_esikaupunki,159,-0.00336
Pietarin_esikaupunki,169,0.00013
Pietarin_esikaupunki,176,-0.00608
Pietarin_esikaupunki,182,-0.00591
Pietarin_esikaupunki,192,0.00255
Pietarin_esikaupunki,196,-0.00274
Pietarin_esikaupunki,208,-0.00315
Pietarin_esikaupunki,213,-0.00211
Pietarin_esikaupunki,221,-0.00362
Pietarin_esikaupunki,226,0.0035
Pietarin_esikaupunki,232,-0.00513
Pietarin_esikaupunki,236,0.00852
Pietarin_esikaupunki,245,-0.00248
Pietarin_esikaupunki,259,0.00194
Pietarin_esikaupunki,267,-0.00301
