,,S
Valli,2,-0.00063
Valli,6,-0.00153
Valli,9,0.00116
Valli,11,-0.00176
Valli,14,-0.0012
Valli,17,-0.00115
Valli,19,-0.00255
Valli,23,-0.00226
Valli,26,0.00114
Valli,29,-0.00252
Valli,34,-0.00237
Valli,36,-0.00084
Valli,38,0.00547
Valli,39,-0.00163
Valli,42,0.00393
Valli,44,0.00315
Valli,46,-0.00263
Valli,49,-0.00101
Valli,51,-3e-05
Valli,53,-0.00319
Valli,54,-0.00037
Valli,55,0.00345
Valli,58,-0.00188
Valli,60,-0.00196
Valli,64,-0.00314
Valli,68,0.00224
Valli,70,-0.00389
Valli,66,0.00315
Valli,108,-0.00404
Valli,109,-0.00319
Valli,114,0.00701
Valli,116,-0.00227
Valli,72,-0.00127
Valli,75,-0.00264
Valli,80,-0.00028
Valli,83,-0.00243
Valli,87,-0.00371
Valli,90,-0.00031
Valli,93,0.00064
Valli,97,-0.00271
Valli,106,-0.00109
Valli,102,-0.0026
Valli,118,-0.00205
Valli,120,-0.00142
Valli,123,-0.00037
Valli,126,-0.00113
Valli,127,-0.00052
Valli,128,-0.00376
Valli,130,0.00186
Valli,134,0.00254
Valli,138,-0.00144
Valli_uusi,145,7e-05
Valli_uusi,150,-0.0008
Valli_uusi,151,0.00086
Valli_uusi,153,-0.00518
Valli_uusi,163,0.00213
Valli_uusi,167,0.00158
Valli_uusi,178,-0.00393
P_Annan_kruunu,1,-0.00033
P_Annan_kruunu,80,-0.00083
Viipurin_esikaupunki,2,-0.00049
Viipurin_esikaupunki,4,0.00225
Viipurin_esikaupunki,9,-0.00115
Viipurin_esikaupunki,12,-0.00058
Viipurin_esikaupunki,18,0.00023
Viipurin_esikaupunki,22,-0.00223
Viipurin_esikaupunki,28,-0.00096
Viipurin_esikaupunki,38,-0.00063
Viipurin_esikaupunki,44,-0.0079
Viipurin_esikaupunki,48,-0.00193
Viipurin_esikaupunki,50,0.00046
Viipurin_esikaupunki,57,0.00115
Viipurin_esikaupunki,63,-0.00084
Viipurin_esikaupunki,76,-0.00149
Viipurin_esikaupunki,85,-0.00252
Viipurin_esikaupunki,92,-0.00144
Viipurin_esikaupunki,100,-0.00231
Viipurin_esikaupunki,110,-0.00029
Viipurin_esikaupunki,118,-0.00185
Viipurin_esikaupunki,139,0.00101
Salakkalahti,1,-0.00165
Salakkalahti,4,0.00109
Salakkalahti,6,-0.0069
Salakkalahti,8,-0.00011
Salakkalahti,9,-0.00032
Salakkalahti,11,-0.00158
Salakkalahti,14,-0.00186
Salakkalahti,15,-0.00175
Salakkalahti,17,-0.00318
Repola,1,-0.00576
Repola,3,-0.00016
Repola,4,0.00081
Repola,9,-0.00086
Repola,12,0.00243
Repola,14,0.00063
Repola,16,0.00147
Repola,18,0.00249
Repola,24,0.00158
Repola,29,0.00184
Repola,31,0.00194
Repola,32,-0.0013
Repola,84,-0.00093
Pantsarlahti,3,-0.0024
Pantsarlahti,10,-0.00153
Pantsarlahti,19,0.00284
Pantsarlahti,20,0.00295
Pantsarlahti,21,-0.00038
Pantsarlahti,27,-0.00293
Pantsarlahti,29,-0.00584
Pantsarlahti,33,0.00281
Pantsarlahti,36,0.00265
Pantsarlahti,37,0.00284
Pantsarlahti,39,0.00114
Pantsarlahti,43,0.0026
Pantsarlahti,46,0.00319
Pantsarlahti,48,-0.00335
Pantsarlahti,49,0.00239
Pantsarlahti,51,0.00265
Pantsarlahti,53,0.00223
Pantsarlahti,57,0.00206
Pantsarlahti,60,0.0016
Pantsarlahti,63,0.00307
Pantsarlahti,67,0.00198
Pantsarlahti,71,0.00078
Pantsarlahti,73,-0.00977
Pantsarlahti,76,0.00266
Pantsarlahti,78,-0.00122
Pantsarlahti,81,0.00245
Pantsarlahti,84,0.00196
Pantsarlahti,91,0.00297
Pantsarlahti,95,0.00194
Pantsarlahti,98,0.00171
Pantsarlahti,100,0.00135
Anina,13,-0.00071
Anina,36,0.0029
Anina,38,0.00332
Anina,40,0.00317
Anina,44,0.00178
Anina,56,-0.00222
Anina,59,7e-05
Anina,62,0.00383
Anina,64,-0.00047
Anina,67,-0.00076
Anina,75,-0.00324
Anina,77,0.00315
Anina,85,0.00067
Anina,105,0.0005
Anina,108,-0.00115
Anina,111,-0.00557
Anina,118,0.00287
Anina,121,0.00201
Anina,125,-0.00043
Anina,128,-0.00038
Anina,131,0.00014
Papula,4,-0.00012
Papula,18,0.00378
Papula,22,0.00119
Papula,30,0.00526
Papula,33,-0.00226
Papula,44,0.00239
Saunalahti,1,0.00331
Saunalahti,11,0.00124
Saunalahti,16,-0.00037
Pietarin_esikaupunki,7,0.0014
Pietarin_esikaupunki,12,0.0008
Pietarin_esikaupunki,14,-0.00255
Pietarin_esikaupunki,16,0.00089
Pietarin_esikaupunki,18,0.00212
Pietarin_esikaupunki,28,0.00188
Pietarin_esikaupunki,35,0.00073
Pietarin_esikaupunki,41,-0.00202
Pietarin_esikaupunki,45,0.00155
Pietarin_esikaupunki,49,0.00512
Pietarin_esikaupunki,51,-0.00064
Pietarin_esikaupunki,55,-0.00206
Pietarin_esikaupunki,62,-0.00162
Pietarin_esikaupunki,72,0.00425
Pietarin_esikaupunki,82,-0.00133
Pietarin_esikaupunki,101,-0.00117
Pietarin_esikaupunki,107,-0.00324
Pietarin_esikaupunki,111,-0.00193
Pietarin_esikaupunki,116,-0.00118
Pietarin_esikaupunki,127,0.00152
Pietarin_esikaupunki,138,-0.00104
