,S_by_plot,S_by_page,S_difference,bandwidth,cell,function
0,0.5995192410287065,0.5507444912094264,0.048774749819280094,100,25,biweight
1,0.5232726035254261,0.46885043888587674,0.05442216463954941,150,25,biweight
2,0.4726760899258816,0.41613134206718705,0.056544747858694566,200,25,biweight
3,0.4329542244114193,0.38429703290553263,0.048657191505886654,250,25,biweight
4,0.4001451357738691,0.3639135946968124,0.03623154107705673,300,25,biweight
5,0.34694426465811623,0.3330363032343947,0.013907961423721527,400,25,biweight
6,0.3023465763029781,0.30520965168933034,-0.0028630753863522207,500,25,biweight
