,,S
Valli,1,-0.00262
Valli,5,-0.00195
Valli,8,-0.00176
Valli,9,0.00387
Valli,10,-0.00143
Valli,13,0.00257
Valli,15,-0.00182
Valli,17,0.00065
Valli,20,-0.00223
Valli,23,-0.00211
Valli,26,-0.00058
Valli,29,-0.00302
Valli,31,0.00491
Valli,35,0.00081
Valli,38,0.00723
Valli,42,-0.00175
Valli,44,0.00695
Valli,45,-0.00368
Valli,46,-0.00153
Valli,49,-0.0027
Valli,50,0.00209
Valli,51,-0.00295
Valli,52,-0.00168
Valli,53,-0.00273
Valli,54,0.00233
Valli,55,-0.00067
Valli,57,-0.00103
Valli,58,-0.00229
Valli,59,-0.00265
Valli,60,-0.00232
Valli,63,-0.00119
Valli,65,-0.00145
Valli,68,-0.00014
Valli,69,0.00085
Valli,67,0.00165
Valli,108,0.00057
Valli,109,-0.00185
Valli,111,0.00163
Valli,114,-0.00175
Valli,116,-0.00067
Valli,117,0.00104
Valli,71,0.00115
Valli,74,-0.00217
Valli,75,0.00315
Valli,79,-0.00111
Valli,81,-0.00048
Valli,85,-0.00144
Valli,88,-0.00172
Valli,90,-0.00193
Valli,93,-0.0018
Valli,94,-0.00153
Valli,97,-0.00114
Valli,100,-0.00121
Valli,106,-0.00063
Valli,119,-0.00063
Valli,121,-0.00198
Valli,123,-0.001
Valli,125,-0.00121
Valli,126,-0.00078
Valli,127,-0.0011
Valli,128,-0.00087
Valli,130,9e-05
Valli,134,0.001
Valli,136,-0.00016
Valli,138,-0.00037
Valli,146,-0.00157
Valli,150,-0.00444
Valli,151,-0.00098
Valli,153,-0.00051
Valli,164,-0.00106
Valli,166,-0.00016
Valli,168,-0.00331
Valli,178,0.00077
P_Annan_kruunu,1,0.00047
P_Annan_kruunu,81,-0.00124
Viipurin_esikaupunki,2,0.00135
Viipurin_esikaupunki,4,-0.00037
Viipurin_esikaupunki,8,-0.00089
Viipurin_esikaupunki,9,0.00208
Viipurin_esikaupunki,10,7e-05
Viipurin_esikaupunki,16,0.00059
Viipurin_esikaupunki,18,0.00115
Viipurin_esikaupunki,21,0.00235
Viipurin_esikaupunki,24,-0.0007
Viipurin_esikaupunki,28,-0.00049
Viipurin_esikaupunki,30,-0.00173
Viipurin_esikaupunki,42,-0.00147
Viipurin_esikaupunki,46,0.00028
Viipurin_esikaupunki,49,-0.00033
Viipurin_esikaupunki,52,-0.00075
Viipurin_esikaupunki,57,-0.00011
Viipurin_esikaupunki,60,-0.00093
Viipurin_esikaupunki,67,-0.00064
Viipurin_esikaupunki,72,-0.00036
Viipurin_esikaupunki,80,0.00146
Viipurin_esikaupunki,85,-0.00111
Viipurin_esikaupunki,90,-0.00011
Viipurin_esikaupunki,95,-0.00095
Viipurin_esikaupunki,99,-0.00158
Viipurin_esikaupunki,106,-0.00127
Viipurin_esikaupunki,110,0.00012
Viipurin_esikaupunki,117,-0.00025
Viipurin_esikaupunki,121,0.00119
Viipurin_esikaupunki,129,0.00074
Viipurin_esikaupunki,137,0.00128
Viipurin_esikaupunki,132,0.00086
Salakkalahti,1,-0.00081
Salakkalahti,4,-0.00226
Salakkalahti,5,-0.00052
Salakkalahti,6,-0.00126
Salakkalahti,7,0.00611
Salakkalahti,8,-0.00107
Salakkalahti,9,0.00102
Salakkalahti,10,-0.00037
Salakkalahti,13,-0.00245
Salakkalahti,14,-0.00253
Salakkalahti,16,0.00248
Salakkalahti,17,0.00957
Repola,1,0.00162
Repola,2,-0.00148
Repola,3,-0.00094
Repola,4,-0.00053
Repola,6,0.0012
Repola,8,0.00135
Repola,11,0.00121
Repola,12,-0.00164
Repola,13,-0.00075
