,,S
Valli,2,-0.00115
Valli,6,-0.0009
Valli,9,-0.00103
Valli,12,-0.001
Valli,17,-0.0007
Valli,20,-0.00066
Valli,25,0.01176
Valli,27,0.00107
Valli,29,-0.00013
Valli,35,0.00291
Valli,37,0.00131
Valli,40,-0.00209
Valli,42,-0.00171
Valli,45,-0.00213
Valli,46,0.00189
Valli,50,-0.00182
Valli,52,-0.00131
Valli,53,-0.0009
Valli,56,0.00046
Valli,59,-0.00154
Valli,61,-0.00091
Valli,64,-0.00391
Valli,65,-0.0015
Valli,69,-0.00148
Valli,67,-0.00291
Valli,108,-0.00356
Valli,110,0.00096
Valli,113,0.00712
Valli,116,-0.00454
Valli,71,-0.0018
Valli,74,0.00034
Valli,75,-0.00011
Valli,81,-0.00027
Valli,85,-0.00131
Valli,89,-0.00119
Valli,94,0.00311
Valli,97,-0.00201
Valli,104,-0.00129
Valli,118,-0.00312
Valli,120,0.00124
Valli,122,0.01281
Valli,125,-0.00248
Valli,127,-0.00137
Valli,130,-0.0012
Valli,134,-0.00112
Valli_uusi,143,-0.0048
Valli_uusi,146,0.01445
Valli_uusi,151,-0.00289
Valli_uusi,152,-0.00378
Valli_uusi,153,0.01819
Valli_uusi,168,-0.00076
Valli_uusi,175,-0.00128
Valli_uusi,178,-0.00193
P_Annan_kruunu,1,0.00078
Viipurin_esikaupunki,3,-0.00052
Viipurin_esikaupunki,8,0.00478
Viipurin_esikaupunki,15,0.00089
Viipurin_esikaupunki,21,0.00069
Viipurin_esikaupunki,28,0.00147
Viipurin_esikaupunki,31,-0.00196
Viipurin_esikaupunki,45,0.01168
Viipurin_esikaupunki,53,-0.00103
Viipurin_esikaupunki,62,-0.00158
Viipurin_esikaupunki,84,-0.0018
Viipurin_esikaupunki,96,-0.00093
Viipurin_esikaupunki,110,-0.00048
Viipurin_esikaupunki,121,0.00081
Viipurin_esikaupunki,129,0.00069
P_Annan_kruunu,73,0.00719
Salakkalahti,2,-0.00046
Salakkalahti,5,0.00085
Salakkalahti,6,0.00055
Salakkalahti,7,-0.00551
Salakkalahti,9,0.00049
Salakkalahti,10,-0.00248
Salakkalahti,12,-0.00031
Salakkalahti,14,0.00094
Salakkalahti,16,-0.00157
Salakkalahti,17,0.00101
Salakkalahti,18,0.00038
