,,S
Valli,1,0.00047
Valli,2,0.00522
Valli,3,0.0
Valli,4,0.00039
Valli,5,0.00142
Valli,6,0.00243
Valli,7,0.0
Valli,8,0.00849
Valli,9,0.00398
Valli,10,0.00379
Valli,11,0.0032
Valli,12,0.00355
Valli,14,0.00125
Valli,15,0.00078
Valli,16,0.0
Valli,17,0.00151
Valli,19,-0.01478
Valli,20,-0.00376
Valli,21,-0.00219
Valli,23,-0.00449
Valli,24,0.01182
Valli,25,0.0022
Valli,26,0.00344
Valli,27,-0.0009
Valli,28,-0.00336
Valli,29,-0.00993
Valli,31,-0.00126
Valli,33,0.00615
Valli,34,0.0144
Valli,35,-0.00541
Valli,36,-0.00398
Valli,37,-0.00409
Valli,38,-0.01234
Valli,39,0.01763
Valli,40,-0.00155
Valli,42,-0.00384
Valli,44,0.00378
Valli,45,-0.00607
Valli,46,-0.00529
Valli,47,-0.00133
Valli,49,-0.00112
Valli,50,-0.00414
Valli,51,0.00107
Valli,52,0.00654
Valli,53,0.00328
Valli,54,0.00385
Valli,55,-1e-05
Valli,56,0.00225
Valli,57,0.00484
Valli,58,0.00213
Valli,59,-0.00436
Valli,60,-0.00424
Valli,61,0.00147
Valli,63,-0.01329
Valli,64,-0.00085
Valli,65,-0.00214
Valli,68,-0.00474
Valli,69,-0.00124
Valli,70,-0.00112
Valli,66,0.00467
Valli,67,-0.00779
Valli,108,-0.00916
Valli,109,-0.00462
Valli,110,-0.00142
Valli,111,-0.00914
Valli,112,-0.0
Valli,113,-0.00736
Valli,114,-0.00411
Valli,116,-0.01029
Valli,117,-0.01342
Valli,71,-5e-05
Valli,72,0.00273
Valli,73,0.00428
Valli,74,0.00099
Valli,75,0.00232
Valli,76,0.00043
Valli,77,0.00239
Valli,79,0.00037
Valli,80,0.00033
Valli,81,0.00019
Valli,82,0.00027
Valli,83,-0.00031
Valli,85,-8e-05
Valli,86,0.00038
Valli,87,0.00168
Valli,88,0.00027
Valli,89,0.00146
Valli,90,-0.01453
Valli,92,-0.00113
Valli,93,-0.01349
Valli,94,-0.0005
Valli,96,-0.00532
Valli,97,-0.00173
Valli,98,-0.00075
Valli,99,-0.0036
Valli,104,-0.00045
Valli,106,-0.00917
Valli,102,0.00133
Valli,118,-0.00452
Valli,119,0.00102
Valli,120,-0.01026
Valli,121,0.00186
Valli,122,0.00233
Valli,123,0.00243
Valli,124,0.00173
Valli,125,8e-05
Valli,126,-0.00271
Valli,127,-0.00359
Valli,128,0.00337
Valli,129,-0.00198
Valli,130,0.00191
Valli,131,0.00423
Valli,133,0.00532
Valli,134,0.00925
Valli,135,0.0
Valli,136,0.00667
Valli,138,0.00311
Valli_uusi,149,0.00185
Valli_uusi,154,0.00482
Valli_uusi,163,0.00273
Valli_uusi,164,0.0
Valli_uusi,166,0.00887
