,,S
Valli,6,0.00293
Valli,10,-0.00023
Valli,14,0.00082
Valli,19,-0.00333
Valli,24,0.00361
Valli,26,0.00169
Valli,29,-0.00424
Valli,34,-0.00337
Valli,36,-0.00204
Valli,39,0.002
Valli,42,-0.00199
Valli,46,-0.00029
Valli,51,-0.00431
Valli,54,0.0025
Valli,59,-0.00294
Valli,63,-0.0055
Valli,70,-0.00194
Valli,67,-0.00529
Valli,109,-0.004
Valli,114,-0.00516
Valli,116,-0.00319
Valli,75,0.00085
Valli,81,-0.00137
Valli,88,-0.00039
Valli,93,-0.00594
Valli,98,-0.00326
Valli,106,-0.00737
Valli,119,-0.00139
Valli,123,0.00055
Valli,127,-0.01107
Valli,133,0.00106
Valli,138,0.00062
Valli,154,-0.00209
Valli,164,0.00436
P_Annan_kruunu,80,0.00344
Viipurin_esikaupunki,1,-0.00049
Viipurin_esikaupunki,4,-0.00321
Viipurin_esikaupunki,18,-0.00048
Viipurin_esikaupunki,24,-0.00242
Viipurin_esikaupunki,35,0.00282
Viipurin_esikaupunki,45,-0.00239
Viipurin_esikaupunki,54,-0.00281
Viipurin_esikaupunki,62,-0.0004
Viipurin_esikaupunki,74,-0.00109
Viipurin_esikaupunki,84,-0.00303
Viipurin_esikaupunki,98,0.00061
Viipurin_esikaupunki,110,-0.00105
Viipurin_esikaupunki,131,-0.00212
Viipurin_esikaupunki,141,-0.00099
P_Annan_kruunu,2,-0.00114
Salakkalahti,4,0.00146
Salakkalahti,8,-0.00139
Salakkalahti,11,-0.00618
Salakkalahti,13,-0.00315
Salakkalahti,15,-0.00337
Salakkalahti,18,-0.00247
Repola,1,-0.00567
Repola,3,-0.00124
Repola,13,0.00025
Repola,16,-0.00476
Repola,31,-0.00679
Repola,84,0.00278
Pantsarlahti,20,0.00399
Pantsarlahti,25,-0.00212
Pantsarlahti,34,0.00205
Pantsarlahti,36,-0.00845
Pantsarlahti,41,0.00426
Pantsarlahti,45,0.00453
Pantsarlahti,49,0.00514
Pantsarlahti,51,0.00094
Pantsarlahti,56,0.00342
Pantsarlahti,60,0.00476
Pantsarlahti,67,0.00441
Pantsarlahti,71,0.00436
Pantsarlahti,75,0.0019
Pantsarlahti,80,0.00465
Pantsarlahti,91,0.00477
Pantsarlahti,94,0.0038
Pantsarlahti,99,0.00333
Anina,36,0.00128
Anina,37,0.00296
Anina,63,-0.00288
Anina,66,0.00201
Anina,75,0.00195
Anina,106,0.00145
Anina,107,-0.00435
Anina,116,0.00218
Anina,120,0.00175
Papula,4,-0.00732
Papula,18,-6e-05
Papula,23,0.00571
Papula,33,0.00516
Saunalahti,1,-0.00103
Saunalahti,11,-0.00165
Pietarin_esikaupunki,8,0.00674
Pietarin_esikaupunki,15,-0.00213
Pietarin_esikaupunki,16,-0.00248
Pietarin_esikaupunki,22,-0.00565
Pietarin_esikaupunki,23,-0.0058
Pietarin_esikaupunki,36,0.00056
Pietarin_esikaupunki,41,-0.003
Pietarin_esikaupunki,44,0.006
Pietarin_esikaupunki,52,0.00225
Pietarin_esikaupunki,56,0.00292
Pietarin_esikaupunki,65,-0.00088
Pietarin_esikaupunki,75,-0.00232
Pietarin_esikaupunki,86,0.00127
Pietarin_esikaupunki,97,-0.00857
Pietarin_esikaupunki,104,-0.00171
Pietarin_esikaupunki,116,-0.00356
Pietarin_esikaupunki,119,0.00314
Pietarin_esikaupunki,131,-0.00087
Pietarin_esikaupunki,138,-0.00089
Pietarin_esikaupunki,142,0.0025
Pietarin_esikaupunki,151,-0.00164
Pietarin_esikaupunki,163,-0.00245
Pietarin_esikaupunki,167,0.00132
Pietarin_esikaupunki,175,0.00104
Pietarin_esikaupunki,183,-0.00292
Pietarin_esikaupunki,192,-0.00205
Pietarin_esikaupunki,198,-0.00219
Pietarin_esikaupunki,210,-0.00012
Pietarin_esikaupunki,213,-0.00304
Pietarin_esikaupunki,220,-0.00321
Pietarin_esikaupunki,226,-0.00026
Pietarin_esikaupunki,232,-0.00138
Pietarin_esikaupunki,243,-0.00078
Pietarin_esikaupunki,255,0.00325
Pietarin_esikaupunki,267,-0.00026
