,,S
Valli,5,0.00092
Valli,9,-0.00749
Valli,11,3e-05
Valli,15,-0.0021
Valli,20,-0.00354
Valli,25,-0.00064
Valli,28,-0.00173
Valli,34,-0.00205
Valli,37,-0.00212
Valli,39,0.00577
Valli,45,-0.00113
Valli,51,-0.00299
Valli,55,0.00156
Valli,57,0.00114
Valli,60,-0.00279
Valli,63,0.00383
Valli,68,-0.00201
Valli,70,-0.00349
Valli,66,-0.0002
Valli,109,-0.0039
Valli,113,-0.00375
Valli,116,-0.00205
Valli,72,-0.0028
Valli,76,-0.00241
Valli,82,-0.00091
Valli,89,0.00261
Valli,93,-0.0043
Valli,98,-0.00227
Valli,106,-0.00355
Valli,118,-0.00157
Valli,121,0.00223
Valli,125,0.00096
Valli,127,-0.00266
Valli,129,0.00059
Valli,136,0.00168
Valli,140,0.00251
Valli,150,0.00302
Valli,163,0.00209
P_Annan_kruunu,80,0.00417
Viipurin_esikaupunki,2,0.00159
Viipurin_esikaupunki,4,-0.00173
Viipurin_esikaupunki,10,-0.00192
Viipurin_esikaupunki,20,0.00023
Viipurin_esikaupunki,28,-0.00755
Viipurin_esikaupunki,40,-0.00205
Viipurin_esikaupunki,50,-0.00183
Viipurin_esikaupunki,57,-0.001
Viipurin_esikaupunki,68,0.00125
Viipurin_esikaupunki,81,-0.00427
Viipurin_esikaupunki,88,0.00217
Viipurin_esikaupunki,95,-0.00056
Viipurin_esikaupunki,102,-0.00201
Viipurin_esikaupunki,115,0.00486
Viipurin_esikaupunki,129,-4e-05
Viipurin_esikaupunki,138,0.0004
Salakkalahti,3,-0.00023
Salakkalahti,6,-0.00582
Salakkalahti,9,0.00121
Salakkalahti,11,0.0001
Salakkalahti,14,-0.00148
Salakkalahti,16,-0.00296
Salakkalahti,17,-0.00138
Repola,2,-0.00631
Repola,4,0.0011
Repola,8,0.00126
Repola,15,-9e-05
Repola,17,0.0017
Repola,30,0.00155
Repola,25,-0.00362
Repola,57,-0.00216
Repola,102,6e-05
Pantsarlahti,13,-0.00348
Pantsarlahti,20,0.00241
Pantsarlahti,25,0.0018
Pantsarlahti,30,0.00261
Pantsarlahti,36,0.0048
Pantsarlahti,39,0.00225
Pantsarlahti,42,0.00312
Pantsarlahti,44,0.00323
Pantsarlahti,46,0.00321
Pantsarlahti,48,0.0037
Pantsarlahti,50,-0.00349
Pantsarlahti,56,-0.0001
Pantsarlahti,60,0.00066
Pantsarlahti,62,-0.00918
Pantsarlahti,65,0.00393
Pantsarlahti,69,0.00308
Pantsarlahti,74,0.00227
Pantsarlahti,78,0.00168
Pantsarlahti,83,-0.00196
Pantsarlahti,86,-0.00444
Pantsarlahti,92,0.00225
Pantsarlahti,95,0.00331
Anina,13,-0.00109
Anina,37,0.00244
Anina,58,-0.00491
Anina,63,-0.00425
Anina,67,0.00178
Anina,75,-0.00123
Anina,84,-0.0013
Anina,106,0.00142
Anina,107,-0.00293
Anina,110,-0.00453
Anina,118,0.00252
Anina,126,0.00191
Papula,4,0.00021
Papula,8,0.00153
Papula,19,-0.00102
Papula,24,-0.00291
Papula,32,0.00432
Papula,41,0.00221
Saunalahti,2,0.00124
Saunalahti,13,0.00066
Pietarin_esikaupunki,7,0.00744
Pietarin_esikaupunki,11,-0.00197
Pietarin_esikaupunki,15,-0.00275
Pietarin_esikaupunki,18,-0.00155
Pietarin_esikaupunki,19,-0.00201
Pietarin_esikaupunki,21,-0.00534
Pietarin_esikaupunki,28,0.00067
Pietarin_esikaupunki,35,0.00151
Pietarin_esikaupunki,40,-0.00233
Pietarin_esikaupunki,44,0.00613
Pietarin_esikaupunki,49,-0.00165
Pietarin_esikaupunki,52,-7e-05
Pietarin_esikaupunki,57,0.00084
Pietarin_esikaupunki,67,-0.0015
Pietarin_esikaupunki,81,-0.00067
Pietarin_esikaupunki,103,-0.00181
Pietarin_esikaupunki,106,-0.00182
Pietarin_esikaupunki,113,-0.00482
Pietarin_esikaupunki,123,-0.00086
Pietarin_esikaupunki,133,-0.00123
Pietarin_esikaupunki,140,-0.00069
Pietarin_esikaupunki,144,-0.00318
Pietarin_esikaupunki,157,0.00047
Pietarin_esikaupunki,165,-0.00463
Pietarin_esikaupunki,174,0.00425
Pietarin_esikaupunki,176,-0.00402
Pietarin_esikaupunki,183,-0.00348
Pietarin_esikaupunki,192,-0.0001
Pietarin_esikaupunki,197,-0.0023
Pietarin_esikaupunki,205,-0.00321
Pietarin_esikaupunki,206,-0.00773
Pietarin_esikaupunki,211,-0.00225
Pietarin_esikaupunki,215,-0.00177
Pietarin_esikaupunki,225,-0.00211
Pietarin_esikaupunki,232,0.00085
Pietarin_esikaupunki,245,-0.00472
Pietarin_esikaupunki,258,0.00261
Pietarin_esikaupunki,268,-0.00208
