,S_by_plot,S_by_page,S_difference,bandwidth,cell,function,level
0,0.6227485314778305,0.5389419758766878,0.0838065556011427,100,25,Martin_et_al_2000,even
1,0.6197924885409724,0.5374476228247576,0.0823448657162148,100,25,triangle,even
2,0.5958809190468077,0.5112315268448813,0.08464939220192647,100,25,box,even
3,0.6235010257243642,0.5397497903071471,0.08375123541721707,100,50,Martin_et_al_2000,even
4,0.6206480440810823,0.53809286820459,0.0825551758764923,100,50,triangle,even
5,0.5910839139678683,0.5085772323259636,0.08250668164190467,100,50,box,even
6,0.4941011454830315,0.4623910218748064,0.031710123608225116,150,25,Martin_et_al_2000,even
7,0.4911285916831042,0.4601399076426722,0.03098868404043198,150,25,triangle,even
8,0.45240656024467285,0.4192133698958401,0.033193190348832724,150,25,box,even
9,0.49431110010448487,0.46226862974351757,0.0320424703609673,150,50,Martin_et_al_2000,even
10,0.4913027523050345,0.45979409198696175,0.031508660318072756,150,50,triangle,even
11,0.453152558267122,0.4189180431718894,0.034234515095232565,150,50,box,even
12,0.41490991523984866,0.39565537605431933,0.01925453918552933,200,25,Martin_et_al_2000,even
13,0.4130683712258246,0.3934601800707558,0.019608191155068844,200,25,triangle,even
14,0.37164630480563254,0.3546758010449126,0.016970503760719957,200,25,box,even
15,0.4151412663052628,0.39571790849105815,0.019423357814204678,200,50,Martin_et_al_2000,even
16,0.4132506079881585,0.39358637359148363,0.019664234396674862,200,50,triangle,even
17,0.3725786764334621,0.35696548381166726,0.015613192621794836,200,50,box,even
18,0.35902167268221963,0.34642556202700814,0.01259611065521149,250,25,Martin_et_al_2000,even
19,0.3570575887803725,0.34450208955527417,0.012555499225098354,250,25,triangle,even
20,0.31498923803876355,0.3032430190039854,0.011746219034778127,250,25,box,even
21,0.35909358934680125,0.3465940082408461,0.012499581105955171,250,50,Martin_et_al_2000,even
22,0.35712710013951277,0.3446819598267159,0.012445140312796865,250,50,triangle,even
23,0.31578743136665266,0.3034234798413169,0.012363951525335759,250,50,box,even
24,0.315902648215444,0.3071748199165474,0.008727828298896623,300,25,Martin_et_al_2000,even
25,0.3143083492693348,0.3052497261699181,0.00905862309941674,300,25,triangle,even
26,0.2765434940328948,0.2626229884167949,0.01392050561609992,300,25,box,even
27,0.31588951241097285,0.3072199185021943,0.008669593908778528,300,50,Martin_et_al_2000,even
