,S_by_plot,S_by_page,S_difference,bandwidth,cell,function,level
0,0.6266245935481257,0.530685770146264,0.09593882340186177,100,25,Martin_et_al_2000,even
1,0.6238286193842097,0.5294289490569082,0.09439967032730157,100,25,triangle,even
2,0.5970586458563567,0.5061421358712169,0.09091650998513978,100,25,box,even
3,0.6282826886945524,0.5307204275349608,0.09756226115959155,100,50,Martin_et_al_2000,even
4,0.6253967512745453,0.5293458740340016,0.09605087724054373,100,50,triangle,even
5,0.5988614087436126,0.5071148493133995,0.09174655943021315,100,50,box,even
6,0.5040264992571537,0.4588641448748143,0.0451623543823394,150,25,Martin_et_al_2000,even
7,0.5014451334852512,0.45684246519833394,0.04460266828691728,150,25,triangle,even
8,0.4649141169464438,0.4187516416400332,0.0461624753064106,150,25,box,even
9,0.5040699990349415,0.45905505105461897,0.04501494798032257,150,50,Martin_et_al_2000,even
10,0.5014923165921005,0.45702824785288254,0.04446406873921793,150,50,triangle,even
11,0.46488824301187937,0.4167580943808298,0.048130148631049585,150,50,box,even
12,0.4303817633414565,0.39382774719196256,0.03655401614949394,200,25,Martin_et_al_2000,even
13,0.4285747352255561,0.3916108779434485,0.036963857282107604,200,25,triangle,even
14,0.3862181849806411,0.34977358585904583,0.036444599121595256,200,25,box,even
15,0.4303096738906358,0.39361661290554717,0.03669306098508862,200,50,Martin_et_al_2000,even
16,0.42851030781216004,0.391415012218185,0.037095295593975064,200,50,triangle,even
17,0.38549954794270036,0.34808243931879335,0.037417108623907014,200,50,box,even
18,0.3777698396185738,0.34327954525477,0.0344902943638038,250,25,Martin_et_al_2000,even
19,0.3757508318015571,0.341242923338427,0.03450790846313012,250,25,triangle,even
20,0.3283616611765221,0.29704992847416256,0.03131173270235954,250,25,box,even
21,0.3777278744782332,0.3433115510897894,0.034416323388443804,250,50,Martin_et_al_2000,even
22,0.3756837049761924,0.3412714298896574,0.034412275086534994,250,50,triangle,even
23,0.3271814889129945,0.2976964206365742,0.02948506827642028,250,50,box,even
24,0.3358352927084831,0.30326810258872516,0.03256719011975795,300,25,Martin_et_al_2000,even
25,0.3339714572288841,0.3012812740701162,0.03269018315876793,300,25,triangle,even
26,0.28655509041390403,0.2548409318440703,0.03171415856983373,300,25,box,even
27,0.3358095691774243,0.3032963214339084,0.03251324774351594,300,50,Martin_et_al_2000,even
28,0.33391722029372894,0.301292005394448,0.03262521489928094,300,50,triangle,even
29,0.2859995089164825,0.2538836281409398,0.03211588077554273,300,50,box,even
30,0.2714320638099821,0.24071564876436524,0.03071641504561684,400,25,Martin_et_al_2000,even
31,0.269597264412903,0.2390472635636357,0.03055000084926729,400,25,triangle,even
32,0.217187900047647,0.1957477801946852,0.021440119852961792,400,25,box,even
33,0.2714197332214259,0.24070827582762,0.030711457393805874,400,50,Martin_et_al_2000,even
34,0.26954995421874695,0.23902523469509218,0.030524719523654764,400,50,triangle,even
35,0.21686272936062845,0.1956862838023411,0.02117644555828735,400,50,box,even
36,0.2202625126537412,0.19472222154874808,0.025540291104993118,500,25,Martin_et_al_2000,even
37,0.21849606063686755,0.1932969331507951,0.025199127486072448,500,25,triangle,even
38,0.168029165089165,0.15720590079833419,0.010823264290830803,500,25,box,even
39,0.2203013352251374,0.19476005349715309,0.02554128172798431,500,50,Martin_et_al_2000,even
40,0.21855033692640013,0.19332676511651115,0.02522357180988899,500,50,triangle,even
41,0.1677997817595308,0.15719016097956284,0.010609620779967965,500,50,box,even
42,0.6281567251207547,0.5431035206624414,0.08505320445831333,100,25,Martin_et_al_2000,even
43,0.6253128966601615,0.5419345184536251,0.08337837820653649,100,25,triangle,even
