id	district	quarter	plot.number	plot.part	taxpayer.men	taxpayer.women	no.tax.men	no.tax.women	in.russia.men	in.russia.women	total.men	total.women	owner	rent	other	orthodox	other.christian	other.religion	draftee
810	Korona.St.Anna		81		0	3	3	2	0	0	3	5	6	2	0	0	0	0	0
811	Korona.St.Anna		1		5	6	3	1	0	0	8	7	10	5	0	0	0	0	1
812	Korona.St.Anna		1		1	2	2	1	0	0	3	3	4	2	0	0	0	0	0
813	Korona.St.Anna		1		0	2	0	0	0	0	0	2	0	2	0	0	0	0	0
814	Korona.St.Anna		1		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
815	Korona.St.Anna		1		1	1	0	1	0	0	1	2	3	0	0	0	0	0	0
816	Korona.St.Anna		1		3	1	0	3	0	0	3	4	0	0	7	0	0	0	0
817	Korona.St.Anna		1		1	1	0	0	0	0	1	1	0	0	1	0	0	0	0
818	Korona.St.Anna		1		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
819	Korona.St.Anna		2		0	2	0	0	0	0	0	2	0	2	0	0	0	0	0
820	Korona.St.Anna		2		0	2	0	0	0	0	0	2	0	2	0	1	0	0	0
821	Korona.St.Anna		2		1	1	0	0	0	0	1	1	0	0	2	0	0	0	0
822	Pietarin.esikaupunki		506		4	4	2	2	0	0	6	6	9	3	0	9	0	0	1
823	Pietarin.esikaupunki		7		0	2	1	0	0	0	1	2	2	1	0	0	0	0	0
824	Pietarin.esikaupunki		7		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
825	Pietarin.esikaupunki		8		1	4	1	3	0	0	2	7	7	2	0	7	0	0	0
826	Pietarin.esikaupunki		8		0	0	1	4	0	0	1	4	0	0	5	0	0	0	0
827	Pietarin.esikaupunki		8		0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
828	Pietarin.esikaupunki		9		1	3	0	1	0	0	1	3	3	1	0	3	0	0	0
829	Pietarin.esikaupunki		9		0	3	0	0	0	0	0	3	0	3	0	0	0	0	0
830	Pietarin.esikaupunki		9		3	1	2	0	0	0	5	1	3	3	0	0	4	0	0
831	Pietarin.esikaupunki		10		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
832	Pietarin.esikaupunki		10		1	1	1	1	0	0	2	2	4	0	0	0	0	0	0
833	Pietarin.esikaupunki		10		0	1	1	1	0	0	1	2	0	0	3	0	0	0	0
834	Pietarin.esikaupunki		11		2	3	1	1	0	0	3	4	6	1	0	0	0	0	0
835	Pietarin.esikaupunki		11		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
836	Pietarin.esikaupunki		11		1	0	0	0	0	0	1	0	1	0	0	1	0	0	0
837	Pietarin.esikaupunki		11		1	2	2	1	0	0	3	3	5	1	0	0	0	0	0
838	Pietarin.esikaupunki		11		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
839	Pietarin.esikaupunki		11		1	1	0	1	0	0	1	2	0	0	3	0	0	0	0
840	Pietarin.esikaupunki		11		1	1	0	0	0	0	1	1	0	0	2	0	0	0	0
841	Pietarin.esikaupunki		11		1	1	0	0	0	0	1	1	0	0	2	0	0	0	0
842	Pietarin.esikaupunki		11		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
843	Pietarin.esikaupunki		11		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
844	Pietarin.esikaupunki		11		0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
845	Pietarin.esikaupunki		11		0	1	0	0	0	0		1	0	0	1	0	0	0	0
846	Pietarin.esikaupunki		12		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
847	Pietarin.esikaupunki		13		0	1	0	1	0	0	0	2	1	1	0	1	0	0	0
848	Pietarin.esikaupunki		13		1	1	1	1	0	0	2	2	4	0	0	0	0	0	0
849	Pietarin.esikaupunki		13		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
850	Pietarin.esikaupunki		13		1	2	2	0	0	0	3	2	0	0	5	0	0	0	0
851	Pietarin.esikaupunki		13		1	1	1	0	0	0	2	1	0	0	3	0	0	0	0
852	Pietarin.esikaupunki		13		1	1	0	0	0	0	1	1	0	0	2	0	0	0	0
853	Pietarin.esikaupunki		13		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
854	Pietarin.esikaupunki		13		2	1	1	1	0	0	3	2	5	0	0	0	0	0	0
855	Pietarin.esikaupunki		13		1	1	0	1	0	0	1	2	3	0	0	0	0	0	0
856	Pietarin.esikaupunki		14		1	5	0	0	0	0	1	5	6	0	0	0	0	0	0
857	Pietarin.esikaupunki		15		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
858	Pietarin.esikaupunki		15		1	1	1	2	0	0	2	3	5	0	0	0	0	0	0
859	Pietarin.esikaupunki		15		1	1	3	0	0	0	4	1	5	0	0	0	0	0	0
860	Pietarin.esikaupunki		15		1	1	1	0	0	0	2	1	0	0	3	0	0	0	0
861	Pietarin.esikaupunki		15		0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
862	Pietarin.esikaupunki		16		1	4	2	4	0	0	3	8	6	5	0	4	0	0	0
863	Pietarin.esikaupunki		16		0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
864	Pietarin.esikaupunki		16		1	1	2	1	0	0	3	2	5	0	0	5	0	0	0
865	Pietarin.esikaupunki		16		1	1	1	3	0	0	2	4	0	6	0	0	0	0	0
866	Pietarin.esikaupunki		16		1	1	2	3	0	0	3	4	7	0	0	0	0	0	0
867	Pietarin.esikaupunki		16		0	0	1	0	0	0	1	0	1	0	0	0	1	0	0
868	Pietarin.esikaupunki		18		0	2	1	2	0	0	1	4	3	2	0	0	0	0	0
869	Pietarin.esikaupunki		18		2	1	0	1	0	0	2	2	2	2	0	0	0	0	0
870	Pietarin.esikaupunki		18		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
871	Pietarin.esikaupunki		18		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
872	Pietarin.esikaupunki		18		1	1	0	2	0	0	1	3	4	0	0	0	0	0	0
873	Pietarin.esikaupunki		18		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
874	Pietarin.esikaupunki		18		2	2	2	2	2	0	0	4	4	0	0	8	0	0	0
875	Pietarin.esikaupunki		19		3	2	0	0	0	0	3	2	5	0	0	0	0	0	0
876	Pietarin.esikaupunki		19		0	0	2	3	0	0	2	3	0	0	5	0	0	0	0
877	Pietarin.esikaupunki		21		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
878	Pietarin.esikaupunki		22		3	3	2	4	0	0	5	7	9	3	0	0	0	0	0
879	Pietarin.esikaupunki		22		2	2	0	1	0	0	2	3	5	0	0	0	0	0	0
880	Pietarin.esikaupunki		22		3	1	0	0	0	0	3	1	0	0	4	0	0	0	1
881	Pietarin.esikaupunki		22		1	1	0	0	0	0	1	1	0	0	2	0	0	0	0
882	Pietarin.esikaupunki		22		1	1	1	0	0	0	2	1	0	0	3	0	0	0	0
883	Pietarin.esikaupunki		22		1	1	0	1	0	0	1	2	0	0	3	0	0	0	0
884	Pietarin.esikaupunki		22		0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
885	Pietarin.esikaupunki		22		2	1	0	0	0	0	2	1	0	3	0	0	0	0	0
886	Pietarin.esikaupunki		22		0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
887	Pietarin.esikaupunki		22		0	0	1	3	0	0	1	3	0	0	4	0	0	0	0
888	Pietarin.esikaupunki		23		2	6	5	1	0	0	7	7	10	4	0	0	0	0	0
889	Pietarin.esikaupunki		23		1	1	1	1	0	0	2	2	4	0	0	0	0	0	0
890	Pietarin.esikaupunki		23		1	1	0	3	0	0	1	3	4	0	0	4	0	0	0
891	Pietarin.esikaupunki		23		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
892	Pietarin.esikaupunki		23		0	1	0	0	0	0	0	1	1	0	0	1	0	0	0
893	Pietarin.esikaupunki		23		0	1	3	2	0	0	3	3	6	0	0	0	0	0	0
