,alpha,bw,cell_size,convex_hull,convex_hull_buffer,exposure,isolation,kernel,km,year
98,1,500,50,True,1,0.363,0.345,distance_decay,0.033,1880
99,1,500,50,True,1,0.566,0.434,gaussian,0.007,1880
100,1,50,100,True,1,0.114,0.213,epanechnikov,0.136,1880
101,1,50,100,True,1,0.112,0.224,triangle,0.137,1880
102,1,50,100,True,1,0.11,0.176,uniform,0.141,1880
103,1,50,100,True,1,0.113,0.226,distance_decay,0.138,1880
104,1,50,100,True,1,0.81,0.19,gaussian,0.106,1880
105,1,100,100,True,1,0.141,0.242,epanechnikov,0.122,1880
106,1,100,100,True,1,0.138,0.241,triangle,0.129,1880
107,1,100,100,True,1,0.124,0.246,uniform,0.098,1880
108,1,100,100,True,1,0.139,0.241,distance_decay,0.129,1880
109,1,100,100,True,1,0.736,0.258,gaussian,0.067,1880
110,1,250,100,True,1,0.416,0.221,epanechnikov,0.064,1880
111,1,250,100,True,1,0.416,0.217,triangle,0.067,1880
112,1,250,100,True,1,0.406,0.24,uniform,0.053,1880
113,1,250,100,True,1,0.416,0.216,distance_decay,0.068,1880
114,1,250,100,True,1,0.679,0.321,gaussian,0.022,1880
115,1,500,100,True,1,0.347,0.318,epanechnikov,0.032,1880
116,1,500,100,True,1,0.342,0.31,triangle,0.033,1880
117,1,500,100,True,1,0.363,0.349,uniform,0.028,1880
118,1,500,100,True,1,0.342,0.309,distance_decay,0.033,1880
119,1,500,100,True,1,0.582,0.418,gaussian,0.007,1880
120,1,50,25,True,1,0.134,0.301,epanechnikov,0.097,1900
121,1,50,25,True,1,0.132,0.302,triangle,0.1,1900
122,1,50,25,True,1,0.136,0.292,uniform,0.088,1900
123,1,50,25,True,1,0.132,0.302,distance_decay,0.101,1900
124,1,50,25,True,1,0.704,0.296,gaussian,0.048,1900
125,1,100,25,True,1,0.163,0.294,epanechnikov,0.055,1900
126,1,100,25,True,1,0.163,0.294,triangle,0.056,1900
127,1,100,25,True,1,0.161,0.293,uniform,0.054,1900
128,1,100,25,True,1,0.163,0.294,distance_decay,0.056,1900
129,1,100,25,True,1,0.696,0.303,gaussian,0.03,1900
130,1,250,25,True,1,0.218,0.301,epanechnikov,0.029,1900
131,1,250,25,True,1,0.216,0.3,triangle,0.03,1900
132,1,250,25,True,1,0.234,0.307,uniform,0.027,1900
133,1,250,25,True,1,0.215,0.299,distance_decay,0.03,1900
134,1,250,25,True,1,0.638,0.363,gaussian,0.013,1900
135,1,500,25,True,1,0.331,0.342,epanechnikov,0.017,1900
