,alpha,bw,cell_size,convex_hull,convex_hull_buffer,kernel,s,year
132,1,50,75,True,1,triangle,0.697,1920
133,1,50,75,True,1,biweight,0.698,1920
134,1,50,75,True,1,epanechnikov,0.688,1920
135,1,100,75,True,1,uniform,0.513,1920
136,1,100,75,True,1,gaussian,0.334,1920
137,1,100,75,True,1,triangle,0.575,1920
138,1,100,75,True,1,biweight,0.577,1920
139,1,100,75,True,1,epanechnikov,0.557,1920
140,1,150,75,True,1,uniform,0.432,1920
141,1,150,75,True,1,gaussian,0.252,1920
142,1,150,75,True,1,triangle,0.478,1920
143,1,150,75,True,1,biweight,0.48,1920
144,1,150,75,True,1,epanechnikov,0.467,1920
145,1,250,75,True,1,uniform,0.306,1920
146,1,250,75,True,1,gaussian,0.183,1920
147,1,250,75,True,1,triangle,0.34,1920
148,1,250,75,True,1,biweight,0.341,1920
149,1,250,75,True,1,epanechnikov,0.33,1920
150,1,25,25,True,1,uniform,0.769,1880
151,1,25,25,True,1,gaussian,0.615,1880
152,1,25,25,True,1,triangle,0.792,1880
153,1,25,25,True,1,biweight,0.792,1880
154,1,25,25,True,1,epanechnikov,0.787,1880
155,1,50,25,True,1,uniform,0.624,1880
156,1,50,25,True,1,gaussian,0.466,1880
157,1,50,25,True,1,triangle,0.677,1880
158,1,50,25,True,1,biweight,0.679,1880
159,1,50,25,True,1,epanechnikov,0.666,1880
160,1,100,25,True,1,uniform,0.468,1880
161,1,100,25,True,1,gaussian,0.317,1880
162,1,100,25,True,1,triangle,0.515,1880
163,1,100,25,True,1,biweight,0.516,1880
164,1,100,25,True,1,epanechnikov,0.505,1880
165,1,150,25,True,1,uniform,0.393,1880
166,1,150,25,True,1,gaussian,0.22,1880
167,1,150,25,True,1,triangle,0.436,1880
168,1,150,25,True,1,biweight,0.437,1880
169,1,150,25,True,1,epanechnikov,0.425,1880
170,1,250,25,True,1,uniform,0.275,1880
171,1,250,25,True,1,gaussian,0.117,1880
172,1,250,25,True,1,triangle,0.325,1880
173,1,250,25,True,1,biweight,0.327,1880
174,1,250,25,True,1,epanechnikov,0.311,1880
175,1,25,50,True,1,uniform,0.717,1880
176,1,25,50,True,1,gaussian,0.613,1880
177,1,25,50,True,1,triangle,0.758,1880
178,1,25,50,True,1,biweight,0.758,1880
179,1,25,50,True,1,epanechnikov,0.749,1880
180,1,50,50,True,1,uniform,0.601,1880
181,1,50,50,True,1,gaussian,0.469,1880
182,1,50,50,True,1,triangle,0.671,1880
183,1,50,50,True,1,biweight,0.674,1880
184,1,50,50,True,1,epanechnikov,0.657,1880
185,1,100,50,True,1,uniform,0.467,1880
186,1,100,50,True,1,gaussian,0.319,1880
