id,district,plot.number,plot.part,taxpayer.men,taxpayer.women,no.tax.men,no.tax.women,in.russia.men,in.russia.women,total.men,total.women,owner,rent,other,orthodox,other.christian,other.religion,draftee
35,1,9,,1,3,5,1,0,0,6,4,8,2,0,0,0,0,0
36,1,9,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
37,1,9,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
38,1,9,,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0
39,1,9,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
40,1,9,,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0
41,1,9,,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
42,1,9,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
43,1,9,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
44,1,9,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
45,1,9,,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
46,1,9,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
47,1,9,,1,2,3,3,0,0,4,5,8,1,0,0,0,0,0
48,1,9,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
49,1,9,,1,1,1,1,0,0,2,2,0,4,0,0,0,0,0
50,1,9,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
51,1,10,,2,5,3,2,0,0,5,7,1,11,0,0,0,0,0
52,1,10,,3,1,0,0,0,0,3,1,4,0,0,0,0,0,0
53,1,10,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
54,1,11,,2,5,1,0,0,0,3,5,5,3,0,0,0,0,0
55,1,11,,1,1,1,0,0,0,2,1,3,0,0,2,0,0,0
56,1,11,,0,3,5,1,0,0,5,4,7,2,0,0,0,0,0
57,1,11,,3,1,0,0,0,0,3,1,2,2,0,0,0,0,0
58,1,12,,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0
59,1,12,,1,1,2,4,0,0,3,5,8,0,0,0,0,0,0
60,1,12,,1,2,0,0,0,0,1,2,2,1,0,0,0,0,0
61,1,12,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
62,1,12,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
63,1,12,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
64,1,12,,5,6,1,0,0,0,6,6,8,4,0,9,0,0,0
65,1,12,,1,1,0,1,0,0,1,2,5,0,0,0,0,0,0
66,1,12,,2,1,2,0,0,0,4,1,0,5,0,0,0,0,0
67,1,14,,1,2,5,0,0,0,4,2,5,1,0,0,0,0,0
68,1,14,,1,2,0,1,0,0,1,5,5,1,0,0,0,0,0
69,1,14,,2,2,0,1,0,0,2,5,5,0,0,0,0,0,0
70,1,14,,1,2,0,0,0,0,1,2,2,1,0,0,0,0,0
71,1,14,,1,1,2,1,0,0,3,2,5,0,0,0,0,0,0
72,1,15,,1,3,1,0,0,0,2,3,3,2,0,0,0,0,0
73,1,15,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
74,1,15,,1,1,1,0,0,0,2,1,3,0,0,0,0,0,0
75,1,16,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,17,,2,4,0,5,0,0,2,7,6,3,0,1,0,0,0
77,1,17,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
78,1,17,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
79,1,17,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
80,1,17,,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
81,1,17,,1,3,3,1,0,0,4,4,7,1,0,0,0,0,0
82,1,17,,2,1,0,1,0,0,2,2,0,4,0,0,0,0,0
83,1,17,,1,2,1,0,0,0,2,2,3,1,0,0,0,0,0
84,1,17,,1,2,1,0,0,0,2,2,0,4,0,0,0,0,0
85,1,17,,4,1,0,1,0,0,4,2,4,2,0,0,0,0,1
86,1,17,,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0
87,1,17,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
88,1,17,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
89,1,17,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
90,1,19,,1,3,2,0,0,0,3,3,4,2,0,4,0,0,0
91,1,19,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
92,1,19,,3,2,0,0,0,0,3,2,4,1,0,0,0,0,0
93,1,19,,1,1,2,0,0,0,3,1,2,2,0,0,0,0,0
94,1,19,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
95,1,19,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
96,1,19,,2,2,0,0,0,0,2,2,5,1,0,0,0,0,1
97,1,19,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
98,1,19,,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0
99,1,20,,5,5,1,0,0,0,4,5,5,2,0,0,0,0,0
100,1,21,,3,6,2,0,0,0,5,6,4,7,0,0,0,0,0
101,1,21,,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0
102,1,21,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
103,1,21,,1,0,0,1,0,0,1,1,2,0,0,0,0,0,0
104,1,23,,0,4,2,0,0,0,2,4,3,3,0,0,0,0,0
105,1,23,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
106,1,23,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
107,1,23,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
108,1,23,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
109,1,23,,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0
110,1,23,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
111,1,23,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
112,1,24,,1,9,0,0,0,0,1,9,2,8,0,0,0,0,1
113,1,24,,0,7,0,0,0,0,0,7,2,5,0,0,0,0,0
114,1,24,,2,1,4,1,0,0,6,2,7,1,0,0,0,0,0
115,1,24,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
116,1,24,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
117,1,25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1,26,,2,3,0,1,0,0,2,4,2,4,0,2,0,0,0
119,1,26,,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
120,1,26,,1,2,1,0,0,0,2,2,3,1,0,0,0,0,0
121,1,26,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
122,1,26,,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0
123,1,27,,3,1,0,0,0,0,3,1,0,4,0,0,0,0,1
124,1,27,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
125,1,28,,0,2,1,0,0,0,1,2,2,1,0,0,0,0,0
126,1,28,,3,1,4,3,0,0,7,4,9,2,0,0,0,0,0
127,1,28,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
128,1,28,,1,2,0,0,0,0,1,2,0,1,2,0,0,0,0
129,1,28,,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0
130,1,28,,1,1,2,1,0,0,3,2,0,0,5,0,0,0,0
131,1,28,,0,2,1,1,0,0,1,3,0,1,3,0,0,0,0
132,1,29,,1,3,0,0,0,0,1,3,1,3,0,0,0,0,0
133,1,29,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
134,1,29,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
135,1,29,,1,1,3,1,0,0,4,2,6,0,0,0,0,0,0
136,1,29,,2,1,1,0,0,0,3,1,4,0,0,0,0,0,0
137,1,29,,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
138,1,29,,4,2,2,2,0,0,6,4,5,5,0,0,0,0,0
139,1,29,,1,2,1,2,0,0,2,4,5,1,0,0,0,0,0
140,1,29,,0,1,0,1,0,0,0,2,1,1,0,1,0,0,0
141,1,29,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
142,1,31,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
143,1,31,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
144,1,31,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
145,1,31,,2,3,0,0,0,0,2,3,1,2,2,0,0,0,0
146,1,31,,2,2,0,0,0,0,2,2,4,0,0,0,0,0,0
147,1,33,,3,2,2,3,0,0,5,5,10,0,0,10,0,0,0
148,1,33,,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0
149,1,33,,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0
150,1,33,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
151,1,33,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
152,1,34,,1,5,1,0,0,0,2,5,5,2,0,0,0,0,0
153,1,34,,1,1,3,0,0,0,4,1,0,5,0,5,0,0,0
